Species,location_name,Organ,stem_P12,stem_P12_95confint,stem_P50,stem_P50_95confint,stem_Native_embolism_percent,stem_Native_embolism_percent_SE,root_P12,root_P12_95confint,root_P50,root_P50_95confint,root_Native_embolism_percent,root_Native_embolism_percent_SE
Acacia aneura,Western Sydney University Hawksbury campus,Stem,6.72,"4.80, 7.66",11.93,"11.53, 15.05",6.5,4.7,7.31,"6.34, 8.06",9.64,"9.20, 10.21",8.2,2.8
Cedrus deodara,Western Sydney University Hawksbury campus,Stem,3.35,"2.77, 4.25",6.77,"5.73, 7.43",4.1,2.1,3.51,"2.68, 4.37",6.33,"5.90, 7.81",5.1,5.1
Eucalyptus saligna,Western Sydney University Hawksbury campus,Stem,3.12,"2.64, 3.57",4.86,"4.53, 5.09",5.3,0.2,2.75,"2.45, 3.23",4.82,"4.54, 5.52",8.1,2.6
Eucalyptus crebra,Western Sydney University Hawksbury campus,Stem,3.54,"3.00, 4.37",5.63,"5.24, 6.08",2.1,0.5,1.63,"–, 3.55",3.98,"2.14, 5.03",11.3,8.1
Quercus palustris,Western Sydney University Hawksbury campus,Stem,2.85,"2.19, 3.59",4.56,"4.18, 4.91",3.6,0.3,1.19,"0.23, 2.01",3.13,"1.83, 3.59",21.1,2.5
