Name,DN,d 13 C,N[%],Specific Leaf Area (m2 kg1)
Eucalyptus depauperata,310,-27.76,1.22,3.094239174
Eucalyptus desmondensis,192,-25.99,1.12,2.546059901
Eucalyptus dielsii,1120,-27.99,0.61,2.680699806
Eucalyptus diminuta,271,-28.09,1.20,3.84353562
Eucalyptus diptera,146,-28.12,0.98,3.329006298
Eucalyptus disclusa,707,-28.48,1.01,4.654539611
Eucalyptus discreta,1091,-27.41,0.90,2.34170096
Eucalyptus dissimulata,1629,-28.23,1.15,2.86210325
Eucalyptus diversicolor,1142,-28.09,1.16,5.839148137
Eucalyptus diversifolia,1991,-27.40,1.02,3.137074401
Eucalyptus diversifolia,792,-26.38,0.95,3.072894302
Eucalyptus dolichocera,273,-27.51,1.03,2.679813796
Eucalyptus dolichorhyncha,152,-28.00,0.60,2.001690311
Eucalyptus dorotoxylon,178,-27.06,1.35,5.4645
Eucalyptus dorrigoensis,647,-26.80,1.89,5.631908622
Eucalyptus drummondii,1156,-27.53,1.21,3.409843177
Eucalyptus dumosa,981,-26.30,0.88,2.595735537
Eucalyptus dundasii,129,-27.23,0.89,3.274680422
Eucalyptus dura,689,-31.88,1.02,4.448938656
Eucalyptus dwyeri,751,-27.33,1.18,3.795149169
Eucalyptus ebbanoensis,270,-26.79,0.82,2.758142526
Eucalyptus effusa,127,-27.48,1.16,2.995747316
Eucalyptus eremicola,1500,-27.40,1.31,3.285034014
Eucalyptus eremicola,1542,-26.34,1.58,2.789680105
Eucalyptus eremophila,345,-25.65,1.37,2.340661305
Eucalyptus erythrocorys,265,-28.08,1.38,2.917632766
Eucalyptus erythronema,287,-26.25,1.00,2.372567357
Eucalyptus eudesmioides,279,-27.31,1.31,4.200608026
Eucalyptus eugenioides,1235,-29.37,1.53,5.525792952
Eucalyptus euryphylla,2082,-26.06,0.83,5.623334581
Eucalyptus ewartiana,280,-27.34,1.08,2.628883904
Eucalyptus exigua,322,-27.90,1.21,2.957878939
Eucalyptus exilipes,1289,-30.19,1.07,4.635796767
Eucalyptus exilis,263,-26.71,1.11,3.653897497
Eucalyptus exserta,682,-28.19,1.19,4.010324324
Eucalyptus extrica,1092,-27.58,1.00,3.545740927
Eucalyptus falcata,198,-26.62,0.81,2.655528741
Eucalyptus famelica,199,-28.79,0.92,2.642796385
Eucalyptus fasciculosa,1716,-29.30,1.51,4.559715007
Eucalyptus fergusonii,634,-27.65,1.03,4.24905804
Eucalyptus fibrosa,666,-30.48,1.02,4.503023083
Eucalyptus flavida,343,-28.45,1.09,3.217515469
Eucalyptus flocktoniae,1870,-27.60,0.81,2.449870175
Eucalyptus foecunda,1152,-28.38,1.16,3.591389153
Eucalyptus foliosa,161,-27.04,0.92,2.335242676
Eucalyptus formanii,1567,-27.80,1.25,3.375811001
Eucalyptus forrestiana,160,-27.36,0.80,2.422932136
Eucalyptus fraseri,116,-27.78,0.83,2.208999091
Eucalyptus fraxinoides,601,-27.35,0.96,3.688404662
Eucalyptus froggattii,453,-27.14,0.75,2.544604101
Eucalyptus fruticosa,1177,-28.33,1.38,3.784110672
Eucalyptus fulgens,1729,-29.26,1.33,5.508263795
Eucalyptus fursiformis,645,-29.08,1.26,6.567735233
Eucalyptus gardneri,1636,-29.38,1.13,3.434379598
Eucalyptus georgei,325,-28.84,0.86,2.374781969
Eucalyptus gillenii,1209,-27.45,0.83,3.511739852
Eucalyptus gillenii,1703,-28.60,1.57,4.54966905
Eucalyptus gillii,1715,-27.68,1.08,1.982188166
Eucalyptus gittinsii,1170,-26.65,1.76,3.252150259
Eucalyptus glomerosa,1508,-25.51,1.46,3.487667827
Eucalyptus gongylocarpa,519,-26.77,1.33,4.108179724
Eucalyptus goniantha,1626,-29.41,0.59,3.084495207
Eucalyptus goniocalyx,449,-27.27,1.10,3.399622021
Eucalyptus goniocarpa,186,-27.21,0.88,2.586923722
Eucalyptus gracilis,444,-28.73,1.24,3.316671098
Eucalyptus grandis,1237,-27.14,1.98,6.476796141
