Owner,Reference,AW_NEWSiteName,Site,site_name,Elevation,Latitude,Longitude,Species,ID,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,LMA_gm2,SLA (cm2/g),Asat_mass (nmol/g/s),Rd_area (micromol/m2/s),Rd_mass (nmol/g/s),Nmass (%),Narea (g/m2),Pmass (%),LeafP_mass,Parea (g/m2)
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Acacia celsa,AcaCel2,11.280,238.900,296.600,400.811,0.740,24.500,102.881,97.200,112.500,1.480,14.780,2.760,4.003,0.136,1.360,0.197
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,atherton,Atherton,,-17.609964,145.766577,Acacia celsa,AcaCel1,13.610,166.800,239.350,398.917,0.600,25.100,137.005,72.990,100.700,1.270,9.370,2.760,4.003,0.136,1.360,0.197
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Acacia celsa,AcaCel5,11.710,138.600,237.970,403.339,0.590,24.700,123.716,80.830,103.200,1.080,9.500,2.760,4.003,0.136,1.360,0.197
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Acacia celsa,AcaCel4,13.500,137.200,210.980,398.075,0.530,25.600,127.372,78.510,111.300,1.220,10.030,2.760,4.003,0.136,1.360,0.197
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Robson Creek,robcreek,Robson Creek,,-17.1210833,145.6308833,Acacia celsa,AcaCel3,14.420,242.400,273.050,401.544,0.680,24.500,120.424,83.040,127.500,1.500,13.300,2.760,4.003,0.136,1.360,0.197
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Acronychia acidula,AcrAci3,5.020,44.400,202.060,396.196,0.510,24.800,82.034,121.900,75.500,0.600,8.980,2.590,2.171,0.573,5.726,0.480
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Acronychia acidula,AcrAci6,5.770,64.900,239.010,398.350,0.600,24.900,98.853,101.160,48.900,1.540,13.020,2.590,2.171,0.573,5.726,0.480
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Acronychia acidula,AcrAci2,5.830,80.900,265.750,402.652,0.660,25.100,72.244,138.420,98.400,0.760,12.850,2.590,2.171,0.573,5.726,0.480
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Acronychia acidula,AcrAci5,6.790,72.800,231.120,398.483,0.580,24.600,108.460,92.200,72.100,1.080,11.500,2.590,2.171,0.573,5.726,0.480
Wright,"Gray,Wright_etal_2019_AoB_PLANTS_11",Atherton,walktrack,Atherton-walktrack,,-17.277014,145.461965,Acronychia acidula,AcrAci4,7.350,69.500,210.140,396.491,0.530,24.600,76.161,131.300,120.600,0.380,6.280,2.590,2.171,0.573,5.726,0.480
