Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Eucalyptus cornuta,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,RS ep,,,,,,,
Eucalyptus conferruminata,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,OSC,,,,,,,
Eucalyptus megacarpa,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,RS ep/OSC,,,,,,,
Acacia sulcata subsp. sulcata,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Andersonia sprengelioides,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Andersonia setifolia,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Anthocercis viscosa,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Banksia verticillata,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,slow,,,,,,
Banksia formosa,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,medium,,,,,,
Calothamnus quadrifidus,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Calytrix sp. Esperance,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS?,,,,,,,
Chamelaucium forrestii subsp. orarium,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS?,,,,,,,
Darwinia citriodora,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Daviesia horrida,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Dodanaea ceratocarpa,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS,,,,,,,
Eutaxia myrtifolia,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Gastrolobium bilobum,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Gastrolobium brownii,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,,,,,,,,
Gastrolobium coriaceum,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Hakea drupaceae,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,,,,,,,
Hakea elliptica,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,slow,,,,,,
Isopogon formosus,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,rapid to medium,,,,,,
Leucopogon altissimus,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Melaleuca diosmifolia,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,slow,,,,,,
Melaleuca lanceolata,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSC,slow,,,,,,
Prostanthera verticllaris,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Ricinocarpus glaucus,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,rapid,,,,,,
Sphenotoma drummondii,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,slow,,,,,,
Taxandria marginata,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS/ OSC,,,,,,,
Thomasia discolor,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Thryptomene saxicola,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,RS/OSC,,,,,,,
Verticordia plumosa,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,shrub,OSS,,,,,,,
Asplenium aethiopicum,Granite and fringing communities and gullies (western),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,fern,Fern,,,,,,,
Eucalyptus retusa,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus cuspidata,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus retusa x Eucalyptus cornuta,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus retusa x Eucalyptus cuspidata,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus decipiens subsp. adesmo.,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus notactites,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Grevillea sp. 'nivea',Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,OSS,,,,,,,
Thryptomene saxicola,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,RS/OSC,,,,,,,
Agonis flexuosa,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,RS/OSC,,,,,,,
Hakea victoria,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,OSC,,,,,,,
Banksia dryandroides,Doubtful Island headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,OSC,,,,,,,
Eucalyptus retusa,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus retusa x Eucalyptus cornuta,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus cornuta,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RSE,,,,,,,
Eucalyptus decipiens subsp. adesmo.,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Eucalyptus notactites,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,mallee,RS,,,,,,,
Anthocercis viscosa,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,RS,,,,,,,
Calothamnus quadrifidus,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,RS,,,,,,,
Kunzea baxteri,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,OSC,,,,,,,
Agonis flexuosa,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,OSC/RS,,,,,,,
Banksia violaceae,Cape Knob headland,Granite shrubland /Mallee heath,Albany Fraser Coastal,shrub,OSC,,,,,,,
Allocasuarina trichodon,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,OSC,,,,,,,
Callitris preissii,Granite and fringing communities and gullies (Cape le Grand / Mt Arid Coastal hills),Shrubland / Fringing Open Woodland,Albany Fraser Coastal,tree,OSC,slow,,,,,,
