species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate.",plant_height_duplicate,seed_mass_duplicate,Height (cm)_filtered,Seed mass (mg)_filtered
Desmodium rhytidophyllum,NA,20,640,1.8,4,4,NA,NA,20,1.8
Hydrocotyle acutiloba,52.91,20,10,0.3,4,1,NA,NA,20,0.3
Lomandra filiformis,7.53,20,400,5.5,4,2,NA,NA,20,5.5
Lomandra glauca,6.38,20,175,5.2,4,2,Duplicate of Hughes_1992_038,NA,NA,5.2
Micrantheum ericoides,10.25,20,5.3,3.3,3,2,NA,NA,20,3.3
Oplismenus aemula,23.39,20,67,0.9,5,1,Duplicate of Hughes_1992_096,NA,NA,0.9
Pomax umbellata,25.87,20,40,1.1,4,1,Duplicate of Hughes_1992_149,NA,NA,1.1
Schelhammera undulata,25.44,20,163,5.1,4,2,Duplicate of Barlow_1981_3826,NA,NA,5.1
Scutellaria mollis,NA,20,33,0.8,4,0,NA,NA,20,0.8
Stylidium lineare,7.95,20,23,0.1,4,1,Duplicate of Hughes_1992_146,NA,NA,0.1
Zieria pilosa,6.89,20,17,6.6,2,6,NA,NA,20,6.6
Drosera peltata,7.14,25,16,0,4,1,Duplicate of Hughes_1992_117,NA,NA,0
Hibbertia aspera,6.91,25,75,2.5,3,2,NA,NA,25,2.5
Pterostylis pedunculata,57.87,27,NA,0,4,1,NA,NA,27,0
Acianthus exsertus,NA,30,800,0,4,1,NA,NA,30,0
Actinotus minor,9.6,30,12,0.8,4,2,Duplicate of Hughes_1992_187,NA,NA,0.8
Aneilema acuminatum,16.09,30,403,1.1,4,1,NA,NA,30,1.1
Caesia parviflora,4.72,30,700,2.4,4,2,Duplicate of Hughes_1992_070,NA,NA,2.4
Caesia vittata,7.46,30,1600,1.4,4,2,Duplicate of Hughes_1992_070,NA,NA,1.4
Caladenia catenata,71.74,30,500,0,4,1,NA,NA,30,0
Galium binifolium,75.71,30,19,0.5,4,1,NA,NA,30,0.5
Galium propinquum,52.14,30,8.8,0.4,4,4,NA,NA,30,0.4
Gompholobium glabratum,7.28,30,4.7,2.7,2,2,Duplicate of Hughes_1992_409,NA,NA,2.7
Goodenia bellidifolia,3.63,30,675,0.6,4,2,Duplicate of Hughes_1992_189,NA,NA,0.6
Lomandra multiflora,1.77,30,1150,7.8,4,2,Duplicate of Hughes_1992_078,NA,NA,7.8
Mirbelia rubiifolia,5.27,30,83,2.9,3,1,NA,NA,30,2.9
Mitrasacme polymorpha,9.67,30,4.7,0,4,1,NA,NA,30,0
Patersonia glabrata,2.8,30,700,6.3,4,2,Duplicate of Barlow_1981_3217,NA,NA,6.3
Poranthera ericifolia,12.12,30,5.4,0.4,2,6,NA,NA,30,0.4
Pseuderanthemum variabile,18.67,30,533,3.1,4,1,NA,NA,30,3.1
Pterostylis cfdaintreana,NA,30,NA,0,4,1,Duplicate of Hughes_1992_129,NA,NA,0
Schoenus ericetorum,5.12,30,NA,0.6,4,1,Duplicate of Hughes_1992_222,NA,NA,0.6
Schoenus imberbis,4.16,30,NA,1.2,4,1,Duplicate of Hughes_1992_223,NA,NA,1.2
Solanum pungetium,33.44,30,853,0.9,3,3,NA,NA,30,0.9
Tricoryne simplex,17.89,30,6000,NA,4,0,Duplicate of Hughes_1992_055,NA,NA,NA
Tricostularia pauciflora,4.2,30,NA,1.7,4,2,Duplicate of Hughes_1992_251,NA,NA,1.7
Xanthosia tridentata,10.49,30,NA,1.4,4,2,NA,NA,30,1.4
Burchardia umbellata,11.31,35,100,2.1,4,0,Duplicate of Hughes_1992_058,NA,NA,2.1
