species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate.",plant_height_duplicate,seed_mass_duplicate,Height (cm)_filtered,Seed mass (mg)_filtered
Acacia floribunda,7.23,800,397,7,1,2,NA,NA,800,7
Alectryon subcinereus,13.3,800,1080,NA,1,3,NA,NA,800,NA
Notelaea venosa,NA,800,2333,130.8,1,3,NA,NA,800,130.8
Olea africana,8.94,800,750,162.8,1,3,NA,NA,800,162.8
Backhousia myrtifolia,8.55,1000,403,13,1,5,Duplicate of Hughes_1992_520,NA,NA,13
Cryptocarya glaucescens,10.87,1000,2400,324,1,3,NA,NA,1000,324
Cryptocarya microneura,10.43,1000,1417,442.2,1,3,NA,NA,1000,442.2
Euodia micrococca,18.14,1000,140,7,2,6,NA,NA,1000,7
Parsonsia straminea,26.87,1000,2530,10.3,10,5,NA,NA,1000,10.3
Acacia cf irrorata,17.38,1200,2,10.8,1,2,NA,NA,1200,10.8
Casuarina littoralis,4.57,1200,NA,3.1,1,5,Duplicate of Hughes_1992_564,NA,NA,3.1
Grevillea sphacelata,5.28,1200,15,29,2,2,NA,NA,1200,29
Brachychiton sp.,NA,1500,NA,315.4,2,1,NA,NA,1500,315.4
Eucalyptus globoidea,3.92,1500,1667,1.4,1,1,NA,NA,1500,1.4
Eucalyptus haemostoma,4.04,1500,1667,1.8,1,1,NA,NA,1500,1.8
Livistona australis,9.48,1500,784000,841.3,1,3,NA,NA,1500,841.3
Acmena smithii,13.49,2000,300,12,1,3,Duplicate of Hughes_1992_592,NA,NA,12
Angophora floribunda,9.94,2000,1417,12.7,1,1,Duplicate of Hughes_1992_551,NA,NA,12.7
Casuarina torulosa,7.48,2000,NA,3.1,1,5,Duplicate of Barlow_1981_0165,NA,NA,3.1
Diospyros australis,6.71,2000,1127,242.3,2,3,NA,NA,2000,242.3
Doryphora sassafras,10.91,2000,653,7.7,1,5,NA,NA,2000,7.7
Eucalyptus piperita,5.05,2000,900,1.1,1,1,Duplicate of CPBR_2002_668,NA,NA,1.1
Eucalyptus sieberi,3.49,2000,1935,1.8,1,1,Duplicate of Hughes_1992_553,NA,NA,1.8
Eucalyptus umbra,2.94,2000,1917,0.8,1,1,NA,NA,2000,0.8
Schizomeria ovata,5.27,2000,3220,201.6,1,3,Duplicate of Hughes_1992_582,NA,NA,201.6
Syncarpia glomulifera,9.51,2000,3840,0.5,1,1,NA,NA,2000,0.5
Angophora costata,4.71,2500,2115,15.1,1,1,Duplicate of Hughes_1992_546,NA,NA,15.1
Ceratopetalum apetalum,12.97,2500,3840,17.1,1,5,Duplicate of Hughes_1992_567,NA,NA,17.1
Eucalyptus gummifera,4.24,3000,3033,7.3,1,1,NA,NA,3000,7.3
Eucalyptus pellita,NA,3000,2083,0.8,1,1,NA,NA,3000,0.8
Eucalyptus paniculata,11.4,4000,1500,NA,1,1,NA,NA,4000,NA
Eucalyptus pilularis,1.26,4000,2200,2.1,1,1,NA,NA,4000,2.1
Eucalyptus saligna,7.98,6000,2250,0.4,1,1,NA,Duplicate of Kew_2019_1_09088,6000,NA
