source,site,date,plotid,plotid2,habitat,vegfamily,veggenus,vegspecies,fp,gf,po,fppo,gfpo,vrep,bugcode,buggroup,order,suborder,superfamily,family,subfamily,tribe,genus,species,size,bugnat,pol,her,hexu.a,hfol.a,hgram.a,hnec.a,hpal.a,hgran.a,hxyl.a,hfun.a,hexu.is,hfol.is,hgram.is,hnec.is,hpal.is,hgran.is,hxyl.is,hfun.is,pre,pre.a,pre.is,par,det,det.a,det.is,ela,collby,idby
sn,Argyle Square,5/3/15,arg.m2,Midstorey02,Midstorey,Lamiaceae,Lavandula,Lavandula sp.,Midstorey,Shrub,Nonnative,MidNon,ShuNon,3,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Carlton Gardens South,5/2/15,car.m3,Midstorey05,Midstorey,Lamiaceae,Lavandula,Lavandula sp.,Midstorey,Shrub,Nonnative,MidNon,ShuNon,5,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Princes Park,26/2/15,pri.g1,Grass02,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,3,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Princes Park,7/1/15,pri.g2,Grass03,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,4,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Royal Park,14/1/15,roy.g7,Grass11,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,7,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Royal Park,12/2/15,roy.g7,Grass11,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,8,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.g1,Grass14,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,12,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.g4,Grass17,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,15,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.t1,Tree35,Tree,Myrtaceae,Melaleuca,Melaleuca lanceolata,Tree canopy,Tree,Indigenous,CanInd,TreInd,3,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,25/1/15,wes.m1,Midstorey25,Midstorey,Myrtaceae,Melaleuca,Melaleuca nesophila,Midstorey,Shrub,Native,CanNat,ShuNat,1,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,17/2/15,wes.m1,Midstorey25,Midstorey,Myrtaceae,Melaleuca,Melaleuca nesophila,Midstorey,Shrub,Native,CanNat,ShuNat,2,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.m1,Midstorey25,Midstorey,Myrtaceae,Melaleuca,Melaleuca nesophila,Midstorey,Shrub,Native,CanNat,ShuNat,3,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Royal Park,16/2/15,roy.m5,Midstorey19,Midstorey,Myrtaceae,Melaleuca,Melaleuca viminalis,Midstorey,Shrub,Native,MidNat,ShuNat,5,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Women's Peace Gardens,23/2/15,wom.m2,Midstorey31,Midstorey,Myrtaceae,Melaleuca,Melaleuca viminalis,Midstorey,Shrub,Native,MidNat,ShuNat,8,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Lincoln Square,12/1/15,lin.g1,Grass01,Grass,Poaceae,Miscanthus,Miscanthus sinensis,Midstorey,Graminoid,Nonnative,MidNon,GraNon,1,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
