remnant,latitude (deg),longitude (deg),description,total soil N (%),soil P,soil K,soil pH
ben,-32.39621,118.38705,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,15.311111111111112,6.066666666666666,111.64444444444445,5.522222222222222
buntine,-29.97383,116.58449,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,11.4,2.1333333333333333,148.17777777777778,5.788888888888889
camelsoak,-29.41817,116.61992,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,7.144444444444445,3.8444444444444446,147.44444444444446,5.868888888888889
kunjin,-32.3556,117.76057,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,14.311111111111112,5,64.53333333333333,5.282222222222222
mn10,-31.23751,118.40677,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,26.42222222222222,3.1555555555555554,304.02222222222224,5.588888888888889
nam,-31.18729,117.19027,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,32.455555555555556,3.8,75.37777777777778,4.993333333333333
perenjori,-29.47803,116.20386,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,7.111111111111111,3.8666666666666667,258.02222222222224,5.877777777777777
quair,-32.02246,117.37704,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,6.655555555555556,4.888888888888889,134.37777777777777,5.54
solomon,-29.33558,116.3667,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,8.644444444444444,6.311111111111111,348.4888888888889,6.311111111111111
stokes,-29.38087,115.66232,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,6.611111111111111,5.377777777777778,399.15555555555557,5.913333333333333
white,-31.07996,116.81925,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,7.133333333333334,5.533333333333333,127.06666666666666,5.591111111111111
yandi,-29.26923,115.57293,York gum (Eucalyptus loxophleba)-jam (Acacia acuminata) woodlands,4.533333333333333,4.355555555555555,356.2,5.82
