taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,plant_height,to 30 cm tall,,30,maximum,cm,,,,,"Methods, Study species, p.191","Low, winter-flowering shrub to 30 cm tall"
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,plant_width,widely spreading branches forming a dense canopy up to 1 m in diameter,,1,maximum,m,,,,,"Methods, Study species, p.191",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,plant_growth_form,low ... shrub,shrub,shrub,mode,,,,,,"Methods, Study species, p.191",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,plant_growth_substrate,"grows within cracks in outcropping granite; endemic to granite inselbergs; occupies a highly specific habitat, growing almost exclusively within cracks in the massive granite pavement",lithophyte,lithophyte,mode,,,,,,Methods p.191; Discussion p.198,
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,flower_colour,yellow staminal filaments ... yellow anthers and yellow petals and sepals,yellow_orange,yellow_orange,mode,,,,,,"Methods, Study species, p.191",Filaments become red with age and red persistent bracts subtend the flowers; secondary colouring not captured by single dominant flower_colour term
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,flower_ovules_per_functional_carpel_count,2,,2,raw,{count},,,,,"Methods, Study species, p.191",Ovary is unilocular and contains two ovules; usually only one ovule becomes a seed
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,fruit_type,indehiscent nut-like fruit,nut,nut,mode,,,,,,"Methods, Study species, p.191",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,fruit_dehiscence,indehiscent,indehiscent,indehiscent,mode,,,,,,Methods p.191; Discussion p.198,
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,dispersal_unit,indehiscent fruits are passively dispersed,fruit,fruit,mode,,,,,,"Discussion, p.198",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,dispersal_syndrome,fruits can either accumulate beneath plants and be incorporated into organic matter/litter or dispersed across the rock surface by wind and/or surface water flow,anemochory hydrochory,anemochory hydrochory,mode,,,,,,"Discussion, p.198",Retention of the deeply divided sepals on the indehiscent fruit may have adaptive advantages for dispersal
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,dispersal_appendage,retention of the deeply divided sepals on the indehiscent fruit ... may have adaptive advantages for dispersal,floral_parts,floral_parts,mode,,,,,,"Discussion, p.198",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,sex_type,hermaphroditic and is capable of self-fertilization,hermaphrodite,hermaphrodite,mode,,,,,,"Discussion, p.197",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,flower_structural_sex_type,hermaphroditic,bisexual,bisexual,mode,,,,,,"Discussion, p.197",Inferred from statement that the species is hermaphroditic with no separate male/female flowers mentioned
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,breeding_system,"has a mixed mating system with similar rates of pollen tube development and fertilization observed in self-, cross- and open-pollinated flowers; self-compatible",self-compatible,self-compatible,mode,,,,,,Abstract p.189; Results p.192-194; Discussion p.197-198,"breeding_system exists in config/traits.yml; its allowed values are hyphenated (self-compatible/self-incompatible/autogamy/allogamy/apomixis), not underscored, and have no 'mixed_mating' value -- the source's 'mixed mating system' with self-, cross- and open-pollinated flowers showing similar pollen tube development and fertilization resolves to the single value self-compatible (pollen can fertilise same-individual ovules), since AusTraits' breeding_system only captures that compatibility fact, not the realised field mating system."
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,floral_dichogamy,flowers are protogynous; the stigma is exerted beyond the sepals before the anthers are visible and at anthesis the stigma and anthers are well separated (1-2 mm),,protogynous,mode,,,,,,"Methods, Study species, p.191","Candidate trait, not in config/traits.yml controlled vocabulary"
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,autogamous_self_pollination,flowers do not autogamously self-pollinate,,non_autogamous,mode,,,,,,"Methods, Study species, p.191","Candidate trait, not in config/traits.yml controlled vocabulary"
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,vegetative_reproduction_ability,new individuals in the population can arise vegetatively when the stem of an adult plant layers and there is subsequent decay or breakage of the connecting stem,vegetative,vegetative,mode,,,,,,"Discussion, p.196","Reported as rarely observed; recruitment of juveniles into the population was always from seeds (Results, p.196)"
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,life_history,"shrub; only four deaths in the 404 tagged plants recorded over the 3 years; long-isolated, small population",perennial,perennial,mode,,,,,,"Discussion, p.196-197",Not explicitly stated as 'perennial' by the source; inferred from low mortality of mature plants over the multi-year study and shrub growth form (medium confidence)
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,flower_nectar_production,Flowers produced nectar at night that was not replenished during the day,nectar_produced,nectar_produced,mode,,,,,,"Results, Nectar production and flower visitors, p.194",
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,pollination_syndrome,"Floral morphology, orientation and the concentration and volume of nectar produced suggest some degree of specialization associated with pollination by birds",bird,bird,mode,,,,,,Abstract p.189; Discussion p.196,"This floral form (stamens/staminodes fused into a prominent tube), flower colour and presentation hanging beneath branchlets suggests bird pollination"
Verticordia staminosa subsp. staminosa,species,,Wongan Hills population,pollination_vector_possible,Feral honey bees were the most commonly observed flower visitor and they seem to have replaced honeyeaters as the primary pollinator,honeybee,honeybee,mode,,,,,,Abstract p.189; Results p.194; Discussion p.196-197,"Matches the existing AusTraits trait pollination_vector_possible (previously extracted under the placeholder name pollination_system). Recorded as honeybee (rather than the generic bee) since the source specifically identifies Apis mellifera as the taxon that has apparently taken over the primary pollinator role (see also flower_visitor row for the same species). Singing honeyeaters (bird) were also observed probing flowers in 3 of 63 observation periods (5%), suggesting some ongoing bird pollination."
Verticordia staminosa subsp. staminosa,species,Apis mellifera,Wongan Hills population,flower_visitor,"the introduced honey bee (Apis mellifera), which was observed foraging on nectar and contacting anthers and stigmas at all times during the day, accounting for more than 90% of observations",honeybee,honeybee,mode,,,,,,"Results, p.194 and p.197",
Verticordia staminosa subsp. staminosa,species,Helicoverpa punctigera (F. Noctuidae),Wongan Hills population,flower_visitor,The moth Helicoverpa punctigera (F. Noctuidae) was the only other species observed visiting flowers and did so infrequently in 1 year only,moth,moth,mode,,,,,,"Results, p.194 and p.197",
Verticordia staminosa subsp. staminosa,species,Lichenostomus virescens,Wongan Hills population,flower_visitor,The singing honeyeater (Lichenostomus virescens) was also seen probing flowers in three of the 63 observation periods,honeyeater,honeyeater,mode,,,,,,"Results, p.194",
Verticordia staminosa subsp. staminosa,population,,Wongan Hills population,flower_nectar_volume,3.9,,3.9,mean,µL/flower,SE,0.9,,"overnight nectar production, first night after anthesis","Results, Nectar production and flower visitors, p.194","Candidate trait, not in config/traits.yml. n=5 flowers x 3 plants"
