Source,Lat,Lon,Location,Condition,Date,Year,Species,^1-O (Mpa),_w (Mpa),^1-tlp (Mpa),WD (mg mm-3),LA (cm2),LDM (g),SLA (cm2 mg-1),HV (m-4),_13C (a),NL (%)
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.71,-0.15,-2.05372,0.578083259,71.7482436,0.8244,8.703086317,0.002143355,-28.23,1.6
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.73,-0.4,-2.07036,0.547319836,46.6966808,0.5568,8.386616523,0.001938308,-31.61,1.4
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.41,-0.25,-1.80412,0.555129822,34.1805768,0.4257,8.029263989,0.001486787,-32.01,1.6
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.73,-0.5,-2.07036,0.623055118,117.6513776,0.7517,15.6513739,0.002915142,-33.96,1.3
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.47,-0.1,-1.85404,0.538907067,88.4320812,0.8463,10.44925927,0.002628528,-31.5,1.8
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Eucalyptus microcorys,-2.01,-0.2,-2.30332,0.63229308,30.4128424,0.4425,6.872958734,0.003731913,-30.06,1.3
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Eucalyptus microcorys,-1.79,-0.4,-2.12028,0.603558504,42.838624,0.4915,8.715895015,0.001785529,-31.02,1.3
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Eucalyptus microcorys,-1.79,-0.4,-2.12028,0.537647721,53.5676348,0.3987,13.43557432,0.002258001,-29.45,1.3
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Eucalyptus microcorys,-1.65,-0.3,-2.0038,0.493941089,52.58054,0.7287,7.21566351,0.001186536,-31.61,1.1
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Eucalyptus microcorys,-1.92,-0.2,-2.22844,0.59516522,32.3999352,0.6364,5.091127467,0.001969753,-31.25,1.4
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Lophostemon confertus,-1.73,-0.2,-2.07036,0.24532925,78.8127456,0.864,9.121845556,0.000893247,-27.71,2.4
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Lophostemon confertus,-1.51,-0.1,-1.88732,0.389729424,97.838514,0.8286,11.80768936,0.003428052,-28.85,1.5
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Lophostemon confertus,-1.7,-0.1,-2.0454,0.683117096,68.1417992,0.7181,9.489179669,0.002058014,-28.61,1.2
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Lophostemon confertus,-1.83,-0.4,-2.15356,0.864560459,70.0256664,0.8046,8.703165101,0.003009312,-31.22,1.2
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Lophostemon confertus,-1.88,-0.1,-2.19516,0.62736087,68.87083,0.71174,9.6764029,0.001585395,-30.88,1.1
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Tristaniopsis laurina,-1.99,-0.15,-2.28668,0.577196067,36.1676696,0.576,6.279109306,0.003597558,-30.41,1.4
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Tristaniopsis laurina,-1.95,-0.3,-2.2534,0.549803786,14.2128748,0.1863,7.629025658,0.001166212,-29.52,1.1
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Tristaniopsis laurina,-1.86,-0.3,-2.17852,0.558931672,30.9612284,0.4002,7.736438881,0.001600354,-29.86,1.4
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Tristaniopsis laurina,-1.56,-0.3,-1.92892,0.603095605,45.4966832,0.3932,11.57087569,0.003602179,-29.98,1.5
Esperon-Rodriguez et al. In revision,-33.875275,151.184861,City of Sydney,Street tree,May-19,2019,Tristaniopsis laurina,-1.79,-0.3,-2.12028,0.621093497,41.3612076,0.587,7.046202317,0.001903349,-28.74,1.2
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.5,-0.35,-1.879,0.577484019,31.322518,0.414,7.565825604,0.001124145,-28.68,1.1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.88,-0.25,-2.19516,0.707949898,69.580506,0.925,7.522216865,0.001797107,-31.09,1.1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.58,-0.45,-1.94556,0.579082418,50.8128016,0.708,7.176949379,0.002438223,-31.82,1.1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.81,-0.4,-2.13692,0.656374973,63.3030992,0.92,6.880771652,0.002789302,-31.67,1.3
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.66,-0.1,-2.01212,0.574363619,85.1740232,1.348,6.318547715,0.00161148,-30.46,1.6
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Eucalyptus microcorys,-1.96,-0.1,-2.26172,0.553420523,60.9869748,0.926,6.586066393,0.000838694,-30.56,1.7
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Eucalyptus microcorys,-1.88,-0.4,-2.19516,0.498074074,39.5870176,0.365,10.84575825,0.000970139,-30.45,1.3
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Eucalyptus microcorys,-2.08,-0.15,-2.36156,0.496004952,51.5676388,1.016,5.075555,0.001595274,-28.91,1.5
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Eucalyptus microcorys,-1.58,-0.4,-1.94556,0.609720177,46.6063584,0.8,5.8257948,0.001298238,-30.98,1.6
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Eucalyptus microcorys,-1.9,-0.15,-2.2118,0.631995355,57.8644004,0.74,7.819513568,0.001990457,-29.84,1.4
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Lophostemon confertus,-1.79,-0.4,-2.12028,0.139051241,69.322442,1.004,8.366769815,0.002213646,-29.37,1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Lophostemon confertus,-1.86,-0.3,-2.17852,0.569975604,48.5547416,0.797,6.102235379,0.00239128,-27.42,1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Lophostemon confertus,-1.96,-0.3,-2.26172,0.611135678,119.290084,1.711,8.129874652,0.003061857,-29.31,0.9
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Lophostemon confertus,-2.04,-0.5,-2.32828,0.954293092,111.9094536,1.356,8.252281772,0.000956588,-29.61,1.2
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Lophostemon confertus,-1.64,-0.3,-1.99548,0.641412203,107.90301,1.996,5.857106164,0.001316081,-26.57,1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Tristaniopsis laurina,-1.84,-0.3,-2.16188,0.592976339,25.3676912,0.359,7.066209248,0.002550956,NA,NA
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Tristaniopsis laurina,-1.74,-0.15,-2.07868,0.603870913,30.0257464,0.454,6.613600529,0.002740878,-29.51,1.1
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Tristaniopsis laurina,-1.75,-0.15,-2.087,0.577603868,29.6515536,0.429,6.911784056,0.001869039,-29.63,1.2
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Tristaniopsis laurina,-1.88,-0.15,-2.19516,0.575551038,46.4579716,0.64,7.259058063,0.001657905,NA,NA
Esperon-Rodriguez et al. In revision,-33.908333,151.141667,Inner West,Street tree,May-19,2019,Tristaniopsis laurina,-1.9,-0.25,-2.2118,0.579668908,30.5999388,0.37,8.27025373,0.001362034,-31.59,1.2
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.6,-0.2,-1.9622,0.67378021,31.5934852,0.4817,6.558747187,0.002327903,-29.08,1.4
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.72,-0.3,-2.06204,0.601752356,39.3031472,0.6382,6.158437355,0.002031161,-30.58,1.8
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.58,-0.5,-1.94556,0.579199608,40.3289516,0.4799,8.40361567,0.002992794,-29.3,1.7
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.69,-0.2,-2.03708,0.508171564,50.2966736,0.8357,6.018508269,0.001357087,-30.81,1.9
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Cupaniopsis anacardioides,-1.67,-0.3,-2.02044,0.531531532,69.3998612,0.8529,8.136928268,0.001876145,-29.72,1.8
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Eucalyptus microcorys,-2.68,-0.2,-2.86076,0.674992588,24.9289824,0.3425,7.278535007,0.001449213,-30.03,1
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Eucalyptus microcorys,-2.8,-0.15,-2.9606,0.647211469,25.2451108,0.2607,9.683586805,0.001189084,-28.87,1.2
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Eucalyptus microcorys,-2.5,-0.4,-2.711,0.678434956,24.6967248,0.3823,6.460037876,0.0056958,-28.98,1.2
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Eucalyptus microcorys,-2.48,-0.15,-2.69436,0.730366956,29.6709084,0.3761,7.889100877,0.001106748,-29.82,1.4
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Eucalyptus microcorys,-2.73,-0.1,-2.90236,0.665085494,22.0709236,0.5145,4.289781069,0.004180544,-30.78,1.2
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Lophostemon confertus,-2.24,-0.15,-2.49468,0.503184146,73.6192076,1.066,6.904625697,0.001069874,-26.32,1.5
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Lophostemon confertus,-2.56,-0.4,-2.76092,0.952645124,50.709576,0.831,6.092188407,0.001916537,-26.71,1.4
Esperon-Rodriguez et al. In revision,-33.855733,150.995064,Parramatta,Street tree,May-19,2019,Lophostemon confertus,-2.4,-0.45,-2.6278,0.750069691,53.7547312,0.6612,6.97195114,0.005403266,-26.29,1.1
