site,gen spp,GF,DecEv,Nfixer,LfType(N/B),photosynthetic pathway,LMA(g/m2),SLA(cm2/g),Nmass(%),Narea(g/m2),Pmass(%),Parea(g/m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Allocasuarina pusilla,S,E,Y,B,C3,384.6,26.0,1.06,4.08,0.046,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Banksia marginata,S,E,N,B,C3,222.2,45.0,0.63,1.40,0.012,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Banksia ornata,S,E,N,B,C3,263.2,38.0,0.67,1.76,0.016,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Calytrix alpestris,S,E,N,B,C3,476.2,21.0,1.04,4.95,0.045,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Hibbertia riparia,S,E,N,B,C3,188.7,53.0,1.08,2.04,0.047,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Hibbertia sericea,S,E,N,B,C3,476.2,21.0,1.05,5.00,0.045,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Hypolaena fastigiata,G,,N,,,476.2,21.0,0.55,2.62,0.008,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Lepidosperma carphoides,G,,N,,C3,434.8,23.0,0.57,2.48,0.019,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Lepidosperma laterale,G,,N,,C3,434.8,23.0,0.74,3.22,0.028,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Phyllota remota,S,E,Y,B,C3,178.6,56.0,1.43,2.55,0.066,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_heath,Xanthorrhoea australis,S,E,N,N,C3,555.6,18.0,0.47,2.61,0.014,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_mallee,Baeckea crassifolia,S,E,N,B,C3,344.8,29.0,0.94,3.24,0.039,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_mallee,Eucalyptus foecunda,T,E,N,B,C3,333.3,30.0,0.99,3.30,0.052,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_mallee,Eucalyptus incrassata,T,E,N,B,C3,454.5,22.0,0.78,3.55,0.029,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_mallee,Hakea muellerana,S,E,N,N,,312.5,32.0,0.54,1.69,0.018,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_mallee,Lepidosperma laterale,G,,N,,C3,384.6,26.0,0.45,1.73,0.013,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Dark_Island_mallee,Melaleuca uncinata,S,E,N,N,C3,454.5,22.0,1.25,5.68,0.056,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Mt_Lofty,Banksia marginata,S,E,N,B,C3,149.3,67.0,0.85,1.27,0.034,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Mt_Lofty,Eucalyptus baxteri,T,E,N,B,C3,250.0,40.0,0.82,2.05,0.033,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Mt_Lofty,Eucalyptus obliqua,T,E,N,B,C3,227.3,44.0,0.94,2.14,0.046,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Mt_Lofty,Lepidosperma semiteres,G,,N,,C3,454.5,22.0,0.55,2.50,0.018,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specht_Rundel_Mt_Lofty,Leptospermum myrsinoides,S,E,N,B,C3,149.3,67.0,1.08,1.61,0.047,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
