text,category,taxon
I.R. Thompson,Author,Abrotanella forsteroides
John R. Busby (ed. June 2020); P.G. Kodela (ed. June 2020),Contributor,Abrotanella forsteroides
I.R. Thompson,Author,Abrotanella nivigena
John R. Busby (ed. June 2020); P.G. Kodela (June 2020),Contributor,Abrotanella nivigena
I.R. Thompson,Author,Abrotanella scapigera
John R. Busby (ed. June 2020); P.G. Kodela (June 2020),Contributor,Abrotanella scapigera
"D.J. Du Puy, P.G. Kodela",Author,Abutilon auritum
P.G. Kodela,Editor,Abutilon auritum
"John R. Busby (editorial assistance, January 2021)",Contributor,Abutilon auritum
D.J. Du Puy,Author,Abutilon listeri
P.G. Kodela,Editor,Abutilon listeri
"John R. Busby (editorial assistance, January 2021)",Contributor,Abutilon listeri
B.R. Maslin,Author,Acacia abbatiana
P.G. Kodela,Editor,Acacia abbatiana
"P.G. Kodela (ed. January 2018, October 2018, January 2020)",Contributor,Acacia abbatiana
M.D. Tindale & P.G. Kodela,Author,Acacia abbreviata
P.G. Kodela,Editor,Acacia abbreviata
"Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, January 2020)",Contributor,Acacia abbreviata
B.R. Maslin,Author,Acacia abrupta
P.G. Kodela,Editor,Acacia abrupta
"A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, January 2020)",Contributor,Acacia abrupta
B.R. Maslin,Author,Acacia acanthaster
P.G. Kodela,Editor,Acacia acanthaster
"Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)",Contributor,Acacia acanthaster
B.R. Maslin,Author,Acacia acanthoclada subsp. acanthoclada
P.G. Kodela,Editor,Acacia acanthoclada subsp. acanthoclada
"A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018)",Contributor,Acacia acanthoclada subsp. acanthoclada
B.R. Maslin,Author,Acacia acanthoclada subsp. glaucescens
P.G. Kodela,Editor,Acacia acanthoclada subsp. glaucescens
"A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018)",Contributor,Acacia acanthoclada subsp. glaucescens
B.R. Maslin,Author,Acacia acanthoclada
P.G. Kodela,Editor,Acacia acanthoclada
"A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)",Contributor,Acacia acanthoclada
R.S. Cowan & B.R. Maslin,Author,Acacia acellerata
P.G. Kodela,Editor,Acacia acellerata
"Edited by A.E. Orchard (editorial assistance, December 2017), P.G. Kodela (ed. December 2017)",Contributor,Acacia acellerata
B.R. Maslin,Author,Acacia acinacea
P.G. Kodela,Editor,Acacia acinacea
"A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018, December 2019)",Contributor,Acacia acinacea
R.S. Cowan,Author,Acacia aciphylla
P.G. Kodela,Editor,Acacia aciphylla
"A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)",Editor,Acacia aciphylla
B.R. Maslin,Author,Acacia acoma
P.G. Kodela,Editor,Acacia acoma
"Jemima Rogers (minor edits,  June 2012), A.E. Orchard (editorial assistance, December 2017), P.G. Kodela (ed. December 2017)",Contributor,Acacia acoma
M.D. Tindale & P.G. Kodela,Author,Acacia acradenia
P.G. Kodela,Editor,Acacia acradenia
"B.R. Maslin (editorial assistance, June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)",Contributor,Acacia acradenia
"B.R. Maslin (ed. June 2012); A.E. Orchard (ed. December 2017); P.G. Kodela (ed. December 2017)Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).",Acknowledgements,Acacia acradenia
B.R. Maslin,Author,Acacia acrionastes
P.G. Kodela,Editor,Acacia acrionastes
"B.R. Maslin & J. Rogers (ed. June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017)",Contributor,Acacia acrionastes
B.R. Maslin,Author,Acacia acuaria
P.G. Kodela,Editor,Acacia acuaria
"Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, December 2017); B.R. Maslin (updated March 2018); P.G. Kodela (ed. December 2017, April 2020)",Contributor,Acacia acuaria
B.R. Maslin,Author,Acacia aculeatissima
P.G. Kodela,Editor,Acacia aculeatissima
"B.R. Maslin (ed. June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, June 2018)",Contributor,Acacia aculeatissima
B.R. Maslin,Author,Acacia aculeiformis
P.G. Kodela,Editor,Acacia aculeiformis
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia aculeiformis
B.R. Maslin & P.G. Kodela,Author,Acacia acuminata
P.G. Kodela,Editor,Acacia acuminata
"P.G. Kodela (ed. January 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia acuminata
B.R. Maslin,Author,Acacia acutata
P.G. Kodela,Editor,Acacia acutata
"J. Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, January 2018); PG. Kodela (ed. January 2018)",Contributor,Acacia acutata
R.S. Cowan,Author,Acacia adenogonia
P.G. Kodela,Editor,Acacia adenogonia
"J.E. Reid & J. Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, January 2018); P.G. Kodela (ed. January 2018)",Contributor,Acacia adenogonia
B.R. Maslin,Author,Acacia adinophylla
P.G. Kodela,Editor,Acacia adinophylla
"J. Rogers (minor edits, June 2012); P.G. Kodela (ed. December 2017, June 2018); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia adinophylla
B.R. Maslin,Author,Acacia adjutrices
P.G. Kodela,Editor,Acacia adjutrices
R.S. Cowan & M.A. Lewington,Author,Acacia adnata
"B.R. Maslin, P.G. Kodela",Editor,Acacia adnata
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia adnata
A.S. George,Author,Acacia adoxa var. adoxa
"B.R. Maslin, P.G. Kodela",Editor,Acacia adoxa var. adoxa
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia adoxa var. adoxa
A.S. George,Author,Acacia adoxa var. subglabra
"B.R. Maslin, P.G. Kodela",Editor,Acacia adoxa var. subglabra
"B.R. Maslin (ed. June 2012); P.G. Kodela (ed. December 2017); A.E. Orchard (editorial assistance, January 2018)",Contributor,Acacia adoxa var. subglabra
A.S. George,Author,Acacia adoxa
