Location,latitude (deg),longitude (deg),dominant species,MAT (C),MAP (mm),pH (H2O) [0-100 mm depth],pH (CaCl2) [0-100 mm depth],EC (μS m−1) [0-100 mm depth],Total P (mg kg−1) [0-100 mm depth],Organic P (mg kg−1) [0-100 mm depth],Resin P (mg kg-1) [0-100 mm depth],Total Mn (mg kg−1) [0-100 mm depth],pH (H2O) [0-50 mm depth],pH (CaCl2) [0-50 mm depth],EC (μS m−1) [0-50 mm depth],Total P (mg kg−1) [0-50 mm depth],Organic P (mg kg−1) [0-50 mm depth],Resin P (mg kg−1) [0-50 mm depth],N (mg g−1) [0-50 mm depth],N:P [0-50 mm depth],Total C (mg g−1) [0-50 mm depth],Mg (mg g−1) [0-50 mm depth],Ca (mg g−1) [0-50 mm depth],K (mg g−1) [0-50 mm depth],S (mg/g) [0-50 mm depth],Mn (mg kg−1) [0-50 mm depth],Na (mg kg−1) [0-50 mm depth],Zn (mg kg−1) [0-50 mm depth],Cu (mg kg−1) [0-50 mm depth],Fe (g kg−1) [0-50 mm depth],Al (g kg−1) [0-50 mm depth],pH (H2O) [>50 mm depth],pH (CaCl2) [>50 mm depth],EC (μS m−1) [>50 mm depth],Total P (mg kg−1) [>50 mm depth],Organic P (mg kg−1) [>50 mm depth],Resin P (mg kg−1) [>50 mm depth],N (mg g−1) [>50 mm depth],N:P [>50 mm depth],Total C (mg g−1) [>50 mm depth],Mg (mg g−1) [>50 mm depth],Ca (mg g−1) [>50 mm depth],K (mg g−1) [>50 mm depth],S (mg/g) [>50 mm depth],Mn (mg kg−1) [>50 mm depth],Na (mg kg−1) [>50 mm depth],Zn (mg kg−1) [>50 mm depth],Cu (mg kg−1) [>50 mm depth],Fe (g kg−1) [>50 mm depth],Al (g kg−1) [>50 mm depth]
Torndirrup National Park 1,-35.103333,117.899167,E. diversicolor,19.5,925,7.3 (SE=0.2; n=5),6.5 (SE=0.2; n=5),11648 (SE=2385; n=5),46 (SE=7; n=5) ,36 (SE=5; n=5),0.83 (SE=0.11; n=5) ,78 (SE=5; n=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torndirrup National Park 2,-35.103333,117.899167,A. obovatus,19.5,925,4.6 (SE=0.1; n=5),4.0 (SE=0.1; n=5),,50 (SE=17; n=5),30 (SE=2; n=5),3.7 (SE=0.08; n=5),62 (SE=5; n=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porongurup National Park,-34.691111,117.906111,E. diversicolor,19.5,925,7.3 (SE=0.2; n=5),6.7 (SE=0.3; n=5),15867 (SE=3043; n=5),140 (SE=16; n=5),91 (SE=16; n=5),0.36 (SE=0.10; n=5) ,819 (SE=69; n=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waroona,-32.793056,116.012778,E. patens,21.9 ,992 ,,,,,,,,5.7 (SE=0.1; n=5),4.8 (SE=0.1; n=5),9321 (SE=829; n=5),34 (SE=2; n=5),30 (SE=2; n=5),1.1 (SE=0.1; n=5),4.2 (SE=0.3; n=5),25 (SE=1; n=5),107 (SE=10; n=5),0.8 (SE=0.1; n=5),3.3 (SE=0.3; n=5),0.41 (SE=0.04; n=5),0.44 (SE=0.04; n=5),314 (SE=18; n=5),92 (SE=9; n=5),4.7 (SE=0.4; n=5),6.1 (SE=0.2; n=5),15.0 (SE=0.2; n=5),17.5 (SE=0.9; n=5),6.5 (SE=0.1; n=5),5.3 (SE=0.0; n=5),2675 (SE=217; n=5),3.0 (SE=0.6; n=5),2.3 (SE=0.7; n=5),0.7 (SE=0.2; n=5),0.8 (SE=0.1; n=5),14.0 (SE=0.6; n=5),16.3 (SE=1.6; n=5),0.37 (SE=0.04; n=5),0.83 (SE=0.09; n=5),0.39 (SE=0.04; n=5),0.09 (SE=0.01; n=5),193 (SE=6; n=5),66 (SE=6; n=5),3.9 (SE=0.3; n=5),5.6 (SE=0.2; n=5),17.9 (SE=0.3; n=5),24.4 (SE=0.4; n=5)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
