species,seed_mass_mg,seed_N_content_%,seed_P_content_%,seed_K_content_%
Banksia attenuata,102.7,10.8,1.1,0.8
Banksia burdettii,103.4,8.2,0.5,0.5
Banksia hookeriana,46.5,11.4,1.2,0.8
Banksia menziesii,87.9,12.3,1.2,0.7
Banksia prionotes,25,12.4,1.3,0.7
Banksia speciosa,113.7,10.3,1.0,0.5
Eucalyptus accedens,0.79,6.5,1.4,0.9
Eucalyptus brachyphylla,1.04,4.3,1.2,0.8
Eucalyptus calophylla,78.9,7.1,1.2,1.0
Eucalyptus conferruminata,1.39,4.3,1.0,1.0
Eucalyptus erythrocorys,12.8,3.4,1.6,1.1
Eucalyptus macrocarpa,5,5.6,1.1,0.9
Eucalyptus rudis,0.21,4.7,1.2,1.1
Eucalyptus tetragona,6.5,6.4,0.8,0.7
Hakea costata,6.9,,,
Hakea crassifolia,129.3,8.4,2.5,1.2
Hakea obliqua,27.5,8.4,1.6,0.8
Hakea platysperma,630.2,10.7,1.1,0.8
Hakea recurva,18.4,8.1,1.0,0.8
Hakea stenocarpa,14.1,11.6,1.6,0.9
Hakea undulata,12.6,12.3,1.7,0.9
