taxon_name,genus,family,taxon_distribution,taxon_rank,plant_trait,notes,reference,units,name,value,value_type
Abutilon julianae,Abutilon,Malvaceae,NI,species,plant_height,NA,SPRAT_2025_2,m,value_1,1,mean
Abutilon julianae,Abutilon,Malvaceae,NI,species,leaf_length,NA,SPRAT_2025_2,cm,value_1,3,minimum
Abutilon julianae,Abutilon,Malvaceae,NI,species,leaf_length,NA,SPRAT_2025_2,cm,value_2,9,maximum
Acacia aphylla,Acacia,Fabaceae,WA,species,leaf_type,NA,SPRAT_2025_2,NA,value_1,leafless,mode
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,plant_height,NA,SPRAT_2025_2,m,value_1,0.1,minimum
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,plant_height,NA,SPRAT_2025_2,m,value_2,1,maximum
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,fruit_length,NA,SPRAT_2025_2,cm,value_1,1,minimum
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,fruit_length,NA,SPRAT_2025_2,cm,value_2,2,maximum
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,fruit_width,NA,SPRAT_2025_2,cm,value_1,1,minimum
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,fruit_width,NA,SPRAT_2025_2,cm,value_2,2,maximum
Acacia baueri subsp. aspera,Acacia,Fabaceae,NSW,subspecies,post_fire_recruitment,NA,SPRAT_2025_2,NA,value_1,post_fire_recruitment,mode
Acacia chapmanii subsp. australis,Acacia,Fabaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,mm,value_1,20,minimum
Acacia chapmanii subsp. australis,Acacia,Fabaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,mm,value_2,30,maximum
Acacia chapmanii subsp. australis,Acacia,Fabaceae,WA,subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_1,0.7,minimum
Acacia chapmanii subsp. australis,Acacia,Fabaceae,WA,subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_2,1,maximum
Acacia equisetifolia,Acacia,Fabaceae,NT,species,plant_height,NA,Lucid_WATTLE_2018,m,value_1,1,mean
Acacia equisetifolia,Acacia,Fabaceae,NT,species,fruit_length,NA,Lucid_WATTLE_2018,mm,value_1,10,minimum
Acacia equisetifolia,Acacia,Fabaceae,NT,species,fruit_length,NA,Lucid_WATTLE_2018,mm,value_2,30,maximum
Acacia equisetifolia,Acacia,Fabaceae,NT,species,fruit_width,NA,Lucid_WATTLE_2018,mm,value_1,10,minimum
Acacia equisetifolia,Acacia,Fabaceae,NT,species,fruit_width,NA,Lucid_WATTLE_2018,mm,value_2,30,maximum
Acacia lanigera var. gracilipes,Acacia,Fabaceae,"NSW, Vic",variety,plant_height,NA,SPRAT_2025_2,m,value_1,1,minimum
Acacia lanigera var. gracilipes,Acacia,Fabaceae,"NSW, Vic",variety,plant_height,NA,SPRAT_2025_2,m,value_2,2,maximum
Acacia splendens,Acacia,Fabaceae,WA,species,leaf_length,adult,SPRAT_2025_2,cm,value_1,12,mean
Acacia splendens,Acacia,Fabaceae,WA,species,leaf_length,juvenile,SPRAT_2025_2,cm,value_1,9,mean
Acacia splendens,Acacia,Fabaceae,WA,species,leaf_width,adult,SPRAT_2025_2,cm,value_1,3,mean
Acacia splendens,Acacia,Fabaceae,WA,species,leaf_width,juvenile,SPRAT_2025_2,cm,value_1,6,mean
Acacia subflexuosa subsp. capillata,Acacia,Fabaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,cm,value_1,3,minimum
Acacia subflexuosa subsp. capillata,Acacia,Fabaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,cm,value_2,4,maximum
Acacia subflexuosa subsp. capillata,Acacia,Fabaceae,WA,subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_1,1,minimum
Acacia subflexuosa subsp. capillata,Acacia,Fabaceae,WA,subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_2,1.5,maximum
Acanthocladium dockeri,Acanthocladium,Asteraceae,"SA, NSW (presumed extinct)",species,plant_height,NA,SADEW_2025,m,value_1,0.5,mean
Acanthocladium dockeri,Acanthocladium,Asteraceae,"SA, NSW (presumed extinct)",species,bud_bank_location,NA,SADEW_2025,NA,value_1,root_sucker,mode
Acanthocladium dockeri,Acanthocladium,Asteraceae,"SA, NSW (presumed extinct)",species,storage_organ,NA,SADEW_2025,NA,value_1,root_sucker,mode
Acianthus ledwardii,Acianthus,Orchidaceae,Qld,species,inflorescence_stalk,NA,Wikipedia_2025,mm,value_1,50,mean
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,inflorescence_stalk,NA,SPRAT_2025_2,mm,value_1,200,minimum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,inflorescence_stalk,NA,SPRAT_2025_2,mm,value_2,600,maximum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,epiphyte lithophyte,mode
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,bud_bank_location,NA,SPRAT_2025_2,NA,value_1,aboveground_organ,mode
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,storage_organ,NA,SPRAT_2025_2,NA,value_1,pseudobulb,mode
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,fruit_length,NA,SPRAT_2025_2,mm,value_1,6,minimum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,fruit_length,NA,SPRAT_2025_2,mm,value_2,8,maximum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,fruit_width,NA,SPRAT_2025_2,mm,value_1,4,minimum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,fruit_width,NA,SPRAT_2025_2,mm,value_2,5,maximum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,storage_organ_length,pseudobulb ,SPRAT_2025_2,cm,value_1,3,minimum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,storage_organ_length,pseudobulb ,SPRAT_2025_2,cm,value_2,7,maximum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,storage_organ_diameter,pseudobulb ,SPRAT_2025_2,mm,value_1,3,minimum
Acriopsis emarginata,Acriopsis,Orchidaceae,Qld,species,storage_organ_diameter,pseudobulb ,SPRAT_2025_2,mm,value_2,4,maximum
Adenanthos pungens subsp. effusus,Adenanthos,Proteaceae,WA,subspecies,leaf_length,NA,FloraBase_2025,mm,value_1,15,minimum
Adenanthos pungens subsp. effusus,Adenanthos,Proteaceae,WA,subspecies,leaf_length,NA,FloraBase_2025,mm,value_2,40,maximum
Adenanthos pungens subsp. effusus,Adenanthos,Proteaceae,WA,subspecies,leaf_width,NA,FloraBase_2025,mm,value_1,0.5,minimum
Adenanthos pungens subsp. effusus,Adenanthos,Proteaceae,WA,subspecies,leaf_width,NA,FloraBase_2025,mm,value_2,1.5,maximum
Adenanthos pungens subsp. effusus,Adenanthos,Proteaceae,WA,subspecies,flowering_time,NA,FloraBase_2025,NA,value_1,Apr - Nov,mode
Adenanthos pungens subsp. pungens,Adenanthos,Proteaceae,WA,subspecies,leaf_length,NA,SPRAT_2025_2,cm,value_1,3,mean
Adenanthos pungens subsp. pungens,Adenanthos,Proteaceae,WA,subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_1,1,minimum
Adenanthos pungens subsp. pungens,Adenanthos,Proteaceae,WA,subspecies,leaf_width,NA,SPRAT_2025_2,mm,value_2,2,maximum
Adenanthos velutinus,Adenanthos,Proteaceae,WA,species,storage_organ,no lignotuber,SPRAT_2025_2,NA,value_1,none,mode
Adenanthos velutinus,Adenanthos,Proteaceae,WA,species,leaf_length,NA,SPRAT_2025_2,cm,value_1,2,mean
Amyema plicatula,Amyema,Loranthaceae,NSW,species,plant_height,epiphyte,SPRAT_2025_2,NA,value_1,not_given,mode
Amyema plicatula,Amyema,Loranthaceae,NSW,species,plant_growth_substrate,NA,SPRAT_2025_2,NA,value_1,epiphyte,mode
Amyema plicatula,Amyema,Loranthaceae,NSW,species,parasitic,NA,SPRAT_2025_2,NA,value_1,stem_parasitic,mode
Andersonia annelsii,Andersonia,Ericaceae,WA,species,leaf_length,NA,Wikipedia_2025,mm,value_1,2,minimum
Andersonia annelsii,Andersonia,Ericaceae,WA,species,leaf_length,NA,Wikipedia_2025,mm,value_2,5,maximum
Andersonia annelsii,Andersonia,Ericaceae,WA,species,leaf_width,NA,Wikipedia_2025,mm,value_1,2,minimum
Andersonia annelsii,Andersonia,Ericaceae,WA,species,leaf_width,NA,Wikipedia_2025,mm,value_2,5,maximum
Andersonia axilliflora,Andersonia,Ericaceae,WA,species,leaf_length,NA,SPRAT_2025_2,cm,value_1,3,mean
Andersonia gracilis,Andersonia,Ericaceae,WA,species,leaf_length,NA,Wikipedia_2025,mm,value_1,1,minimum
Andersonia gracilis,Andersonia,Ericaceae,WA,species,leaf_length,NA,Wikipedia_2025,mm,value_2,1.5,maximum
Andersonia gracilis,Andersonia,Ericaceae,WA,species,leaf_width,NA,Wikipedia_2025,mm,value_1,2,minimum
Andersonia gracilis,Andersonia,Ericaceae,WA,species,leaf_width,NA,Wikipedia_2025,mm,value_2,5,maximum
Andersonia pinaster,Andersonia,Ericaceae,WA,species,leaf_length,NA,SPRAT_2025_2,mm,value_1,15,mean
Androcalva adenothalia,Androcalva,Malvaceae,WA,species,leaf_length,NA,FloraBase_2025,mm,value_1,10,minimum
Androcalva adenothalia,Androcalva,Malvaceae,WA,species,leaf_length,NA,FloraBase_2025,mm,value_2,15,maximum
Androcalva adenothalia,Androcalva,Malvaceae,WA,species,leaf_width,NA,FloraBase_2025,mm,value_1,5,minimum
Androcalva adenothalia,Androcalva,Malvaceae,WA,species,leaf_width,NA,FloraBase_2025,mm,value_2,15,maximum
Androcalva bivillosa,Androcalva,Malvaceae,WA,species,leaf_length,NA,Wikipedia_2025,mm,value_1,6,minimum
Androcalva bivillosa,Androcalva,Malvaceae,WA,species,leaf_length,NA,Wikipedia_2025,mm,value_2,22,maximum
