error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Hughes_1992_123,Leishman_1995,Drosera spatulata,NA,NA,Leishman_1995_018,plant_height,0.1,m,NA,expert_mean,NA,Drosera spathulata
Duplicate of Hughes_1992_439,Leishman_1995,Comesperma sphaerocarpum,NA,NA,Leishman_1995_027,plant_height,0.2,m,NA,expert_mean,NA,Comesperma sphaerocarpum
Duplicate of Hughes_1992_038,Leishman_1995,Lomandra glauca,NA,NA,Leishman_1995_031,plant_height,0.2,m,NA,expert_mean,NA,Lomandra glauca
Duplicate of Hughes_1992_096,Leishman_1995,Oplismenus hirtellus,NA,NA,Leishman_1995_033,plant_height,0.2,m,NA,expert_mean,NA,Oplismenus aemula
Duplicate of Hughes_1992_149,Leishman_1995,Pomax umbellata,NA,NA,Leishman_1995_034,plant_height,0.2,m,NA,expert_mean,NA,Pomax umbellata
Duplicate of Barlow_1981_3826,Leishman_1995,Schelhammera undulata,NA,NA,Leishman_1995_035,plant_height,0.2,m,NA,expert_mean,NA,Schelhammera undulata
Duplicate of Hughes_1992_146,Leishman_1995,Stylidium lineare,NA,NA,Leishman_1995_037,plant_height,0.2,m,NA,expert_mean,NA,Stylidium lineare
Duplicate of Hughes_1992_117,Leishman_1995,Drosera peltata,NA,NA,Leishman_1995_039,plant_height,0.25,m,NA,expert_mean,NA,Drosera peltata
Duplicate of Hughes_1992_187,Leishman_1995,Actinotus minor,NA,NA,Leishman_1995_043,plant_height,0.3,m,NA,expert_mean,NA,Actinotus minor
Duplicate of Hughes_1992_070,Leishman_1995,Caesia parviflora,NA,NA,Leishman_1995_045,plant_height,0.3,m,NA,expert_mean,NA,Caesia parviflora
Duplicate of Hughes_1992_070,Leishman_1995,Caesia parviflora,NA,NA,Leishman_1995_046,plant_height,0.3,m,NA,expert_mean,NA,Caesia vittata
Duplicate of Hughes_1992_409,Leishman_1995,Gompholobium glabratum,NA,NA,Leishman_1995_050,plant_height,0.3,m,NA,expert_mean,NA,Gompholobium glabratum
Duplicate of Hughes_1992_189,Leishman_1995,Goodenia bellidifolia,NA,NA,Leishman_1995_051,plant_height,0.3,m,NA,expert_mean,NA,Goodenia bellidifolia
Duplicate of Hughes_1992_078,Leishman_1995,Lomandra multiflora,NA,NA,Leishman_1995_052,plant_height,0.3,m,NA,expert_mean,NA,Lomandra multiflora
Duplicate of Barlow_1981_3217,Leishman_1995,Patersonia glabrata,NA,NA,Leishman_1995_055,plant_height,0.3,m,NA,expert_mean,NA,Patersonia glabrata
Duplicate of Hughes_1992_129,Leishman_1995,Pterostylis daintreana,NA,NA,Leishman_1995_058,plant_height,0.3,m,NA,expert_mean,NA,Pterostylis cfdaintreana
Duplicate of Hughes_1992_222,Leishman_1995,Schoenus ericetorum,NA,NA,Leishman_1995_059,plant_height,0.3,m,NA,expert_mean,NA,Schoenus ericetorum
Duplicate of Hughes_1992_223,Leishman_1995,Schoenus imberbis,NA,NA,Leishman_1995_060,plant_height,0.3,m,NA,expert_mean,NA,Schoenus imberbis
Duplicate of Hughes_1992_055,Leishman_1995,Tricoryne simplex,NA,NA,Leishman_1995_062,plant_height,0.3,m,NA,expert_mean,NA,Tricoryne simplex
Duplicate of Hughes_1992_251,Leishman_1995,Tricostularia pauciflora,NA,NA,Leishman_1995_063,plant_height,0.3,m,NA,expert_mean,NA,Tricostularia pauciflora
Duplicate of Hughes_1992_058,Leishman_1995,Burchardia umbellata,NA,NA,Leishman_1995_065,plant_height,0.35,m,NA,expert_mean,NA,Burchardia umbellata
Duplicate of Hughes_1992_177,Leishman_1995,Lagenophora stipitata,NA,NA,Leishman_1995_067,plant_height,0.4,m,NA,expert_mean,NA,Lagenifera stipitata
Duplicate of Hughes_1992_068,Leishman_1995,Patersonia sericea,NA,NA,Leishman_1995_069,plant_height,0.4,m,NA,expert_mean,NA,Patersonia sericea
Duplicate of Hughes_1992_224,Leishman_1995,Ptilothrix deusta,NA,NA,Leishman_1995_071,plant_height,0.4,m,NA,expert_mean,NA,Ptilanthelium deusteum
Duplicate of Hughes_1992_427,Leishman_1995,Tetratheca ericifolia,NA,NA,Leishman_1995_072,plant_height,0.4,m,NA,expert_mean,NA,Tetratheca ericifolia
Duplicate of Hughes_1992_072,Leishman_1995,Thysanotus juncifolius,NA,NA,Leishman_1995_073,plant_height,0.4,m,NA,expert_mean,NA,Thysanotus juncifolius
Duplicate of Hughes_1992_073,Leishman_1995,Thysanotus tuberosus,NA,NA,Leishman_1995_074,plant_height,0.4,m,NA,expert_mean,NA,Thysanotus tuberosus
Duplicate of Hughes_1992_410,Leishman_1995,Bossiaea ensata,NA,NA,Leishman_1995_076,plant_height,0.5,m,NA,expert_mean,NA,Bossiaea ensata
Duplicate of Barlow_1981_1151,Leishman_1995,Dianella caerulea,NA,NA,Leishman_1995_083,plant_height,0.5,m,NA,expert_mean,NA,Dianella cerulea
Duplicate of Hughes_1992_075,Leishman_1995,Chordifex dimorphus,NA,NA,Leishman_1995_105,plant_height,0.5,m,NA,expert_mean,NA,Restio dimorphus
Duplicate of GrassBase_2014_0949,Leishman_1995,Ehrharta juncea,NA,NA,Leishman_1995_114,plant_height,0.5,m,NA,expert_mean,NA,Tetrarrhena juncea
Duplicate of Hughes_1992_176,Leishman_1995,Cyanthillium cinereum,NA,NA,Leishman_1995_117,plant_height,0.5,m,NA,expert_mean,NA,Vernonia cinerea
Duplicate of Hughes_1992_145,Leishman_1995,Wahlenbergia sp.,NA,NA,Leishman_1995_118,plant_height,0.5,m,NA,expert_mean,NA,Wahlenbergia sp.
Duplicate of Hughes_1992_040,Leishman_1995,Blandfordia nobilis,NA,NA,Leishman_1995_119,plant_height,0.6,m,NA,expert_mean,NA,Blandfordia nobilis
Duplicate of Barlow_1981_1093,Leishman_1995,Dampiera stricta,NA,NA,Leishman_1995_125,plant_height,0.6,m,NA,expert_mean,NA,Dampiera stricta
Duplicate of Hughes_1992_086,Leishman_1995,Echinopogon caespitosus,NA,NA,Leishman_1995_126,plant_height,0.6,m,NA,expert_mean,NA,Echinopogon caespitosus
Duplicate of Hughes_1992_460,Leishman_1995,Hibbertia riparia,NA,NA,Leishman_1995_128,plant_height,0.6,m,NA,expert_mean,NA,Hibbertia riparia
Duplicate of Hughes_1992_451,Leishman_1995,Phanerandra esquamata,NA,NA,Leishman_1995_129,plant_height,0.6,m,NA,expert_mean,NA,Leucopogon esquamatus
Duplicate of Hughes_1992_272,Leishman_1995,Stackhousia viminea,NA,NA,Leishman_1995_131,plant_height,0.6,m,NA,expert_mean,NA,Stackhousia viminea
Duplicate of Hughes_1992_188,Leishman_1995,Xanthosia pilosa,NA,NA,Leishman_1995_132,plant_height,0.6,m,NA,expert_mean,NA,Xanthosia pilosa
Duplicate of Hughes_1992_052,Leishman_1995,Xyris gracilis,NA,NA,Leishman_1995_133,plant_height,0.6,m,NA,expert_mean,NA,Xyris gracilis
Duplicate of Hughes_1992_364,Leishman_1995,Zieria laevigata,NA,NA,Leishman_1995_134,plant_height,0.6,m,NA,expert_mean,NA,Zieria laevigata
Duplicate of Hughes_1992_255,Leishman_1995,Caustis flexuosa,NA,NA,Leishman_1995_137,plant_height,0.8,m,NA,expert_mean,NA,Caustis flexuosa
Duplicate of GrassBase_2014_0429,Leishman_1995,Entolasia stricta,NA,NA,Leishman_1995_139,plant_height,0.8,m,NA,expert_mean,NA,Entolasia stricta
Duplicate of Hughes_1992_112,Leishman_1995,Imperata cylindrica,NA,NA,Leishman_1995_140,plant_height,0.8,m,NA,expert_mean,NA,Imperata cylindrica
Duplicate of Hughes_1992_461,Leishman_1995,Leucopogon microphyllus,NA,NA,Leishman_1995_141,plant_height,0.8,m,NA,expert_mean,NA,Leucopogon microphyllus
Duplicate of Hughes_1992_308,Leishman_1995,Baeckea diosmifolia,NA,NA,Leishman_1995_145,plant_height,1,m,NA,expert_mean,NA,Baeckea diosmifolia
Duplicate of Hughes_1992_459,Leishman_1995,Brachyloma daphnoides,NA,NA,Leishman_1995_148,plant_height,1,m,NA,expert_mean,NA,Brachyloma daphnoides
Duplicate of Hughes_1992_380,Leishman_1995,Citriobatus pauciflorus,NA,NA,Leishman_1995_150,plant_height,1,m,NA,expert_mean,NA,Citriobatus pauciflorus
Duplicate of Hughes_1992_356,Leishman_1995,Eriostemon buxifolius,NA,NA,Leishman_1995_154,plant_height,1,m,NA,expert_mean,NA,Eriostemon buxifolius
Duplicate of Hughes_1992_403,Leishman_1995,Gompholobium grandiflorum,NA,NA,Leishman_1995_156,plant_height,1,m,NA,expert_mean,NA,Gompholobium grandiflorum
Duplicate of Hughes_1992_317,Leishman_1995,Goodenia ovata,NA,NA,Leishman_1995_157,plant_height,1,m,NA,expert_mean,NA,Goodenia ovata
Duplicate of Hughes_1992_347,Leishman_1995,Helichrysum elatum,NA,NA,Leishman_1995_160,plant_height,1,m,NA,expert_mean,NA,Helichrysum elatum
Duplicate of Hughes_1992_455,Leishman_1995,Hibbertia bracteata,NA,NA,Leishman_1995_161,plant_height,1,m,NA,expert_mean,NA,Hibbertia bracteata
Duplicate of Hughes_1992_423,Leishman_1995,Hovea linearis,NA,NA,Leishman_1995_164,plant_height,1,m,NA,expert_mean,NA,Hovea linearis
Duplicate of Hughes_1992_252,Leishman_1995,Lepidosperma flexuosum,NA,NA,Leishman_1995_165,plant_height,1,m,NA,expert_mean,NA,Lepidosperma flexulosum
Duplicate of Hughes_1992_232,Leishman_1995,Lepidosperma laterale,NA,NA,Leishman_1995_166,plant_height,1,m,NA,expert_mean,NA,Lepidosperma laterale
Duplicate of WAH_1998_3738,Leishman_1995,Leptocarpus tenax,NA,NA,Leishman_1995_167,plant_height,1,m,NA,expert_mean,NA,Leptocarpus tenax
Duplicate of Hughes_1992_042,Leishman_1995,Lepyrodia scariosa,NA,NA,Leishman_1995_168,plant_height,1,m,NA,expert_mean,NA,Lepyrodia scariosa
Duplicate of Hughes_1992_400,Leishman_1995,Monotoca scoparia,NA,NA,Leishman_1995_171,plant_height,1,m,NA,expert_mean,NA,Monotoca scoparia
Duplicate of Hughes_1992_415,Leishman_1995,Phyllota phylicoides,NA,NA,Leishman_1995_174,plant_height,1,m,NA,expert_mean,NA,Phyllota phylicoides
Duplicate of Hughes_1992_456,Leishman_1995,Pimelea linifolia,NA,NA,Leishman_1995_175,plant_height,1,m,NA,expert_mean,NA,Pimelea linifolia
Duplicate of Hughes_1992_405,Leishman_1995,Platylobium formosum,NA,NA,Leishman_1995_176,plant_height,1,m,NA,expert_mean,NA,Platylobium formosum
Duplicate of Hughes_1992_444,Leishman_1995,Pultenaea elliptica,NA,NA,Leishman_1995_177,plant_height,1,m,NA,expert_mean,NA,Pultenaea elliptica
Duplicate of Hughes_1992_446,Leishman_1995,Styphelia tubiflora,NA,NA,Leishman_1995_180,plant_height,1,m,NA,expert_mean,NA,Styphelia tubiflora
Duplicate of Hughes_1992_453,Leishman_1995,Platysace linearifolia,NA,NA,Leishman_1995_196,plant_height,1.5,m,NA,expert_mean,NA,Platysace linearifolia
Duplicate of Hughes_1992_270,Leishman_1995,Acacia ulicifolia,NA,NA,Leishman_1995_198,plant_height,2,m,NA,expert_mean,NA,Acacia ulicifolia
Duplicate of Hughes_1992_260,Leishman_1995,Banksia spinulosa,NA,NA,Leishman_1995_201,plant_height,2,m,NA,expert_mean,NA,Banksia spinulosa
Duplicate of Hughes_1992_424,Leishman_1995,Bauera rubioides,NA,NA,Leishman_1995_202,plant_height,2,m,NA,expert_mean,NA,Bauera rubioides
Duplicate of Hughes_1992_320,Leishman_1995,Breynia oblongifolia,NA,NA,Leishman_1995_203,plant_height,2,m,NA,expert_mean,NA,Breynia oblongifolia
Duplicate of Hughes_1992_349,Leishman_1995,Calytrix tetragona,NA,NA,Leishman_1995_204,plant_height,2,m,NA,expert_mean,NA,Calytrix tetragona
Duplicate of Hughes_1992_253,Leishman_1995,Caustis pentandra,NA,NA,Leishman_1995_205,plant_height,2,m,NA,expert_mean,NA,Caustis pentandra
Duplicate of Hughes_1992_292,Leishman_1995,Darwinia fascicularis,NA,NA,Leishman_1995_208,plant_height,2,m,NA,expert_mean,NA,Darwinia fascicularis
Duplicate of Hughes_1992_360,Leishman_1995,Eriostemon australasius,NA,NA,Leishman_1995_212,plant_height,2,m,NA,expert_mean,NA,Eriostemon australasius
Duplicate of Hughes_1992_234,Leishman_1995,Gahnia erythrocarpa,NA,NA,Leishman_1995_213,plant_height,2,m,NA,expert_mean,NA,Gahnia erythrocarpa
Duplicate of Hughes_1992_406,Leishman_1995,Grevillea buxifolia,NA,NA,Leishman_1995_214,plant_height,2,m,NA,expert_mean,NA,Grevillea buxifolia
Duplicate of Hughes_1992_351,Leishman_1995,Ozothamnus diosmifolius,NA,NA,Leishman_1995_218,plant_height,2,m,NA,expert_mean,NA,Helichrysum diosmifolium
Duplicate of Barlow_1981_2741,Leishman_1995,Isopogon anemonifolius,NA,NA,Leishman_1995_221,plant_height,2,m,NA,expert_mean,NA,Isopogon anemonifolius
Duplicate of Barlow_1981_2837,Leishman_1995,Lambertia formosa,NA,NA,Leishman_1995_222,plant_height,2,m,NA,expert_mean,NA,Lambertia formosa
Duplicate of Hughes_1992_373,Leishman_1995,Persoonia lanceolata,NA,NA,Leishman_1995_224,plant_height,2,m,NA,expert_mean,NA,Persoonia lanceolata
Duplicate of Hughes_1992_357,Leishman_1995,Phebalium squamulosum,NA,NA,Leishman_1995_225,plant_height,2,m,NA,expert_mean,NA,Phebalium squamulosum
Duplicate of Hughes_1992_417,Leishman_1995,Pultenaea stipularis,NA,NA,Leishman_1995_227,plant_height,2,m,NA,expert_mean,NA,Pultenaea stipularis
Duplicate of Hughes_1992_407,Leishman_1995,Ricinocarpos pinifolius,NA,NA,Leishman_1995_228,plant_height,2,m,NA,expert_mean,NA,Ricinocarpos pinifolius
Duplicate of Barlow_1981_4258,Leishman_1995,Xanthorrhoea arborea,NA,NA,Leishman_1995_231,plant_height,2,m,NA,expert_mean,NA,Xanthorrhoea arborea
Duplicate of Hughes_1992_361,Leishman_1995,Zieria smithii,NA,NA,Leishman_1995_234,plant_height,2,m,NA,expert_mean,NA,Zieria smithii
Duplicate of Hughes_1992_258,Leishman_1995,Angophora hispida,NA,NA,Leishman_1995_235,plant_height,2.5,m,NA,expert_mean,NA,Angophora hispida
Duplicate of Hughes_1992_318,Leishman_1995,Astrotricha floccosa,NA,NA,Leishman_1995_236,plant_height,3,m,NA,expert_mean,NA,Astrotricha floccosa
Duplicate of Barlow_1981_0109,Leishman_1995,Allocasuarina distyla,NA,NA,Leishman_1995_238,plant_height,3,m,NA,expert_mean,NA,Casuarina distyla
Duplicate of Hughes_1992_593,Leishman_1995,Clerodendrum tomentosum,NA,NA,Leishman_1995_241,plant_height,3,m,NA,expert_mean,NA,Clerodendrum tomentosum
