family,taxa,spauth,infraspecauth,oilcontentval,oilmaterialdesc,moisturestatus,oilnotes,refshort,refdesc
ACHARIACEAE,Baileyoxylon lanceolatum,C.T.White,,13,Embryo+endosperm,Dry weight basis,,,
ALISMATACEAE,Alisma plantago-aquatica,L.,,4.2,Entire seed/nut,Moisture content not stated,,"(Crocker, 1938)","Crocker, W. 1938. Life-span of seeds. Botanical Review, 4:235-274."
ALISMATACEAE,Alisma plantago-aquatica,L.,,4.2,Entire seed/nut,Moisture content not stated,,"(Grime et al., 1981)","Grime, J.P., Mason, G., Curtis, A.A., Rodman, J., Band, S.R., Mowforth, M.A.G., Neal, A.M. and Shaw, S. 1981. A comparative study of germination characteristics in a local flora. Journal of Ecology, 69:1017-1059."
ALISMATACEAE,Alisma plantago-aquatica,L.,,4.2,Entire seed/nut,Moisture content not stated,,"(Guppy, 1897)","Guppy, H.B., 1897. On the postponement of germination of seeds of aquatic plants. Proceedings of the Royal Physiology Society Edinburgh, 13:344-359."
ANACARDIACEAE,Semecarpus australiensis,Engl.,,24,Embryo+endosperm,Dry weight basis,,,
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,6.1,Entire seed/nut,Dry weight basis,Quoted as 'food reserve',"(Shea & Armstrong, 1978)","Shea, G.M. and Armstrong, P.A. 1978. The effect of post-harvest environmental factors on the longevity of Hoop pine seed. Research Note Queenlands Department of Forestry No 24."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,6.1,Entire seed/nut,Dry weight basis,Quoted as 'food reserve',"(Tompsett, 1982)","Tompsett, P.B. 1982. The effect of desiccation on the longevity of seeds of Araucaria hunsteinii and A. cunninghamii. Annals of Botany, 50:693-704."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,6.1,Entire seed/nut,Dry weight basis,Quoted as 'food reserve',"(Tompsett, 1983a)","Tompsett, P.B. 1983a. Handling and storage of Agathis and Araucaria seed. Sylvicultura Ano VIII no 30:290-293."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,6.1,Entire seed/nut,Dry weight basis,Quoted as 'food reserve',"(Tompsett, 1984a)","Tompsett, P.B. 1984a. The effect of moisture content and temperature on the storage life of Araucaria columnaris. Seed Science and Technology, 12:801-816."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,6.1,Entire seed/nut,Dry weight basis,Quoted as 'food reserve',"(Tompsett, 1994)","Tompsett, P.B. 1994. Capture of genetic resources by collection and storage of seed: a physiological approach. In Tropical Trees: The Potential for Domestication and the Rebuilding of Forest Resources. ITE Symposium No 29, ECTF Symposium No 1. (Ed. by R.R"
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,43.5,Embryo,Dry weight basis,,"(Shea & Armstrong, 1978)","Shea, G.M. and Armstrong, P.A. 1978. The effect of post-harvest environmental factors on the longevity of Hoop pine seed. Research Note Queenlands Department of Forestry No 24."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,43.5,Embryo,Dry weight basis,,"(Tompsett, 1982)","Tompsett, P.B. 1982. The effect of desiccation on the longevity of seeds of Araucaria hunsteinii and A. cunninghamii. Annals of Botany, 50:693-704."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,43.5,Embryo,Dry weight basis,,"(Tompsett, 1983a)","Tompsett, P.B. 1983a. Handling and storage of Agathis and Araucaria seed. Sylvicultura Ano VIII no 30:290-293."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,43.5,Embryo,Dry weight basis,,"(Tompsett, 1984a)","Tompsett, P.B. 1984a. The effect of moisture content and temperature on the storage life of Araucaria columnaris. Seed Science and Technology, 12:801-816."
ARAUCARIACEAE,Araucaria cunninghamii,Ait. ex D.Don,,43.5,Embryo,Dry weight basis,,"(Tompsett, 1994)","Tompsett, P.B. 1994. Capture of genetic resources by collection and storage of seed: a physiological approach. In Tropical Trees: The Potential for Domestication and the Rebuilding of Forest Resources. ITE Symposium No 29, ECTF Symposium No 1. (Ed. by R.R"
ARECACEAE,Oraniopsis appendiculata,(Bailey) J.Dransf.,,6.2,Embryo+endosperm,Dry weight basis,,,
ARECACEAE,Ptychosperma macarthurii,(Wendl. ex Veitch) H.Wendl. ex Hook.f.,,8,Entire seed/nut,Moisture content not stated,,"(Almeida et al., 1990)","Almeida, E.C., Pinheiro, A.L. and Lanza, T.C.L. 1990. Germination of Moghania rhodocarpa seeds. Revista Ceres 37:482-488. (Seed Abstracts 1992:15 (1) No 78)"
ARECACEAE,Wodyetia bifurcata,A.K.Irvine,,8.5,Embryo+endosperm,Dry weight basis,,,
ARECACEAE,Cocos nucifera,L.,,64.5,Kernel,Dry weight basis,,"(Anon., 1992)","Anon. 1992. Coconut. OlTagineux- Activity Report 1989-1991 of the Institut de Recherche pour les Huiles et OlTagineux (IRHO-CIRAD), 47:328-344."
ARECACEAE,Cocos nucifera,L.,,64.5,Kernel,Dry weight basis,,"(Assy-Bah & Engelmann, 1992)","Assy-Bah, B. and Engelmann, F. 1992. Cryopreservation of mature embryos of coconut (Coccos nucifera L.) and subsequent regeneration of plantlets. Cryo-Letters, 13:117- 126."
ARECACEAE,Cocos nucifera,L.,,64.5,Kernel,Dry weight basis,,"(Chin, 1989)","Chin, H.F. 1989. Recalcitrant seeds. Extension Bulletin No 288. Republic of China on Taiwan: Food and Fertilizer Technology Center."
ARECACEAE,Cocos nucifera,L.,,64.5,Kernel,Dry weight basis,,"(Engelmann et al., 1995a)","Engelmann, F., Chabrillange, N., Dussert, S. and Duval, Y. 1995a. Cryopreservation of zygotic embryos and kernels of oil palm (Elaeis guineensis Jacq.). Seed Science Research, 5:81-86."
ARECACEAE,Cocos nucifera,L.,,64.5,Kernel,Dry weight basis,,"(Engelmann et al., 1995b)","Engelmann, F., Dumet, D., Chabrillange, N., Abdelour-Esquivel, A., Assy-Bah, B., Dereuddre, J. and Duval, Y. 1995b. Factors affecting the cryopreservation of coffee, coconut and oil palm embryos. Plant Genetic Resources Newsletter, 103:27-31."
ARECACEAE,Cocos nucifera,L.,,66.5,Endosperm,Moisture content not stated,Mid-point of the range 65-68,"(Anon., 1992)","Anon. 1992. Coconut. OlTagineux- Activity Report 1989-1991 of the Institut de Recherche pour les Huiles et OlTagineux (IRHO-CIRAD), 47:328-344."
ARECACEAE,Cocos nucifera,L.,,66.5,Endosperm,Moisture content not stated,Mid-point of the range 65-68,"(Assy-Bah & Engelmann, 1992)","Assy-Bah, B. and Engelmann, F. 1992. Cryopreservation of mature embryos of coconut (Coccos nucifera L.) and subsequent regeneration of plantlets. Cryo-Letters, 13:117- 126."
ARECACEAE,Cocos nucifera,L.,,66.5,Endosperm,Moisture content not stated,Mid-point of the range 65-68,"(Chin, 1989)","Chin, H.F. 1989. Recalcitrant seeds. Extension Bulletin No 288. Republic of China on Taiwan: Food and Fertilizer Technology Center."
ARECACEAE,Cocos nucifera,L.,,66.5,Endosperm,Moisture content not stated,Mid-point of the range 65-68,"(Engelmann et al., 1995a)","Engelmann, F., Chabrillange, N., Dussert, S. and Duval, Y. 1995a. Cryopreservation of zygotic embryos and kernels of oil palm (Elaeis guineensis Jacq.). Seed Science Research, 5:81-86."
ARECACEAE,Cocos nucifera,L.,,66.5,Endosperm,Moisture content not stated,Mid-point of the range 65-68,"(Engelmann et al., 1995b)","Engelmann, F., Dumet, D., Chabrillange, N., Abdelour-Esquivel, A., Assy-Bah, B., Dereuddre, J. and Duval, Y. 1995b. Factors affecting the cryopreservation of coffee, coconut and oil palm embryos. Plant Genetic Resources Newsletter, 103:27-31."
ARECACEAE,Cocos nucifera,L.,,68.5,Endosperm,Dry weight basis,Mid-point of the range 65-72,"(Anon., 1992)","Anon. 1992. Coconut. OlTagineux- Activity Report 1989-1991 of the Institut de Recherche pour les Huiles et OlTagineux (IRHO-CIRAD), 47:328-344."
ARECACEAE,Cocos nucifera,L.,,68.5,Endosperm,Dry weight basis,Mid-point of the range 65-72,"(Assy-Bah & Engelmann, 1992)","Assy-Bah, B. and Engelmann, F. 1992. Cryopreservation of mature embryos of coconut (Coccos nucifera L.) and subsequent regeneration of plantlets. Cryo-Letters, 13:117- 126."
ARECACEAE,Cocos nucifera,L.,,68.5,Endosperm,Dry weight basis,Mid-point of the range 65-72,"(Chin, 1989)","Chin, H.F. 1989. Recalcitrant seeds. Extension Bulletin No 288. Republic of China on Taiwan: Food and Fertilizer Technology Center."
ARECACEAE,Cocos nucifera,L.,,68.5,Endosperm,Dry weight basis,Mid-point of the range 65-72,"(Engelmann et al., 1995a)","Engelmann, F., Chabrillange, N., Dussert, S. and Duval, Y. 1995a. Cryopreservation of zygotic embryos and kernels of oil palm (Elaeis guineensis Jacq.). Seed Science Research, 5:81-86."
ARECACEAE,Cocos nucifera,L.,,68.5,Endosperm,Dry weight basis,Mid-point of the range 65-72,"(Engelmann et al., 1995b)","Engelmann, F., Dumet, D., Chabrillange, N., Abdelour-Esquivel, A., Assy-Bah, B., Dereuddre, J. and Duval, Y. 1995b. Factors affecting the cryopreservation of coffee, coconut and oil palm embryos. Plant Genetic Resources Newsletter, 103:27-31."
AUSTROBAILEYACEAE,Austrobaileya scandens,C.T.White,,39,Embryo+endosperm,Dry weight basis,,,
BORAGINACEAE,Heliotropium europaeum,L.,,23.8,Entire seed/nut,Moisture content not stated,,"(Thompson et al., 1997)","Thompson, K., Bakker, J.P. and Bekker, R.M. 1997. The Soil Seed Banks of North West Europe: Methodology, density and Longevity. Cambridge University Press, Cambridge."
CALOPHYLLACEAE,Mammea touriga,(C.T.White & W.D.Francis) L.S.Sm.,,3.9,Embryo+endosperm,Dry weight basis,,,
CALOPHYLLACEAE,Calophyllum inophyllum,L.,,70,Entire seed/nut,Moisture content not stated,,"(Doai Van Nguyen, sine anno)","Dr Doai Van Nguyen. National Forest Seed Company, 57 Ngockhanh, Badinh, Hanoi, Vietnam."
CALYCANTHACEAE,Idiospermum australiense,(Diels) S.T.Blake,,9.9,Embryo+endosperm,Dry weight basis,,,
CANNABACEAE,Trema orientalis,(L.) Blume,,28.1,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
CAPPARACEAE,Capparis spinosa,L.,,30.6,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
CAPPARACEAE,Capparis spinosa,L.,,31.6,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
CAPPARACEAE,Capparis spinosa,L.,,35,Entire seed/nut,Dry weight basis,Mid-point of the range 34-36.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
CASUARINACEAE,Casuarina equisetifolia,L.,,1,Entire seed/nut,Moisture content not stated,,"(Jones, 1967)","Jones, L. 1967. Effect of storage at various moisture contents and temperatures on seed germination of silk oak, Australian pine, and Eucalyptus spp. USDA, Forest Service, Southeastern Forest Experiment Station, Asheville. Research Note SE-83."
CASUARINACEAE,Casuarina equisetifolia,L.,,1,Entire seed/nut,Moisture content not stated,,"(Olson & Petteys, 1974)","Olson, D.F.Jr. and Petteys,E.Q.P. 1974. Casuarina L. In Seeds of Woody Plants in the United States. Agriculture Handbook No 450. Washington DC: Forest Service, USDA. pp 278-280."
CLEOMACEAE,Cleome gynandra,L.,,25.5,Entire seed/nut,Moisture content not stated,,,
CLEOMACEAE,Cleome viscosa,L.,,4,Entire seed/nut,Moisture content not stated,,,
CLEOMACEAE,Cleome viscosa,L.,,23.4,Entire seed/nut,Moisture content not stated,,,
COMPOSITAE,Flaveria trinervia,(Spreng.) C.Mohr,,27.5,Entire seed/nut,Moisture content not stated,,,
COMPOSITAE,Flaveria trinervia,(Spreng.) C.Mohr,,27.7,Entire seed/nut,Moisture content not stated,,,
COMPOSITAE,Xerochrysum bracteatum,(Vent.) Tzvelev,,24.2,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
COMPOSITAE,Xerochrysum bracteatum,(Vent.) Tzvelev,,27.8,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
