species,season,tree,Hv sapwood,Hydraulic condictivity,HC per leaf area,HC per branch TA,HC per SW area,Aarea,Amass,ETRmax,Sample ID,Cmass % (w/w),Nmass % (w/w),SLA,N g m-2
Eucalyptus macrorhyncha,summer,1,2.41386e-4,0.9375,0.005024116,0.872364876,2.081358818,22.063333333333333,150.96230426666668,11.407142526666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,2,1.34477e-4,4.828015873,0.025558581,5.020684646,19.0058554,19.51,98.94480472333333,10.946120088,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,3,2.09383e-4,0.595238095,0.001810335,0.553882461,0.86460339,18.75,90.67606095333333,12.243136472,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,4,3.46496e-4,2.217984791,0.010340255,2.180137602,2.984235484,18.21666666666667,97.30253586,7.184673742333334,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,5,2.87175e-4,0.944023438,0.003981541,1.174392214,1.386449613,3.5933333333333333,16.235496657666665,9.634834219,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,6,2.39441e-4,0.689655172,0.002442122,0.677887053,1.019927909,4.566666666666666,29.31331901,8.038513124666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,7,1.59894e-4,0.230946882,0.001253783,0.435206879,0.784133375,22.326666666666664,145.5273974,15.344829542,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,8,2.61172e-4,1.029962547,0.00541231,1.281302929,2.072313644,20.63,133.30377803333334,13.262003716666667,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,9,8.32734e-4,0,0,0,0,6.993333333333334,46.66838569,10.318691999333334,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,10,2.90889e-4,2.44508982,0.010062098,3.972913396,3.459086411,20.37,143.61598263333335,12.074266451666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,11,1.91441e-4,0.449746032,0.002053635,0.681242427,1.072723276,5.086666666666667,39.3772818,6.532855198333333,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,12,8.66e-5,0.610811518,8.9812e-4,0.673100212,1.036943415,15.646666666666667,106.12602306,6.913809657,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,13,2.215e-4,0.78125,0.004022915,1.105803255,1.816211011,11.83,58.476611913333336,11.991993748,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,14,2.10141e-4,0.678733032,0.005031379,1.18604673,2.394286311,7.58,62.654688990000004,10.256756992666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,15,1.68504e-4,0.633726236,0.003538393,0.896993964,2.099891781,16.75,82.26485418333334,12.910202056666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,16,3.22567e-4,0.372022321,0.004310803,0.650087497,1.336406062,12.606666666666667,80.81605606666668,16.661182536666665,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,17,4.06705e-4,0.887361111,0.006329252,0.977851488,1.556226743,8.446666666666665,52.696281883333334,8.828343716333332,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,18,2.33019e-4,0.668703704,0.004218951,1.086545729,1.810564611,9.483333333333333,44.65231536666667,6.663678404666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,19,3.41823e-4,0.435060241,0.002992161,0.819847437,0.875353454,12.46,69.88140024666666,10.964987352666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,20,2.63654e-4,1.984126984,0.01937624,2.63012518,7.349128816,9.096666666666668,44.329934370000004,9.390024778333334,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,21,3.55589e-4,4.065060976,0.046564272,7.660387019,13.0949634,20.286666666666665,151.61321043333334,19.323381619,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,22,2.1331e-4,0.367105727,0.002062392,0.519611786,0.966851838,19.066666666666666,118.44554055,14.824449956333334,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,23,2.85287e-4,0.231480159,0.002847234,0.404498194,0.998024136,15.883333333333333,88.30777949333333,13.033825075,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,summer,24,4.21493e-4,0.36458125,0.006441365,0.592391216,1.528224459,7.04,25.11164634,15.921665340333334,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,1,1.95857e-4,3.152173913,0.002259461,1.115418936,1.153625494,17.35067232,75.86288974,7.446719004666667,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,2,2.99808e-4,0.617296296,0.004712185,0.935035325,1.571731968,17.07081716,79.22164727666666,17.187773076666666,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,3,2.82469e-4,0.619057143,0.002272603,0.6821867,0.804548585,19.54390621,102.02181086666667,6.299194010333333,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,4,3.36062e-4,1.767689394,0.007408589,1.339579788,2.204529441,16.857357623333332,87.74172913666666,10.889883049,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,5,5.90953e-4,0.75521875,0.006100313,0.832233652,1.032283552,15.808508173333333,68.36084203,11.239023958666667,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,6,3.51673e-4,2.289395604,0.011288933,2.019686649,3.21006781,17.399149793333333,89.22464395333334,8.993177045,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,7,4.05618e-4,0.25862069,0.001680446,0.342823213,0.414293081,20.553530313333333,100.14652583666667,10.055658382666667,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,8,2.83677e-4,4.223744292,0.008941034,2.240968754,3.151839229,17.992011386666668,83.68828097333333,12.629619601,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,9,3.05001e-4,0.753537234,0.001696392,0.474034589,0.556191978,18.24987194,113.4494331,8.854375846,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,10,3.77897e-4,0.928278481,0.003468903,0.777462431,0.917950085,16.13293682666667,68.37688636,16.111100366666665,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,winter,11,4.6198e-4,1.420160772,0.004804333,0.893393581,1.039942847,18.623020506666666,68.48531675333334,10.169000637333333,NA,NA,NA,NA,NA
