site_ID,latitude,longitude,name_original,raw_trait_value,trait,units,primary_source_id,metadata_id
NA,NA,NA,Acacia acinacea,9.47,SLA,mm2 mg,4,7
NA,NA,NA,Acacia acuminata,4.88,SLA,mm2 mg,4,7
NA,NA,NA,Acacia alata,10.88,SLA,mm2 mg,4,7
NA,NA,NA,Acacia argyrophylla,6.76,SLA,mm2 mg,4,7
NA,NA,NA,Acacia auriculiformis,7.17,SLA,mm2 mg,4,7
NA,NA,NA,Acacia beckleri,2.86,SLA,mm2 mg,4,7
NA,NA,NA,Acacia brachystachya,3.74,SLA,mm2 mg,4,7
NA,NA,NA,Acacia caesiella,9.17,SLA,mm2 mg,4,7
NA,NA,NA,Acacia calamifolia,4.05,SLA,mm2 mg,4,7
NA,NA,NA,Acacia cambagei,3.05,SLA,mm2 mg,4,7
NA,NA,NA,Acacia cardiophylla,9.62,SLA,mm2 mg,4,7
NA,NA,NA,Acacia cultriformis,7.13,SLA,mm2 mg,4,7
NA,NA,NA,Acacia deanei,7.02,SLA,mm2 mg,4,7
NA,NA,NA,Acacia decora,10.51,SLA,mm2 mg,4,7
NA,NA,NA,Acacia difformis,9.99,SLA,mm2 mg,4,7
NA,NA,NA,Acacia elata,7.02,SLA,mm2 mg,4,7
NA,NA,NA,Acacia elongata,5.98,SLA,mm2 mg,4,7
NA,NA,NA,Acacia extensa,4.75,SLA,mm2 mg,4,7
NA,NA,NA,Acacia flexifolia,5.05,SLA,mm2 mg,4,7
NA,NA,NA,Acacia floribunda,7.63,SLA,mm2 mg,4,7
NA,NA,NA,Acacia genistifolia,3.18,SLA,mm2 mg,4,7
NA,NA,NA,Acacia hakeoides,3.9,SLA,mm2 mg,4,7
NA,NA,NA,Acacia hemiteles,5.38,SLA,mm2 mg,4,7
NA,NA,NA,Acacia howittii,13.38,SLA,mm2 mg,4,7
NA,NA,NA,Acacia imbricata,10.96,SLA,mm2 mg,4,7
NA,NA,NA,Acacia implexa,6.22,SLA,mm2 mg,4,7
NA,NA,NA,Acacia irrorata,5.74,SLA,mm2 mg,4,7
NA,NA,NA,Acacia iteaphylla,6.07,SLA,mm2 mg,4,7
NA,NA,NA,Acacia ixiophylla,7.87,SLA,mm2 mg,4,7
NA,NA,NA,Acacia jibberdingensis,3.29,SLA,mm2 mg,4,7
NA,NA,NA,Acacia lanigera,6.8,SLA,mm2 mg,4,7
NA,NA,NA,Acacia lasiocalyx,6.78,SLA,mm2 mg,4,7
NA,NA,NA,Acacia leiophylla,8.19,SLA,mm2 mg,4,7
NA,NA,NA,Acacia lineata,8.55,SLA,mm2 mg,4,7
NA,NA,NA,Acacia macradenia,6.68,SLA,mm2 mg,4,7
NA,NA,NA,Acacia mangium,9.76,SLA,mm2 mg,4,7
NA,NA,NA,Acacia melanoxylon,6.44,SLA,mm2 mg,4,7
NA,NA,NA,Acacia microcarpa,4.95,SLA,mm2 mg,4,7
NA,NA,NA,Acacia montana,6.83,SLA,mm2 mg,4,7
NA,NA,NA,Acacia mucronata,5.69,SLA,mm2 mg,4,7
NA,NA,NA,Acacia myrtifolia,7.96,SLA,mm2 mg,4,7
NA,NA,NA,Acacia neriifolia,7.63,SLA,mm2 mg,4,7
NA,NA,NA,Acacia paradoxa,11.27,SLA,mm2 mg,4,7
NA,NA,NA,Acacia penninervis,6.88,SLA,mm2 mg,4,7
NA,NA,NA,Acacia podalyriifolia,12.32,SLA,mm2 mg,4,7
NA,NA,NA,Acacia pravissima,7.37,SLA,mm2 mg,4,7
NA,NA,NA,Acacia pycnantha,6.77,SLA,mm2 mg,4,7
NA,NA,NA,Acacia quornensis,7.28,SLA,mm2 mg,4,7
NA,NA,NA,Acacia ramulosa,2.34,SLA,mm2 mg,4,7
NA,NA,NA,Acacia retinodes,9.63,SLA,mm2 mg,4,7
NA,NA,NA,Acacia rupicola,5.13,SLA,mm2 mg,4,7
NA,NA,NA,Acacia saliciformis,8.58,SLA,mm2 mg,4,7
NA,NA,NA,Acacia salicina,6.36,SLA,mm2 mg,4,7
NA,NA,NA,Acacia schinoides,8.52,SLA,mm2 mg,4,7
NA,NA,NA,Acacia spectabilis,11.09,SLA,mm2 mg,4,7
NA,NA,NA,Acacia stenophylla,2.47,SLA,mm2 mg,4,7
NA,NA,NA,Acacia subporosa,11.12,SLA,mm2 mg,4,7
NA,NA,NA,Acacia subulata,6.23,SLA,mm2 mg,4,7
NA,NA,NA,Acacia terminalis,11.59,SLA,mm2 mg,4,7
NA,NA,NA,Acacia ulicifolia,5.86,SLA,mm2 mg,4,7
NA,NA,NA,Acacia uncinata,6.98,SLA,mm2 mg,4,7
NA,NA,NA,Acacia undulifolia,8.09,SLA,mm2 mg,4,7
NA,NA,NA,Acacia verniciflua,10.02,SLA,mm2 mg,4,7
NA,NA,NA,Acacia verticillata,8.17,SLA,mm2 mg,4,7
NA,NA,NA,Acacia vestita,8.15,SLA,mm2 mg,4,7
NA,NA,NA,Acacia victoriae,6.39,SLA,mm2 mg,4,7
NA,NA,NA,Acacia viscidula,8.19,SLA,mm2 mg,4,7
NA,NA,NA,Acacia adunca,5.34,SLA,mm2 mg,4,7
NA,NA,NA,Acacia baileyana,8.17,SLA,mm2 mg,4,7
NA,NA,NA,Acacia fimbriata,8.88,SLA,mm2 mg,4,7
NA,NA,NA,Acacia prominens,10.67,SLA,mm2 mg,4,7
