Species,LMF (g g-1),leaf size (cm2),SLA (mm2 mg-1),LAR (mm2 mg-1),LDMC (mg g-1),LWCarea (g H2O cm-2),leaf N mass (mg N g-1),leaf p mass (mg P g-1),leaf K mass (mg K g-1),leaf N area (mg N cm-2),leaf P area (mg P cm-2),leaf K area (mg K cm-2),Amax area (?molCO2,Amax mass (nmolCO2),gs (?molH2O),PWUE (?molCO2 ),PNUE (?molCO2)
Acacia aulacocarpa,0.646,44,13.6,8.95,281.7,0.018,19.02,2.137,10.23,1.36,0.164,0.733,6.75,94.1,118.9,0.087,5.094
Acacia bidwillii,0.389,11.6,22.75,9.06,354.2,0.008,31.53,3.122,17.76,1.399,0.14,0.79,13.2,295.7,166.9,0.089,9.547
Acacia cambagei,0.625,8.6,6.93,4.34,365.2,0.026,30.56,3.361,20.14,4.489,0.478,2.922,-,-,-,-,-
Acacia erioloba,0.36,5,16.62,6.06,365.1,0.009,34.65,2.033,13.15,2.088,0.123,0.793,12.81,209.4,146.4,0.092,6.021
Acacia harpophylla,0.579,5.6,8.44,4.91,330.7,0.025,25.72,5.08,19.69,3.122,0.599,2.395,10.38,85.3,114.4,0.113,3.454
Acacia mellifera,0.309,4.1,23.33,7.22,357,0.007,41.22,3.247,21.59,1.809,0.144,0.851,9.44,203,81.8,0.14,5.065
Acacia natalitia,0.369,36.9,16.59,6.12,399,0.009,23.59,2.083,11.85,1.419,0.128,0.717,6.44,104.8,153.2,0.048,5.934
Acacia nigrescens,0.252,16.1,17.95,4.55,401.6,0.007,30.59,3.464,11.29,1.727,0.196,0.627,9.05,164.3,99.9,0.109,5.253
Acacia nilotica,0.327,12.1,29.23,9.51,391.5,0.005,31.48,1.565,16.35,1.09,0.053,0.568,6.08,178.7,55.4,0.111,5.45
Acacia shirleyi,0.668,9.6,12.61,8.51,289.5,0.021,24.89,4.434,15.03,2.017,0.37,1.2,7.92,103.5,119.3,0.072,4.098
Acacia sieberiana,0.213,26.3,25.26,5.56,289.6,0.008,31.42,2.231,15.58,1.225,0.083,0.642,9.45,252.1,127.5,0.086,8.316
Acacia tortilis,0.256,12.6,25.7,6.64,370,0.007,32.65,2.555,15.71,1.321,0.096,0.636,10.06,250.7,152.2,0.083,7.754
Aspidosperma macrocarpon,0.435,167.8,15.27,6.82,268.4,0.019,19.32,1.338,8.42,1.291,0.088,0.561,3.68,57.4,45.6,0.085,2.923
Aspidosperma pyrifolium,0.35,23.6,17.7,6.19,330.3,0.012,20.25,1.334,18.19,1.157,0.075,1.041,4.4,79.1,64.8,0.058,3.407
Atalaya hemiglauca,0.539,20.1,10.89,6.08,455.8,0.011,26.62,3.91,19.02,2.35,0.309,1.885,-,-,-,-,-
Brachylaena discolor,0.543,60.1,15.67,8.25,318.2,0.012,21.59,3.326,21.96,1.337,0.217,1.402,5.04,78.8,95,0.057,3.68
Brachystegia spiciformis,0.357,34.1,14.69,5.29,466.1,0.008,23.71,2.344,11.69,1.628,0.164,0.806,5.92,89.1,62.4,0.124,3.764
Caesalpinia pyramidalis,0.341,67.8,16.78,5.81,382.5,0.009,28.57,2.796,11.15,1.755,0.162,0.667,3.33,58.9,47.4,0.068,2.548
Colophospermum mopane,0.402,47.2,13.73,5.73,393.7,0.011,21.9,2.737,14.65,1.618,0.195,1.067,5.88,78.4,68.1,0.11,3.669
Combretum apiculatum,0.349,13.4,25.4,8.9,367.5,0.006,26.96,3.292,11.46,1.074,0.132,0.453,3.5,86.5,51.3,0.101,3.655
Combretum hereroense,0.47,21.4,18.38,8.9,349.7,0.009,23.82,1.257,19.91,1.362,0.07,1.124,3.16,57.5,39.4,0.08,2.511
Combretum molle,0.411,33.3,19.86,8.15,388.3,0.007,22.83,2.107,11.51,1.127,0.105,0.56,3.86,82.4,72.8,0.056,3.79
Combretum zeyheri,0.34,23.9,14.3,5.48,387,0.009,25.29,2.381,11.84,1.601,0.144,0.747,1.63,28.2,13.8,0.123,1.114
Dalbergia miscolobium,0.485,25.4,19.87,9.72,303,0.012,28.41,2.029,8.79,1.454,0.107,0.452,3.76,82.5,123.5,0.042,2.991
Dichrostachys cinerea,0.394,31.7,22.19,8.28,416.7,0.006,28.8,2.34,12.79,1.319,0.104,0.595,6.02,155.3,118.5,0.057,5.04
Dimorphandra mollis,0.506,23.2,29.8,15.05,337.9,0.007,32.47,2.621,12.66,1.136,0.093,0.456,3.44,98.3,74.6,0.113,2.455
Eriotheca pubescens,0.487,23.3,13.31,6.5,241.9,0.021,23.82,1.641,12.98,1.814,0.127,1.004,-,-,-,-,-
Erythrina vespertilio,0.194,35.7,25.42,4.9,190.9,0.017,41.85,3.535,20.37,1.66,0.141,0.806,5.13,128.2,25.3,0.231,3.288
Eucalyptus crebra,0.542,4.7,15.95,8.69,337.7,0.011,19.61,2.26,15.48,1.256,0.146,0.986,6.03,86.6,159.4,0.044,4.432
Eucalyptus erythrophloia,0.656,10.5,29.82,19.32,245.2,0.01,18.02,4.429,25.07,0.629,0.168,0.927,0.98,26.7,24.8,0.049,1.498
Eucalyptus melanophloia,0.483,54.2,10.86,5.21,371.6,0.015,21.46,2.45,15.08,2.005,0.228,1.409,-,-,-,-,-
Eucalyptus miniata,0.528,21.2,10.48,5.28,392.9,0.015,21.82,1.723,11.13,1.983,0.157,0.999,-,-,-,-,-
Eucalyptus platyphylla,0.58,81.1,16.41,9.61,305.2,0.012,15.57,1.401,13.46,0.943,0.084,0.816,6.02,96.4,77.2,0.086,6.304
Eucalyptus shirleyi,0.423,101.7,10.19,4.31,433.8,0.013,19.25,0.997,14.46,1.914,0.099,1.429,-,-,-,-,-
Eucalyptus tessellaris,0.554,36.5,18.63,10.4,380.8,0.008,12.93,1.179,10.61,0.683,0.063,0.548,4.15,75,65.3,0.074,6.126
Euclea divinorum,0.504,9.8,10.3,5.2,421.6,0.013,19.75,1.361,10.73,1.922,0.131,1.037,-,-,-,-,-
Eugenia dysenterica,0.55,12.8,12.5,6.93,427.5,0.009,16.36,0.883,5.61,1.325,0.07,0.448,4.88,58.9,78.2,0.069,3.555
Grevillea pteridifolia,0.571,229,10.2,5.82,296.1,0.024,20.25,2.052,11.48,2.382,0.249,1.662,7.16,61,167.8,0.067,3.42
Gymnosporia senegalensis,0.507,12.1,12.33,6.23,336.9,0.014,22.96,2.535,12.15,1.848,0.214,0.998,-,-,-,-,-
Julbernardia globiflora,0.317,28.8,15.28,4.98,476.5,0.007,25.2,2.711,10.58,1.661,0.181,0.701,8.75,130.5,79.6,0.121,5.161
Kielmeyera coriacea,0.278,20.6,16.63,4.46,205.2,0.024,11.88,0.779,8.8,0.743,0.048,0.544,3.55,56.3,65.5,0.096,4.658
Lysiphyllum hookeri,0.396,1.3,23.24,9.41,437.1,0.005,32.37,2.342,14.83,1.372,0.115,0.618,-,-,-,-,-
Melaleuca viridiflora,0.545,12.5,10.14,5.54,268,0.023,17.05,1.91,16.7,1.645,0.185,1.6,9.32,111.3,84.9,0.11,5.94
Mimosa caesalpinifolia,0.401,118.5,17.38,6.82,394.8,0.008,34.79,1.712,16.1,2.028,0.1,0.942,-,-,-,-,-
Mimosa clausenii,0.757,283.9,12.02,9.38,349,0.016,17.71,1.705,9.72,1.616,0.166,0.947,6.37,68.7,182.3,0.044,4.161
Mimosa tenuifolia,0.313,49.7,15.55,4.95,438.4,0.008,21.36,1.15,7.88,1.376,0.074,0.495,5.27,72.4,55.1,0.095,4.22
Peltophorum africanum,0.519,99.5,19.52,10.5,359.9,0.009,25.88,2.734,15.63,1.337,0.134,0.787,4.08,92,73.1,0.09,3.057
Petalostigma pubescens,0.568,9.1,14.64,8.34,431.5,0.009,21.09,3.344,10.5,1.46,0.228,0.716,7.3,119.3,145.3,0.05,5.477
Plathymenia reticulata,0.497,17.5,26.67,13.31,367.8,0.006,26.31,1.742,9.29,0.999,0.067,0.356,5.25,132.8,81.5,0.064,5.204
Schotia brachypetala,0.453,42.7,9.71,4.41,472.3,0.012,26.41,1.679,10.95,2.79,0.171,1.135,-,-,-,-,-
Strychnos spinosa,0.333,3.6,21.72,7.19,332.2,0.009,23.46,1.412,13.13,1.146,0.067,0.611,5.9,153.3,77.4,0.159,6.829
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
