var_name,trait_name,unit
LMF (g g-1),leaf_mass_fraction,g/g
leaf size (cm2),leaf_area,cm2
SLA (mm2 mg-1),specific_leaf_area,mm2/mg
LAR (mm2 mg-1),leaf_area_ratio,mm2/mg
LDMC (mg g-1),leaf_dry_matter_content,mg/g
LWCarea (g H2O cm-2),leaf_water_content_per_area,g/cm2
leaf N mass (mg N g-1),leaf_N_per_dry_mass,mg/g
leaf p mass (mg P g-1),leaf_P_per_dry_mass,mg/g
leaf K mass (mg K g-1),leaf_K_per_dry_mass,mg/g
leaf N area (mg N cm-2),leaf_N_per_area,mg/cm2
leaf P area (mg P cm-2),leaf_P_per_area,mg/cm2
leaf K area (mg K cm-2),leaf_K_per_area,mg/cm2
Amax area (?molCO2,photosynthetic_rate_per_area,umolCO2/m2/s
Amax mass (nmolCO2),photosynthetic_rate_per_dry_mass,nmolCO2/g/s
gs (?molH2O),stomatal_conductance,umolH2O/m2/s
PWUE (?molCO2 ),leaf_photosynthetic_water_use_efficiency,umolCO2/umolH20
PNUE (?molCO2),leaf_photosynthetic_nitrogen_use_efficiency,umolCO2/s/gN
