species,family,conservation status,fire response,seeds per gram,TGP day temp,TGP night temp,mean TGP temp,amplitude,TGP %germ,T0 (days),T50 (days),TGP MTG (days),"day temp, predicted current","night temp, predicted current","month, predicted current","mean temp, predicted current","%germ, predicted current","MTG (days), predicted current","T0 (days), predicted current","T50 (days), predicted current","day temp, modeled future","night temp, modeled future","month, modeled future","mean temp, modeled future","%germ, modeled future","MTG (days), modeled future","T0 (days), modeled future","T50 (days), modeled future"
Acacia besleyi,Fabaceae,P1,OSS,217,22.1,15,18.6,7.1,100,6,8,7.2,23.4,11.6,Apr,17.5,97.3,9.4,6.2,7.8,26,14.1,Apr,20.1,97.3,8.8,5.4,7.4
Acacia bifaria,Fabaceae,P3,NA,185,28.4,19.3,23.9,9.1,100,6,8,9.5,19,7.1,Sep,13.1,89.4,15.4,8.2,8.9,19.3,9.7,Jun,14.5,88.8,12.4,7.7,8.2
Acacia disticha,Fabaceae,,OSS,137,15,13.8,14.4,1.2,100,7,7,7.4,22.6,10.6,Jun,16.6,97.9,14.5,9.2,13.4,25.1,12.9,Jul,19,96.9,16,10.4,13.4
Acacia durabilis,Fabaceae,,OSS,645,16.6,15,15.8,1.6,100,6,8,8.2,16.9,7.7,Jun,12.3,94.2,14.5,11.8,9.6,19.4,9.4,Jun,14.4,95.2,16.7,10.8,9.2
Acacia heterochroa subsp. heterochroa,Fabaceae,,OSS,115,17.7,16.6,17.2,1.1,100,6,6,6.4,19,8.5,May,13.8,98.5,12.6,8.8,8.6,18.8,9.2,Jun,14,98.8,11.9,8.2,8
Acacia ophiolithica,Fabaceae,,OSS,532,19.3,17.7,18.5,1.6,100,7,7,7.7,23.7,11.9,Apr,17.8,99.4,10.8,6.7,10.2,22.4,11.9,May,17.2,99.5,10.5,6.7,9.8
Acacia pinguiculosa subsp. pinguiculosa,Fabaceae,,OSS,339,23,19.3,21.2,3.7,100,6,8,7.7,26.4,13.7,Mar,20.1,98.1,9,6.2,7.6,26.2,14.4,Apr,20.3,98.2,8.6,5.7,7.1
Allocasuarina hystricosa,Casuarinaceae,P4,RS,717,17.7,16.6,17.2,1.1,100,9,11,12.4,19.4,8.9,May,14.2,90.7,24.2,15.7,15.1,22,11.3,May,16.7,91,21.7,12.6,13.1
Banksia laevigata subsp. laevigata,Proteaceae,P2,OSC,28,13.8,13.1,13.4,0.7,100,17,17,20.1,19.3,8.9,May,14.1,90.3,28.9,21.8,19.9,19.1,9.5,Jun,14.3,90.8,28.9,22.1,19.7
Beaufortia orbifolia,Myrtaceae,,OSS,3450,16.4,9.9,13.2,6.5,100,7,7,17.9,16.2,6.9,Jun,11.6,93.5,24.5,18.1,18.5,18.1,8.1,Jul,13.1,92.5,25.3,19.6,20.8
Calothamnus roseus,Myrtaceae,P1,NA,4290,19.1,12.6,15.9,6.5,100,9,9,10.5,16.7,7.1,Jul,11.9,96.5,25.2,19.1,25.5,19.4,9.3,Jul,14.4,90,23.7,16,22.8
Daviesia megacalyx,Fabaceae,DRF,OSS,50,16.6,12.3,14.5,4.3,100,20,25,25.8,18.9,8.4,May,13.7,69.9,31.1,30.4,34.2,18.7,9,Jun,13.9,73.2,31.7,29.7,32.9
Eucalyptus cernua,Myrtaceae,,OSC,2809,22.1,12.3,17.2,9.8,100,11,32,27.9,17.5,8.2,Jun,12.9,59.4,27.4,18.5,30.4,19.9,10.3,Jun,15.1,58.4,25.4,15.7,28.7
Eucalyptus desmondensis,Myrtaceae,P4,RS,2059,24.9,23,24,1.9,100,7,7,7.7,19.9,9.5,May,14.7,88,18.2,13.3,16.3,19.6,10,Jun,14.8,88.6,17.5,12.8,16
Eucalyptus megacornuta,Myrtaceae,,OSC,383,19.6,16.5,18.1,3.1,100,8,13,13.8,25.9,13,Mar,19.5,88.9,23.5,14.9,22.5,25.7,13.8,Apr,19.8,89.6,23,14.1,22
Eucalyptus stoatei,Myrtaceae,P4,OSC,459,22.1,20.3,21.2,1.8,100,7,11,10,19.9,9.5,May,14.7,81.3,20.9,15.7,24.6,19.6,10,Jun,14.8,82.1,20.4,15.3,23.8
Isopogon sp. Ravensthorpe (D.B.Foreman 1207),Proteaceae,,RS,402,19.3,15,17.2,4.3,67,25,42,42,16.5,6.1,Aug,11.3,24.8,26.2,26.2,20.9,19.5,8.4,Aug,13.9,17.7,29.2,29.2,24.7
Kunzea acicularis,Myrtaceae,DRF,OSS,11170,36.4,8.3,22.4,28.1,100,22,27,26,18.7,6.8,Sep,12.8,69.2,37.9,28.7,37.5,19.3,8.3,Aug,13.8,66.6,37.9,28.7,37.9
Melaleuca penicula,Myrtaceae,P2,NA,2553,36.4,27.7,32.1,8.7,100,4,7,6.1,28.9,13.8,Jan,21.4,93.5,13.7,8.9,13.5,30.4,16.7,Feb,23.6,95.4,10.8,6.5,10.7
Melaleuca stramentosa,Myrtaceae,P2,OSC,4115,25.7,13.8,19.8,11.9,100,11,16,16.2,16.5,7,Jul,11.8,89.1,27.1,21.3,26.7,19.2,9.2,Jul,14.2,86.2,24.9,17.8,24.6
