POT,Soil_nutrient_type,Growth_Treatment,Habitat_preference,Elevation_of_origin,T-growth_Experimental_chamber,VPD,Species_ID,Leaf_Dry_Mass,Stem_Dry_Mass,Root_Dry_Mass,AGB_g,Total_Plant_Biomass,LMF,SMF,RMF,R/S,Mean_Leaf_Dry_Mass,Mean_Lamina_Area,SLA,LAR,LMA,Initial_biomass (g),Initial_Plant_height_cm,Initial_R:S,initial_Stem_Volume (cm3),No_of_days,RGR_mg-g-day,Stem_diamter_base,No_of_fully expanded leaves/leaflets,Plant_height,Height:diamter,pi,radius,Stem_Volume,13C,15N,%C,%N,Leaf_C_area,Leaf_N_Area,Soil_N(%),Soil_C(%),Soil_13C,Soil_15N,Stem13C,Stem15N,Stem_C,Stem_N,Root13C,Root15N,Root_C,Root_N,P(ppm),pH,C:N_Leaf,N:P_Leaf,C:P_leaf,Plant_d13C,Plant_d15N,Plant %N,Plant %C,RDM/LDM,AG_C,AG_N
FBO_NP_01,Nutrient Poor,Ambient,Lowland,620,23,0.62,Flindersia bourjotiana,2.9181,0.99,1.26,3.9081,5.1681,0.564636907,0.191559761,0.243803332,0.322407308,0.8251,87.36,105.8780754,16.90369768,94.44826007,2.516,11,0.488372093,55.41446177,211,3.411539229,0.391,19,25.1,64.1943734,3.142857,0.1955,3.015031584,-32,4.2,38,0.8,4.34981685,0.091575092,0.02,0.3,-20.2,4.4,-24.8,2.6,39.7,0.9,-26.2,4.5,36.5,1.2,2819,5.2,47.5,2.837885775,134.7995743,-29.2067104,3.966645382,0.916677309,37.9599466,0.431787807,38.43064405,1.25597605
FBO_NP_02,Nutrient Poor,Ambient,Lowland,620,23,0.62,Flindersia bourjotiana,4.6623,1.02,9.33,5.6823,15.0123,0.310565336,0.067944286,0.621490378,1.641940763,1.3664,100.42,73.49238876,6.689181538,136.0685122,2.516,11,0.488372093,55.41446177,211,8.465400598,0.61,15,19,31.14754098,3.142857,0.305,5.554921176,-30.3,3.7,39.5,0.6,3.933479387,0.059749054,0.02,0.3,-20.2,4.4,-28.6,2.2,39.9,0.7,-28.9,3.5,32.8,0.8,1506,5.2,65.83333333,3.984063745,262.2841965,-29.31440819,3.473785496,0.731092504,35.36319218,2.001158227,39.57180191,0.887207645
FBO_NP_03,Nutrient Poor,Ambient,Lowland,620,23,0.62,Flindersia bourjotiana,5.2479,0.976,9.22,6.2239,15.4439,0.339804065,0.063196472,0.596999463,1.481386269,0.3958,36.42,92.01616978,2.358212628,108.6765513,2.516,11,0.488372093,55.41446177,211,8.599733481,0.605,20,31.2,51.57024793,3.142857,0.3025,8.972841021,-27.7,3.6,39.6,1.1,10.87314662,0.302031851,0.02,0.3,-20.2,4.4,-26,2,40.5,0.8,-28.9,4.1,36.4,1.5,1495,5.2,36,7.357859532,264.8829431,-28.30896535,3.797385375,1.319840843,37.74647854,1.756893233,39.74113337,1.241133373
FBO_NP_04,Nutrient Poor,Elevated,Lowland,620,28,1.4,Flindersia bourjotiana,7.4632,1.33,2.79,8.7932,11.5832,0.644312453,0.114821466,0.240866082,0.317290634,0.7222,67.81,93.89365827,5.854168106,106.5034656,2.516,11,0.488372093,55.41446177,211,7.236423856,0.836,15,34.9,41.74641148,3.142857,0.418,19.16472587,-28.4,3.6,40.3,0.7,5.943076242,0.103229612,0.02,0.3,-20.2,4.4,-27,2,39.5,0.6,-26.3,4.4,59.7,1.8,1836,5.2,57.57142857,3.812636166,219.4989107,-27.73343118,3.608978521,0.953470544,44.88094482,0.37383428,40.17899741,0.896629213
FBO_NP_05,Nutrient Poor,Elevated,Lowland,620,28,1.4,Flindersia bourjotiana,6.8209,1.23,1.22,8.0509,9.2709,0.735732237,0.132673203,0.131594559,0.151535853,0.4079,47.58,116.6462368,5.132187813,85.72929802,2.516,11,0.488372093,55.41446177,211,6.181090632,0.71,20,23.7,33.38028169,3.142857,0.355,9.387061716,-30,4,39.8,0.6,8.364859185,0.126103405,0.02,0.3,-20.2,4.4,-28.1,2.4,40,0.6,-28.3,3.5,40.6,0.9,1896,5.2,66.33333333,3.164556962,209.9156118,-29.52421016,3.721925595,0.639478368,39.93181029,0.178862027,39.83055559,0.875000311
FBO_NP_06,Nutrient Poor,Elevated,Lowland,620,28,1.4,Flindersia bourjotiana,7.9622,1.23,20.33,9.1922,29.5222,0.269702122,0.041663562,0.688634316,2.21165771,0.4342,55.43,127.6600645,1.8775701,78.33303265,2.516,11,0.488372093,55.41446177,211,11.67048428,0.986,29,40.1,40.6693712,3.142857,0.493,30.63111686,-30.3,2.9,42,0.8,7.577124301,0.144326177,0.02,0.3,-20.2,4.4,-27,3,40.7,0.8,-27.1,4.3,34.6,1,1994,5.2,52.5,4.012036108,210.6318957,-27.95888044,3.868254398,0.937726863,36.84994343,2.553314411,41.82604817,1.094380018
FBO_NP_07,Nutrient Poor,Cold,Lowland,620,16,0.5,Flindersia bourjotiana,1.7516,1.28,1.13,3.0316,4.1616,0.420895809,0.30757401,0.271530181,0.372740467,0.6102,54.11,88.67584399,13.00221069,112.7702828,2.516,11,0.488372093,55.41446177,211,2.384972876,0.451,9,12.2,27.05099778,3.142857,0.2255,1.949743783,-31.3,3.3,38.3,0.6,7.07817409,0.110885234,0.02,0.3,-20.2,4.4,-28.2,2.5,40.4,0.8,-26.8,6.1,36.8,1.1,661,5.2,63.83333333,9.077155825,579.4251135,-29.12463476,3.814225298,0.797279892,38.53861015,0.645124458,39.18666051,1.402216651
FBO_NP_08,Nutrient Poor,Cold,Lowland,620,16,0.5,Flindersia bourjotiana,2.6409,2.34,1.15,4.9809,6.1309,0.430752418,0.381673164,0.187574418,0.230881969,0.4889,62.28,127.3880139,10.15837805,78.50032113,2.516,11,0.488372093,55.41446177,211,4.221190613,0.498,11,18.1,36.34538153,3.142857,0.249,3.526971011,-31.2,3.4,39.5,1,6.342324984,0.160565189,0.02,0.3,-20.2,4.4,-28.4,2.1,40.5,0.8,-28.8,4.3,37.1,1,1495,5.2,39.5,6.688963211,264.2140468,-29.68113654,3.072641863,0.923665367,39.43149456,0.435457609,39.96979462,1.516774077
FBO_NP_09,Nutrient Poor,Cold,Lowland,620,16,0.5,Flindersia bourjotiana,3.8139,2.31,10.22,6.1239,16.3439,0.233353116,0.141337135,0.625309749,1.668871144,0.3379,42.9,126.9606392,2.624832506,78.76456876,2.516,11,0.488372093,55.41446177,211,8.868172513,0.573,12,21.6,37.69633508,3.142857,0.2865,5.572211918,-30.3,3.2,38.7,1.4,9.020979021,0.326340326,0.02,0.3,-20.2,4.4,-29,2,40,0.8,-31.2,4,21,2,908,5.2,27.64285714,15.4185022,426.2114537,-30.6790405,3.530643237,1.690383568,27.81575573,2.679671727,39.19037378,1.626326361
FBO_NR_01,Nutrient Rich,Ambient,Lowland,620,23,0.62,Flindersia bourjotiana,6.9101,1.46,11.23,8.3701,19.6001,0.352554324,0.074489416,0.57295626,1.341680506,1.2521,108.59,86.72629982,5.540277856,115.3052767,2.516,11,0.488372093,55.41446177,211,9.729214831,0.725,19,60.1,82.89655172,3.142857,0.3625,24.82076226,-28.6,6,40.9,1.3,3.766461,0.119716364,0.2,3.9,-27.5,5.4,-24.7,5,41.6,2,-27.2,2.3,39.9,3.6,829,5.8,31.46153846,15.68154403,493.3655006,-27.50735251,3.805572421,2.66994199,40.37918633,1.625157378,41.02210129,1.945392528
