species,context,location,tree,state,country,lat,lon,elevation,T_min,T_max,P,P_min,P_max,E,E_min,E_max,AI,vessel_density_per_tree,void.wood_ratio_per_tree,vessel_diameter,Dh_per_tree,D_800,tree_height,distance_from_apex,sapwood_density,sapwood_density_stdev,replicates
Eucalyptus accedens,sampled 130 cm abut the tree base,Wandoo Nat. Park,1,WA,Australia,-32.05,116.25,195,21.48,24.74,1024.54,531.9,1537.5,1326.7,1150.3,1460.1,0.77,1507.11,11.42,93.90166666666667,113.2656644,24.8,1200,NA,0.68,0.079,66
Eucalyptus accedens,sampled 130 cm abut the tree base,Wandoo Nat. Park,2,WA,Australia,-32.05,116.25,195,21.48,24.74,1024.54,531.9,1537.5,1326.7,1150.3,1460.1,0.77,2723.08,27.38,106.8311320754717,137.6905752,56.1,1750,NA,0.68,0.079,477
Eucalyptus accedens,sampled 130 cm abut the tree base,Wandoo Nat. Park,3,WA,Australia,-32.05,116.25,195,21.48,24.74,1024.54,531.9,1537.5,1326.7,1150.3,1460.1,0.77,2785.87,23.15,97.89647540983607,126.7264598,45.4,1700,NA,0.68,0.079,122
Eucalyptus aromaphloia,sampled 130 cm abut the tree base,Creswick Forest,1,VIC,Australia,-37.45,143.93,575,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,685.05,8.51,117.676,161.9055976,36.5,1734,NA,0.59,0.061,120
Eucalyptus aromaphloia,sampled 130 cm abut the tree base,Creswick Forest,2,VIC,Australia,-37.45,143.93,575,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,890.57,18.29,150.19929487179488,205.1501921,39.4,1940,NA,0.59,0.061,156
Eucalyptus aromaphloia,sampled 130 cm abut the tree base,Creswick Forest,3,VIC,Australia,-37.45,143.93,575,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,787.81,15.41,151.36963768115942,181.1332838,43.9,1870,NA,0.59,0.061,138
Eucalyptus baxteri,sampled 130 cm abut the tree base,Kealys State Forest,1,VIC,Australia,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1077.42,947.7,1413.08,0.53,867.731888,10.79151826,121.6229605263158,141.4692605,27.2,1525,NA,0.591,0.115,152
Eucalyptus baxteri,sampled 130 cm abut the tree base,Kealys State Forest,2,VIC,Australia,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1077.42,947.7,1413.08,0.53,1187.422584,18.477113,134.48658653846155,165.7295446,17.3,1410,NA,0.591,0.115,208
Eucalyptus baxteri,sampled 130 cm abut the tree base,Kealys State Forest,3,VIC,Australia,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1077.42,947.7,1413.08,0.53,1090.373622,13.63867666,118.83539267015706,154.4032007,29.3,1435,NA,0.591,0.115,191
Eucalyptus baxteri,sampled 800 cm below the tree apex,Kealys State Forest,1,VIC,Australia,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1413.08,947.7,1042.3,0.52,1421.481843,21.06354354,128.39583464132275,160.3969872,19.5,1525,800,NA,NA,189
