Species Name,Location,Time_from_fire_to_fruit,Time_from_fire_to_50%fruit,Fire_response,serotiny,soil_seedbank,Compeditive_stratum,Lifespan,replicates
Hakea francisiana,"Parker Range area, Western Australia, low closed forest",108,312,Killed,Yes,No,Upper,Long,180-220
Hakea meisneriana,"Parker Range area, Western Australia, low closed forest",168,408,Killed,Yes,No,Upper,Long,180-220
Melaleuca pauperiflora subsp. fastigiata,"Parker Range area, Western Australia, Eucalypt woodlands",132,432,Killed,Yes,No,Mid,Long,320-480
Eucalyptus salubris,"Parker Range area, Western Australia, Eucalypt woodlands",228,420,Killed,Yes,No,Upper,Long,320-480
