species,population,individual,leaf_width_mm,leaf_length_mm,leaf_hairs_adult,leaf_shape,region,latitude (deg),longitude (deg),site
Pultenaea juniperina,1,1,1.914,4.688,1,broadly_lanceolate,Tasman Peninsula,-43.0319303,147.9174706,site_at_ 43.0319303 _deg_S_and_ 147.9174706 _deg_E
Pultenaea juniperina,1,2,1.938,5.39,1,broadly_lanceolate,Tasman Peninsula,-43.0317403,147.9175906,site_at_ 43.0317403 _deg_S_and_ 147.9175906 _deg_E
Pultenaea juniperina,1,3,2.786,6.192,1,broadly_lanceolate,Tasman Peninsula,-43.0320092,147.9177539,site_at_ 43.0320092 _deg_S_and_ 147.9177539 _deg_E
Pultenaea juniperina,1,4,2.138,6.026,1,broadly_lanceolate,Tasman Peninsula,-43.0320183,147.9177172,site_at_ 43.0320183 _deg_S_and_ 147.9177172 _deg_E
Pultenaea juniperina,1,5,2.204,6.114,1,broadly_lanceolate,Tasman Peninsula,-43.0316636,147.9181786,site_at_ 43.0316636 _deg_S_and_ 147.9181786 _deg_E
Pultenaea juniperina,1,6,1.94,6.166,1,broadly_lanceolate,Tasman Peninsula,-43.0319861,147.9172503,site_at_ 43.0319861 _deg_S_and_ 147.9172503 _deg_E
Pultenaea juniperina,1,7,2.042,5.6,1,broadly_lanceolate,Tasman Peninsula,-43.0318514,147.9171992,site_at_ 43.0318514 _deg_S_and_ 147.9171992 _deg_E
Pultenaea juniperina,1,8,2.562,5.648,1,broadly_lanceolate,Tasman Peninsula,-43.0316822,147.9169636,site_at_ 43.0316822 _deg_S_and_ 147.9169636 _deg_E
Pultenaea juniperina,1,9,1.826,4.93,1,broadly_lanceolate,Tasman Peninsula,-43.0315825,147.9170603,site_at_ 43.0315825 _deg_S_and_ 147.9170603 _deg_E
Pultenaea juniperina,1,10,2.096,5.856,1,broadly_lanceolate,Tasman Peninsula,-43.0314447,147.9174019,site_at_ 43.0314447 _deg_S_and_ 147.9174019 _deg_E
Pultenaea juniperina,2,1,0.832,6.982,1,lanceolate,Hobart,-42.903945,147.2902669,site_at_ 42.903945 _deg_S_and_ 147.2902669 _deg_E
Pultenaea juniperina,2,2,1.2704,10.048,1,lanceolate,Hobart,-42.9040344,147.2904633,site_at_ 42.9040344 _deg_S_and_ 147.2904633 _deg_E
Pultenaea juniperina,2,3,1.29,10.338,1,lanceolate,Hobart,-42.9040522,147.2905981,site_at_ 42.9040522 _deg_S_and_ 147.2905981 _deg_E
Pultenaea juniperina,2,4,0.982,8.896,1,lanceolate,Hobart,-42.9040339,147.2907328,site_at_ 42.9040339 _deg_S_and_ 147.2907328 _deg_E
Pultenaea juniperina,2,5,1.734,12.2,1,lanceolate,Hobart,-42.9037728,147.2907314,site_at_ 42.9037728 _deg_S_and_ 147.2907314 _deg_E
Pultenaea juniperina,2,6,0.914,8.242,1,lanceolate,Hobart,-42.9036108,147.290645,site_at_ 42.9036108 _deg_S_and_ 147.290645 _deg_E
Pultenaea juniperina,2,7,1.074,10.228,1,lanceolate,Hobart,-42.9034672,147.2904361,site_at_ 42.9034672 _deg_S_and_ 147.2904361 _deg_E
Pultenaea juniperina,2,8,0.996,8.24,1,lanceolate,Hobart,-42.9034225,147.2903625,site_at_ 42.9034225 _deg_S_and_ 147.2903625 _deg_E
Pultenaea juniperina,2,9,1.004,8.06,1,lanceolate,Hobart,-42.9034589,147.29024,site_at_ 42.9034589 _deg_S_and_ 147.29024 _deg_E
Pultenaea juniperina,2,10,1.076,7.874,1,lanceolate,Hobart,-42.9035581,147.2901547,site_at_ 42.9035581 _deg_S_and_ 147.2901547 _deg_E
Pultenaea juniperina,3,1,0.974,7.53,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,2,1.034,6.81,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,3,0.898,6.634,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,4,0.792,6.572,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,5,0.992,7.358,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,6,0.876,6.146,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,7,0.672,6.196,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,8,0.748,6.766,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,9,0.87,6.05,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,3,10,0.718,6.224,1,lanceolate,Three Thumbs lookout,-42.6095028,147.8817661,site_at_ 42.6095028 _deg_S_and_ 147.8817661 _deg_E
Pultenaea juniperina,4,1,2.156,8.752,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,2,2.406,8.036,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,3,2.72,9.42,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,4,3,7.966,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,5,2.024,6.862,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,6,2.168,7.544,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,7,2.1,7.56,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,8,1.872,5.88,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,9,2.9,7.834,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,4,10,1.84,7.02,1,broadly_lanceolate,Freycinet Peninsula,-42.1829828,148.3237603,site_at_ 42.1829828 _deg_S_and_ 148.3237603 _deg_E
Pultenaea juniperina,5,1,2.26,8.36,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,2,1.95,6.96,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,3,1.88,6.5,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,4,1.82,7.856,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,5,2.76,7.02,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,6,1.96,7.6,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,7,1.66,6.27,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,8,1.81,6.76,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,9,1.7,5.906,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,5,10,1.98,5.82,1,broadly_lanceolate,Murdunna,-42.9484753,147.8661669,site_at_ 42.9484753 _deg_S_and_ 147.8661669 _deg_E
Pultenaea juniperina,6,1,2.34,7.28,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,2,2.8,7.74,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,3,2.6,7.16,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,4,2.12,6.96,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,5,1.9,6.11,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,6,2.26,7.32,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,7,1.1,4.53,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,8,2.18,7.46,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,9,1.72,6.17,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,6,10,2.58,7.52,1,broadly_lanceolate,Waterfall Bay,-43.0578456,147.947415,site_at_ 43.0578456 _deg_S_and_ 147.947415 _deg_E
Pultenaea juniperina,7,1,1.624,6.04,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,2,1.75,5.86,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,3,1.52,5.18,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,4,2.534,7.2,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,5,1.592,5.392,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,6,1.67,5.514,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,7,1.26,5.274,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,8,1.094,5.676,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,9,1.6,6.71,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,7,10,2.08,5.76,1,broadly_lanceolate,Prices Bay,-43.0445911,147.7506856,site_at_ 43.0445911 _deg_S_and_ 147.7506856 _deg_E
Pultenaea juniperina,8,1,3.36,14.28,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,2,2.8,11.93,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,3,2.106,10.96,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,4,3,13.66,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,5,3.19,10.79,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,6,1.876,10.346,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,7,3.548,11.04,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,8,2.8,12.6,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,9,2.78,10.6,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,8,10,2.1,10.71,1,lanceolate,North Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,9,1,3.34,12.04,1,broadly_lanceolate,South Dazzler,-41.2087822,146.7094075,site_at_ 41.2087822 _deg_S_and_ 146.7094075 _deg_E
Pultenaea juniperina,9,2,2.648,9.02,1,broadly_lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,3,2.92,10.64,1,broadly_lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,4,3.1,12.092,1,broadly_lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,5,2.76,10.78,1,lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
Pultenaea juniperina,9,6,2.02,8.4,1,lanceolate,South Dazzler,-41.2435589,146.7305208,site_at_ 41.2435589 _deg_S_and_ 146.7305208 _deg_E
