site_name,latitude (deg),longitude (deg),description,Fire frequency (year),Grazing,MAP (mm),Soil,Soil N (g N/100g soil),Soil pH,Soil total P (mg P/kg soil)
Banksia woodland,-30,115,Banksia woodland,>20,Low,834,Bassendean sand,0.05,5.38,47.7
Coastal banksia woodland,-30,115,Coastal banksia woodland,>30,None,734,Spearwood sand,0.06,5.74,150.9
