Species,Phreatophytic_trait,Site,PLC50,PLC50_SE,a (gradient),a_SE,KS,KL,Huber_value,location_name
Banksia attenuata,Faculative,Bottom slope,-1.63,0.15,1.39,0.13,0.72,0.0006,0.0009,Swan Coastal Plain
Banksia attenuata,Faculative,Dune crest,-2.48,0.13,1.24,0.1,0.95,0.0007,0.0007,Swan Coastal Plain
Banksia menziesii,Faculative,Bottom slope,-1.65,0.11,1.11,0.12,1.17,0.0009,0.0007,Swan Coastal Plain
Banksia menziesii,Faculative,Dune crest,-2.03,0.13,1.24,0.07,1.33,0.0011,0.0008,Swan Coastal Plain
Banksia ilicifolia,Obligate,Bottom slope,-1.49,0.17,1.37,0.12,0.99,0.0008,0.0008,Swan Coastal Plain
Banksia ilicifolia,Obligate,Mid-slope,-1.78,0.13,1.22,0.08,1.19,0.0006,0.0006,Swan Coastal Plain
Banksia littoralis,Obligate,Bottom slope,-1.78,0.16,1.19,0.12,1.07,0.0003,0.0003,Swan Coastal Plain
