Location,Tree_ID,Species,Mass_mg,Volume_mm3,ssd,site_spp,MAP_mm,Longitude,Latitude
Kaiserstuhl,KAI-1,baxteri,10061.9,11633,0.864944554,Kaiserstuhl-baxteri,697,139.0092,-34.5735
Kaiserstuhl,KAI-2,baxteri,11083.7,15547,0.712915675,Kaiserstuhl-baxteri,697,139.0092,-34.5735
Kaiserstuhl,KAI-3,baxteri,10076.6,14096,0.714855278,Kaiserstuhl-baxteri,697,139.0092,-34.5735
Kaiserstuhl,KAI-4,baxteri,8779.6,15547,0.56471345,Kaiserstuhl-baxteri,697,139.0092,-34.5735
Kaiserstuhl,KAI-5,baxteri,5569.7,7618,0.731123655,Kaiserstuhl-baxteri,697,139.0092,-34.5735
Hahndorf,HS-1,obliqua,11928.1,22167,0.538101683,Hahndorf-obliqua,863,138.8017,-35.038656
Hahndorf,HS-2,obliqua,9918.7,17919,0.553529773,Hahndorf-obliqua,863,138.8017,-35.038656
Hahndorf,HS-3,obliqua,16102.6,17587,0.915596748,Hahndorf-obliqua,863,138.8017,-35.038656
Whites Scrub,WS-1,obliqua,7430.2,10737,0.692018255,Whites Scrub-obliqua,1045,138.7793,-34.969858
Whites Scrub,WS-2,obliqua,7044.4,10824,0.650813008,Whites Scrub-obliqua,1045,138.7793,-34.969858
Whites Scrub,WS-3,obliqua,7173.9,7577,0.946799525,Whites Scrub-obliqua,1045,138.7793,-34.969858
Cleland,CLE-1,obliqua,5596.4,13744,0.407188591,Cleland-obliqua,1115,138.714,-34.96431
Cleland,CLE-2,obliqua,5751.7,6903,0.833217442,Cleland-obliqua,1115,138.714,-34.96431
Cleland,CLE-3,obliqua,8847.9,19165,0.46166971,Cleland-obliqua,1115,138.714,-34.96431
Cleland,CLE-4,obliqua,11014.9,21531,0.511583298,Cleland-obliqua,1115,138.714,-34.96431
Cleland,CLE-5,obliqua,10512.1,20366,0.516159285,Cleland-obliqua,1115,138.714,-34.96431
Bradwood,BRADW-1O,obliqua,7711.2,11529,0.668852459,Bradwood-obliqua,1024,138.7284,-35.05476
Bradwood,BRADW-1B,baxteri,8300.6,9700,0.855731959,Bradwood-baxteri,1024,138.7284,-35.05476
Bradwood,BRADW-2,obliqua,5036.9,7854,0.641316527,Bradwood-obliqua,1024,138.7284,-35.05476
Bradwood,BRADW-3,obliqua,5754.2,8362,0.688136809,Bradwood-obliqua,1024,138.7284,-35.05476
Bonython,BON-1,baxteri,5430.8,9556,0.568313102,Bonython-baxteri,811,138.3338,-35.60086
Bonython,BON-2,baxteri,6542.8,8474,0.772102903,Bonython-baxteri,811,138.3338,-35.60086
Bonython,BON-3,baxteri,6175,9612,0.642426134,Bonython-baxteri,811,138.3338,-35.60086
Bonython,BON-4,baxteri,5450.6,8435,0.6461885,Bonython-baxteri,811,138.3338,-35.60086
Bonython,BON-5,baxteri,7055.9,11597,0.608424593,Bonython-baxteri,811,138.3338,-35.60086
Bonython,BONO-1,obliqua,5952.6,9400,0.633255319,Bonython-obliqua,811,138.3338,-35.60086
Bonython,BONO-2,obliqua,6403.6,11084,0.57773367,Bonython-obliqua,811,138.3338,-35.60086
Bonython,BONO-3,obliqua,6417.5,12610,0.508921491,Bonython-obliqua,811,138.3338,-35.60086
Bonython,BONO-4,obliqua,6626.9,12547,0.528166095,Bonython-obliqua,811,138.3338,-35.60086
Bonython,BONO-5,obliqua,6683.3,11083,0.603022647,Bonython-obliqua,811,138.3338,-35.60086
Pleasant,MPS-1,obliqua,5569.3,13700,0.406518248,Pleasant-obliqua,724,139.0326,-34.74232
Pleasant,MPS-2,obliqua,8575.5,10802,0.793880763,Pleasant-obliqua,724,139.0326,-34.74232
Pleasant,MPS-3,obliqua,5356.5,7658,0.699464612,Pleasant-obliqua,724,139.0326,-34.74232
Pleasant,MPS-4,obliqua,7438.7,10431,0.713133928,Pleasant-obliqua,724,139.0326,-34.74232
Pleasant,MPS-5,obliqua,9152,12667,0.722507302,Pleasant-obliqua,724,139.0326,-34.74232
Stirling,SC-1,obliqua,14251.9,23860,0.597313495,Stirling-obliqua,1035,138.7523,-35.020802
Stirling,SC-2,obliqua,12657.2,16625,0.761335338,Stirling-obliqua,1035,138.7523,-35.020802
Stirling,SC-3,obliqua,11803.2,16236,0.726977088,Stirling-obliqua,1035,138.7523,-35.020802
