Location,Tree_ID,Leaf_ID,Species,Leaf.mass_mg,Leaf_length_cm,Leaf.width_cm,LWR,Leaf.area_mm2,sla,Longitude,Latitude,site_spp,MAP_mm
Bonython,BON-1,BON-1A,baxteri,718.6,10.49,3.645,2.877915,2897.5,4.032145839,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-1,BON-1B,baxteri,666.7,10.725,3.555,3.016878,2402.3,3.603269837,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-1,BON-1C,baxteri,489.4,9.058,3.017,3.00232,2082.9,4.256027789,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-1,BON-1D,baxteri,547,9.538,2.833,3.366749,1815.8,3.319561243,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-1,BON-1E,baxteri,557.5,8.835,3.704,2.385259,2614.8,4.690224215,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-2,BON-2A,baxteri,734.6,10.379,2.865,3.622688,2463.4,3.3533896,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-2,BON-2B,baxteri,910.5,12.001,3.465,3.463492,3660.5,4.020318506,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-2,BON-2C,baxteri,523.2,9.011,2.856,3.155112,1834,3.505351682,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-2,BON-2D,baxteri,778.8,11.097,3.315,3.347511,2521.5,3.237673344,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-2,BON-2E,baxteri,760,11.614,3.315,3.503469,2778.4,3.655789474,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-3,BON-3A,baxteri,781.6,9.559,4.091,2.336593,2907.9,3.720445241,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-3,BON-3B,baxteri,876.9,12.256,4.203,2.916012,3472.3,3.959744555,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-3,BON-3C,baxteri,952,12.334,3.362,3.66865,2887.1,3.032668067,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-3,BON-3D,baxteri,529.2,13.645,3.835,3.558018,3144.4,5.941798942,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-3,BON-3E,baxteri,376.9,12.613,4.011,3.144602,3383.1,8.976120987,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-4,BON-4A,baxteri,623.8,10.233,3.248,3.150554,2790.8,4.47386983,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-4,BON-4B,baxteri,897.7,13.339,3.868,3.448552,3615.5,4.02751476,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-4,BON-4C,baxteri,729.1,12.326,4.124,2.988846,3373.7,4.627211631,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-4,BON-4D,baxteri,709.1,8.87,2.456,3.611564,1796.7,2.533775208,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-4,BON-4E,baxteri,820.1,8.007,2.272,3.524208,1179,1.437629557,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-5,BON-5A,baxteri,763.4,12.039,4.702,2.5604,3886.2,5.090647105,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-5,BON-5B,baxteri,570.5,7.823,5.02,1.558367,3050.2,5.346538124,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-5,BON-5C,baxteri,676.2,11.419,4.08,2.798775,3285,4.858030169,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-5,BON-5D,baxteri,1014.1,14.167,5.269,2.688745,5481.4,5.405186865,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BON-5,BON-5E,baxteri,734.6,12.538,4.196,2.988084,3364.4,4.579907433,138.3338,-35.60086,Bonython-baxteri,811
Bonython,BONO-1,BONO-1A,obliqua,870.1,12.575,3.942,3.190005,3687.5,4.238018619,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-1,BONO-1B,obliqua,959.2,13.674,3.953,3.459145,4041.7,4.213615513,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-1,BONO-1C,obliqua,869.4,14.197,5.308,2.674642,4406.2,5.068092938,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-1,BONO-1D,obliqua,598.5,11.131,3.094,3.597608,2237.3,3.73817878,138.3338,-35.60086,Bonython-obliqua,811
Bonython,BONO-1,BONO-1E,obliqua,774.7,14.299,4.222,3.386784,3318.7,4.283851814,138.3338,-35.60086,Bonython-obliqua,811
