CODE,plant,coll,yr,treat,observation,bud_depth_mm,SPECIES,Family,MAXHT_cm,GFORM,STEMCATS,specific_leaf_area_mm2/mg
arijer,clip3,2000,0,c,1,9,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,clip2,2000,0,c,1,11,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,clip1,2000,0,c,1,8,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn3,2000,0,b,1,16,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn2,2000,0,b,1,7.5,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn1,2000,0,b,1,6,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
atrsem,clip1,2000,0,c,1,3,Atriplex semibaccata,Chenopodiaceae,NA,NA,NA,NA
boswal,clip3,2000,0,c,1,65,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,clip2,2000,0,c,1,95,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,clip1,2000,0,c,1,21,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,burn3,2000,0,b,1,27,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,burn2,2000,0,b,1,45,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,burn1,2000,0,b,1,12,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
calcun,clip4,2000,0,c,1,7,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip3,2000,0,c,1,14,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip2,2000,0,c,1,3,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip1,2000,0,c,1,1,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
callap,clip3,2000,0,c,1,4,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip2,2000,0,c,1,22,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip1,2000,0,c,1,22,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn3,2000,0,b,1,20,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn2,2000,0,b,1,25,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn1,2000,0,b,1,20,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
caslae,clip3,2000,0,c,1,6,Cassinia laevis,Asteraceae,NA,NA,NA,NA
caslae,clip2,2000,0,c,1,5,Cassinia laevis,Asteraceae,NA,NA,NA,NA
caslae,clip1,2000,0,c,1,5,Cassinia laevis,Asteraceae,NA,NA,NA,NA
chedes,clip5,2000,0,c,1,0,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
chedes,clip4,2000,0,c,1,-5,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
chedes,clip3,2000,0,c,1,0,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
chedes,clip2,2000,0,c,1,-5,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
