species,location,mature_leaves_P,senesced_leaves_P,P_remobilization_efficency
Acacia xanthina,Bold Park,0.568,0.364,36
Acacia suaveolens,Blue Mountains National Park,0.433,0.267,38
Acacia truncata,Bold Park,0.54,0.315,41
Grevillea crithmifolia,Bold Park,0.501,0.26,48
Banksia attenuata,Bold Park,0.261,0.081,69
Banksia menziesi,Bold Park,0.294,0.08,73
Hakea prostrata,Bold Park,0.526,0.084,84
Banksia serrata,Blue Mountains National Park,0.2,0.01,95
