SITE,species_name,species_abb,WD10,LASA10
loRloP,Acacia brachybotrya,Acabra,0.85,4110
loRhiP,Acacia doratoxylon,Acador,0.88,4633
loRhiP,Acacia hakeoides,AcaHak,0.75,2961
loRloP,Acacia havilandiorum,Acahav,0.97,1270
loRhiP,Acacia oswaldii,Acaosw,0.9,3746
hiRloP,Acacia suaveolens,Acasua_syd,0.55,1687.21
loRloP,Acacia triptera,acatri,0.95,2787
loRloP,Bertya cunninghamii,Bercun,0.73,2447
loRloP,Beyeria opaca,beyopa,0.78,3206
loRhiP,Callitris glaucophylla,Calgla,0.72,3352
loRloP,Callitris verrucosa,Calver,0.7,2718
loRloP,Cassinia laevis,Caslae,0.81,2133
hiRhiP,Citriobatus pauciflorus,citpau,0.69,2607
hiRloP,Dillwynia retorta,DilRet,0.82,3775.71
loRhiP,Dodonaea viscosa ssp angustissima,Dodvian,0.97,4673
loRloP,Dodonaea viscosa ssp cuneata,Dodvicu,0.88,4855
loRhiP,Dodonaea viscosa ssp spatulata,Dodvisp,0.88,3082
loRloP,Eremophila glabra,Eregla,0.83,1022
loRhiP,Eremophila longifolia,Erelon,0.72,2554
loRhiP,Eremophila mitchelli,Eremit,0.85,4861
loRloP,Eucalyptus dumosa,Eucdum,0.81,1721
loRhiP,Eucalyptus intertexta,Eucint,0.7,5095
loRloP,Eucalyptus socialis,Eucsoc,0.78,2392
hiRloP,Geijera parviflora,Geipar,0.85,4402
hiRloP,Gompholobium latifolium,gomlat,0.76,3005.71
loRhiP,Hakea tephrosperma,Haktep,0.81,1113
loRloP,Helichrysum tuckeri,Heltuk,0.86,3407
hiRloP,Hibbertia obtusifolia,hibobt,0.6,2882
hiRloP,Leptospermum polygalifolium,leppol,0.77,3211
hiRloP,Leucopogon ericoides,leueri,0.8,2681
loRloP,Melaleuca uncinata,MelUnc_m,0.78,1299
loRloP,Micromyrtus sessilis,Micses,0.99,5211
loRloP,Olearia decurrens,Oledec,0.82,1437
loRloP,Olearia pimelioides,Olepim,0.9,1681
hiRloP,Persoonia lanceolata,perlan,0.6,1944
loRhiP,Philotheca difformis,Phidif,0.92,1574
loRhiP,Pimelea microcephala,Pimmic,0.76,1906
loRhiP,Senna artemesiodes,Senart3,0.93,1813
hiRhiP,Trochocarpa laurina,Trolau,0.58,2710
