Date,Habitat,Site,Bee taxa,Total Bee N,Flower species,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Bold Park,,,Pelargonium capitatum ,Corynotheca micrantha ,Grevillea whiteana,Banksia attenuata ,Eucalyptus leucoxylon sp. rosea,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,81,10,11,11,5,44,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Hylaeinae,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Euryglossinae,41,,,,,41,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Piney Lakes,,,Hibbertia cuneeiformis ,Jacksonia sternbergiana ,Arctotheca calendula ,Conostylis candicans,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybee,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Homalictus,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,29,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Leioproctus,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lipotriches,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Amegilla,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Euryglossinae,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Wireless Hill,,,Callistemon viminalis,Jacksonia sternbergiana,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,70,,70,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Euryglossinae,39,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Leioproctus,36,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Star Swamp,,,Jacksonia sternbergiana ,Banksia sessilis,Banksia praemorsa,Calothamnus quadrifidus ,Arctotheca calendula ,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybee,118,6,107,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Exoneura,5,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Hylaeinae,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Trichocolletes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Kings Park,,,Jacksonia sternbergiana ,Xanthorrhoea preissii ,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,104,,104,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lasioglossum,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile ,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Homalictus,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Euryglossinae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Maniana,,,Jacksonia gracillima,Xanthorrhoea preissii ,Dasypogon bromeliifolius,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,61,0,10,51,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Leioproctus,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lipotriches,9,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Amegilla,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Meroglossa,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Bushland remnant,Shenton Park,,,Callistemon viminalis,Eucalyptus marginata,Jacksonia sericea,Hemiandra pungens,Tricoryne tenella,Chamelaucium uncinatum,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybee,751,400,311,0,10,10,20,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,6,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lasioglossum,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Hylaeinae,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Leioproctus,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Gosnells,,,Hibbertia scandens,Rosa,Cymbalaria muralis ,Callistemon salignus 'Perth Pink',Argyranthemum frutescens,Grevillea whiteana' Moonlight',poppy (Papaver rhoeas),geraniums (Pelargonium x hortorum),Allium triquetrum,Gazania linearis,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,166,2,40,40,30,14,15,5,5,5,10,,,,,,,,,,,,,,,,,,
2016-11,,,Amegilla,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lasioglossum,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Wembley,,,Sida fallax Butterkin,Tropaeolum majus (Nasurtium) ,Limonium perezii,Ceratopetalum gummiferum,Lobelia erinus,Melaleuca braceata (Revolution),,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,397,5,2,5,5,,380,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Hylaeinae,20,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lasioglossum,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Jandakot ,,,Callistemon viminalis,Xanthorrea preissii ,Hibbertia scandens,Borago officinalis ,Centaurea cyanus ,Arctotheca calendula ,Rosa,Erigeron glaucus,Lavandula angustifolia,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,538,100,295,0,70,5,5,8,5,50,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Exoneura,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Hylaeinae,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lipotriches,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Osborne Park,,,Agonis flexuosa,Callistemon viminalis,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybee ,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Nedlands,,,Banksia ashbyi ,Melaleuca huegelii ,Vitis vinifera ,Banksia blechnifolia,Echeveria,Rosa,Tanacetum cinerariifolium,Westringia fruticosa,Lavendula dentata,Pelargonium × hortorum,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybee,961,0,480,430,20,3,5,5,10,5,3,,,,,,,,,,,,,,,,,,
2016-11,,,Hylaeinae,14,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Exoneura,244,,244,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Euryglossinae,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lasioglossum,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Bibra Lake,,,Malus pumila,Grevillia leucopteris,Gompholobium aristatum,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,61,30,19,12,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Megachile,89,,,89,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lipotriches flavoviridis,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,Residential garden,Wilson,,,Leucospermum,Callistemon viminalis,Callistemon salignus 'Perth Pink' ,Rosa,Pelargonium (Regal pelargonium) ,Gazania linearis ,Arctotheca calendula ,Regelia ciliata ,,,,,,,,,,,,,,,,,,,,
2016-11,,,Honeybees,190,100,10,50,20,2,3,2,3,,,,,,,,,,,,,,,,,,,,
2016-11,,,Leioproctus,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11,,,Lasioglossum,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Bold Park,,,Corynotheca micrantha,Jacksonia furcellata,Banksia attenuata,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,24,2,,22,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile,281,,281,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Piney Lakes,,,Jacksonia sericea,Jacksonia furcellata,Dianella revoluta divicarta ,Hibbertia cuneiformis,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile,55,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Lipotriches,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Leioproctus,23,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Euryglossinae,43,,43,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Amegilla,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Lasioglossum,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Wireless Hill,,,Jacksonia sternbergiana,Jacksonia furcellata,Jacksonia sericea,Arnocrium preissii???,Eucalyptus marginata,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,5,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile,39,16,12,9,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Amegilla,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Euryglossinae,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Leioproctus,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Star Swamp,,,Jacksonia sericea,Jacksonia sternbergiana,Banksia attenuata,Banksia sessilis,Calothammus quadrifidus,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile,49,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Leioproctus,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Euryglossinae,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Coelioxys,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Hylaeinae,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,55,12,24,17,1,1,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Kings Park,,,Jacksonia sericea,Jacksonia sternbergiana,Tricoryne tenella,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile,49,28,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Leioproctus,62,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Euryglossinae sp.,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,25,3,,22,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Maniana,,,Melaleuca  preissiana,Astartea scoparia,Jacksonia floribunda,Jacksonia gracillima,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile spp. ,77,,,7,70,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,18,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,Bushland remnant,Shenton Park,,,Jacksonia sericea,Tricoryne tenella,Hemiandra pungens,Banksia attenuata,Scaevola albida ,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Megachile spp.,196,194,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Leioproctus,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Lipotriches,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12,,,Honeybees,16,1,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,
