species,location,collection_date,branch_length,branch_length_SE,diameter_at_base,diameter_at_base_SE,leaf_area,leaf_area_SE,huber_value,huber_value_SE,hydraulic_conductance,hydraulic_conductance_SE,hydraulic_conductance_per_leaf_area,hydraulic_conductance_per_leaf_area_SE,hydraulic_conductance_per_branch_transverse_area,hydraulic_conductance_per_branch_transverse_area_SE,hydraulic_conductivity,hydraulic_conductivity_SE,hydraulic_conductivity_per_leaf_area,hydraulic_conductivity_per_leaf_area_SE,hydraulic_conductivity_per_branch_transverse_area,hydraulic_conductivity_per_branch_transverse_area_SE
Eucalyptus tetrodonta,Tropical Research Centre,1996-05,27.8,0.8,2.8,0.1,369,59,1.62,0.16,59,11,1.69,0.25,9057,1094,16,3,0.47,0.07,2505,302
Eucalyptus tetrodonta,Tropical Research Centre,1998-05,31.9,2.6,3.1,0.2,432,94,1.69,0.16,69,14,1.75,0.2,9454,2036,22,5,0.59,0.12,3131,777
Eucalyptus miniata,Tropical Research Centre/Palmerston campus of Northern Territory University,1998-05,38.2,3.9,3.2,0.1,233,34,2.94,0.36,45,12,1.74,0.27,5901,1476,16,4,0.64,0.1,2101,568
