character,lookup,value
dispersal mode,1,endozoochory
dispersal mode,2,anemochory
dispersal mode,3,unassisted
dispersal mode,4,exo-zoochory
dispersal mode,5,hydrochory
dispersal mode,6,myrmemochory
dispersal mode,7,ballistochory
habit,1,woody
habit,2,herbaceous
habit,3,semi-woody
leaf type,1,simple
leaf type,2,compound
leaf type,3,one foliate
