species_name,original_name,plant_height_Metcalfe_2020_1,plant_height_RBGSYD_2014,plant_height_WAH_1998,plant_height_to_keep
Arthrostylis aphylla,Arthrostylis aphylla,1,NA,NA,keep
Bolboschoenus fluviatilis,Bolboschoenus fluviatilis,2,2,NA,omit
Bulbostylis barbata,Bulbostylis barbata,1,1,1,omit
Bulbostylis densa,Bulbostylis densa,1,1,NA,omit
Bulbostylis pyriformis,Bulbostylis pyriformis,1,1,NA,omit
Carex appressa,Carex appressa,2,NA,2,omit
Carex breviculmis,Carex breviculmis,1,NA,NA,keep
Carex brunnea,Carex brunnea,1,NA,NA,keep
Carex declinata,Carex declinata,1.2,NA,NA,keep
Carex hubbardii,Carex hubbardii,1,NA,NA,keep
Carex inversa,Carex inversa,1,NA,1,omit
Carex maculata,Carex maculata,1,NA,NA,keep
Carex polyantha,Carex polyantha,1,NA,NA,keep
Carex pseudocyperus,Carex fascicularis,1.5,NA,1.5,omit
Chorizandra cymbaria,Chorizandra cymbaria,1,1,1,omit
Cladium mariscus subsp. intermedium,Cladium procerum,2.5,NA,NA,keep
Cyperus alopecuroides,Cyperus alopecuroides,1.5,NA,1.5,omit
Cyperus alterniflorus,Cyperus alterniflorus,2,1.4,2,omit
Cyperus aquatilis,Cyperus aquatilis,1,1,1,omit
Cyperus betchei,Cyperus betchei,1.2,1,1.2,omit
Cyperus betchei,Cyperus betchei subsp. betchei,1,NA,NA,keep
Cyperus blakeanus,Cyperus blakeanus,1,NA,1,omit
Cyperus bowmanii,Cyperus bowmannii,1,NA,NA,keep
Cyperus breviculmis,Cyperus breviculmis,1,NA,1,omit
Cyperus bulbosus,Cyperus bulbosus,1,1,1,omit
Cyperus carinatus,Cyperus carinatus,1,NA,1,omit
Cyperus castaneus,Cyperus castaneus,1,1,1,omit
Cyperus compressus,Cyperus compressus,1,1,NA,omit
Cyperus concinnus,Cyperus concinnus,1,1,1,omit
Cyperus conicus,Cyperus conicus,1,1,1,omit
Cyperus cuspidatus,Cyperus cuspidatus,1,NA,1,omit
Cyperus cyperoides,Cyperus cyperoides,1,1,NA,omit
Cyperus dactylotes,Cyperus dactylotes,1.2,1,1.2,omit
Cyperus dietrichiae,Cyperus dietrichiae,1,1,NA,omit
Cyperus dietrichiae var. brevibracteatus,Cyperus dietrichiae var. brevibracteatus,1,NA,NA,keep
Cyperus difformis,Cyperus difformis,1,1,1,omit
Cyperus digitatus,Cyperus digitatus,1,NA,1,omit
Cyperus eglobosus,Cyperus eglobosus,1,NA,NA,keep
Cyperus enervis,Cyperus enervis,1,1,NA,omit
Cyperus esculentus,Cyperus esculentus,1,1,NA,omit
Cyperus exaltatus,Cyperus exaltatus,1.8,1.8,NA,omit
Cyperus flaccidus,Cyperus flaccidus,1,1,1,omit
Cyperus fulvus,Cyperus fulvus,1,1,NA,omit
Cyperus gilesii,Cyperus gilesii,1,1,NA,omit
Cyperus gracilis,Cyperus gracilis,1,NA,NA,keep
Cyperus gymnocaulos,Cyperus gymnocaulos,1,NA,1,omit
Cyperus haspan,Cyperus haspan,1,1,1,omit
Cyperus haspan,Cyperus haspan subsp. haspan,1,NA,NA,keep
Cyperus haspan,Cyperus haspan subsp. juncoides,1,NA,NA,keep
Cyperus holoschoenus,Cyperus holoschoenus,1.5,NA,1.5,omit
Cyperus rotundus,Cyperus bifax,1,1,1,omit
Fimbristylis ovata,Abildgaardia ovata,1,1,NA,omit
Fimbristylis vaginata,Abildgaardia vaginata,1,NA,NA,keep
Kyllinga brevifolia,Cyperus brevifolius,1,1,NA,omit
Kyllinga polyphylla,Cyperus aromaticus,1,NA,NA,keep
Machaerina articulata,Baumea articulata,2,2,2.6,omit
Machaerina juncea,Baumea juncea,1.2,1,1.2,omit
Machaerina nuda,Baumea nuda,1,1,NA,omit
Machaerina rubiginosa,Baumea rubiginosa,4,1,4,omit
Machaerina teretifolia,Baumea teretifolia,1,1,NA,omit
Pycreus flavidus,Cyperus flavidus,1,1,NA,omit
