locality,Site code,latitude (deg),longitude (deg),elevation (m),aspect
Mt Stilwell,StCbNW,-36.4427,148.3301,1962,NW
Mt Stilwell,StCbSE,-36.4448,148.3343,1953,SE
Mt Stilwell,StCNW,-36.442,148.3279,1955,NW
Mt Stilwell,StCSE,-36.4458,148.3327,1955,SE
Mt Stilwell,StAmrfNW,-36.4423,148.3263,1959,NW
Mt Stilwell,StAmrfSE,-36.4477,148.3321,1956,SE
Mt Stilwell,StSpNW,-36.4412,148.3227,1955,NW
Mt Stilwell,StSpSE ,-36.4413,148.3235,1961,SE
Schlink Pass,SpAmrfNW,-36.2647,148.3733,1678,NW
Schlink Pass,SpAmrfSE,-36.2645,148.373,1685,SE
Schlink Pass,SpMrW,-36.267,148.3717,1671,W
Schlink Pass,SpMrE,-36.2668,148.3716,1670,E
Schlink Pass,SpRbNW,-36.2689,148.3707,1668,NW
Schlink Pass,SpRbSE,-36.2686,148.3713,1665,SE
Schlink Pass,SpRcSW,-36.2682,148.3714,1667,SW
Schlink Pass,SpRcE,-36.2678,148.3711,1670,E
