running #,Date,Site#,S deg,S min,S sec,E deg,E min,E sec,Site Description,Sample#,Genus,species,working title,leaf type,DN#,Field Remarks,# of leafs for LA,LA (cm),dry weight (g),Lab remarks
253,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.3,Eucalyptus,jensenii,,,,,10,111.563,,
254,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.4,Acacia,,needle,lanceolat,5838,,10,16.425,,
255,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.5,Acacia,,oblong,phylloid,5839,,3,315.054,,
256,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.6,Corymbia,curtipes,,,,,3,180.667,,
257,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.7,Lysiphyllum,,,leaflet,,,20,219.231,,
258,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.8,Eucalyptus,pantoleuca,,,,,5,265.632,,
259,8/5/2010,55,15,59,21,126,58,39,60km East of intersect,55.9,Bossiaea,,,phylloclad,,,5,74.204,,
260,8/6/2010,56,15,34,50,127,45,53,"River Crossing Homeland, sand trap",56.1,,,Pea plant,leaflet,5840,,5,204.538,,
261,8/6/2010,56,15,34,50,127,45,53,"River Crossing Homeland, sand trap",56.2,Acacia,,green,phylloid,5841,,5,131.98,,
262,8/6/2010,56,15,34,50,127,45,53,"River Crossing Homeland, sand trap",56.3,Acacia,,waxy,phylloid,5842,,5,140.818,,
263,8/6/2010,56,15,34,50,127,45,53,"River Crossing Homeland, sand trap",56.4,Acacia,,spatulate,phylloid,5843,,10,85.256,,
264,8/6/2010,57,15,35,7,127,45,48,"Return plateau, dry spot",57.1,Acacia,,Callitris-like,needle like,5845,,NA,5.419,,20 short shoots with fine needles
265,8/6/2010,57,15,35,7,127,45,48,"Return plateau, dry spot",57.2,Acacia,,elephant ear,phylloid,5846,,3,472.684,,
266,8/6/2010,57,15,35,7,127,45,48,"Return plateau, dry spot",57.3,Eucalyptus,phoenicia,,,,,5,168.879,,
267,8/6/2010,57,15,35,7,127,45,48,"Return plateau, dry spot",57.4,Corymbia,drysdalensis,,,,wood sample,10,127.572,,
268,8/7/2010,58,15,27,3,128,7,13,Wyndham Five River Lookout,58.1,Corymbia,drysdalensis,,,,,5,72.982,,
269,8/7/2010,58,15,27,3,128,7,13,Wyndham Five River Lookout,58.2,Eucalyptus,miniata,,,,,5,129.196,,
270,8/7/2010,58,15,27,3,128,7,13,Wyndham Five River Lookout,58.3,Acacia,,elephant ear,phylloid,,,1,548.622,,
271,8/7/2010,58,15,27,3,128,7,13,Wyndham Five River Lookout,58.4,Lysiphyllum,,cunninghamii?,leaflet,,,10,158.223,,
272,8/7/2010,58,15,27,3,128,7,13,Wyndham Five River Lookout,58.5,Acacia,,textured leaf,phylloid,5848,,5,180.77,,
273,8/8/2010,59,17,28,1,128,28,6,"Bungle Bungle, sand / gravel",59.1,Corymbia,opaca,,,,,5,119.76,,
274,8/8/2010,59,17,28,1,128,28,6,"Bungle Bungle, sand / gravel",59.2,Eucalyptus,limitaris,,,,,5,110.192,,
275,8/8/2010,59,17,28,1,128,28,6,"Bungle Bungle, sand / gravel",59.3,Acacia,,parallel vein,phylloid,5854,,10,78.884,,
276,8/8/2010,59,17,28,1,128,28,6,"Bungle Bungle, sand / gravel",59.4,Lysiphyllum,,,leaflet,,,30,82.953,,
277,8/8/2010,59,17,28,1,128,28,6,"Bungle Bungle, sand / gravel",59.5,Lysiphyllum,,"2, small",leaflet,5855,,50,31.172,,
278,8/8/2010,60,17,23,57,128,16,59,"Bungle Bungle, sand",60.1,Eucalyptus,brevifolia,,,,,10,136.526,,
279,8/8/2010,60,17,23,57,128,16,59,"Bungle Bungle, sand",60.2,Eucalyptus,pruinosa,,,,,5,201.32,,
280,8/8/2010,60,17,23,57,128,16,59,"Bungle Bungle, sand",60.3,Acacia,,bungle minniritchi bark,lanceolat,5856,,50,20.298,,
281,8/8/2010,60,17,23,57,128,16,59,"Bungle Bungle, sand",60.4,Acacia,,bungle linear,lanceolat,5857,,10,31.086,,
282,8/9/2010,61,16,6,27,128,23,2,Great Northern Highway,61.1,Adansonia,gregorii,,phylloid,,"2 wood sample (fresh length each 7cm), 5.63m circ. at 1.3m, 14.5m height, EW21/NS20m crown diam.",10,124.749,,
283,8/9/2010,62,16,0,46,128,25,29,Great Northern Highway,62.1,Corymbia,polycarpa,,,,"wood sample, 1.26m circ. at 1.3m, 11m height",5,90.736,,
284,8/9/2010,63,15,14,29,128,29,58,Great Northern Highway,63.1,Corymbia,confertifolia,,,,"wood sample, 1.97m circ. at 1.3m, 15.5m height, EW19/NS15.5m crown diam.",5,251.597,,
285,8/9/2010,64,15,46,6,126,36,25,20km West of Kununurra,64.1,Corymbia,grandifolia,,,,,2,321.24,,
286,8/9/2010,64,15,46,6,126,36,25,20km West of Kununurra,64.2,Eucalyptus,miniata,,,,,5,218.408,,
287,8/9/2010,64,15,46,6,126,36,25,20km West of Kununurra,64.3,Corymbia,drysdalensis,,,,,5,102.088,,
288,8/9/2010,64,15,46,6,126,36,25,20km West of Kununurra,64.4,Acacia,,broad pod,phylloid,5860,,5,176.165,,
289,8/9/2010,64,15,46,6,126,36,25,20km West of Kununurra,64.5,Acacia,,textured leaf,phylloid,,,5,167.163,,
290,,65,,,,,,,Ashburn River,65.1,Prosopis,,mesquite,leaflet,,,30,15.298,,"30 pinnate leaflets; leafs were folded, multiplied by 2"
291,,66,,,,,,,Drysdale River,66.1,Byblis,,1 grass,,,,,,,
292,,66,,,,,,,Drysdale River,66.2,Byblis,,1,,,,,,,
293,,66,,,,,,,Drysdale River,66.3,Byblis,,2 grass,,,,,,,
294,,66,,,,,,,Drysdale River,66.4,Byblis,,2,,,,,,,
295,,66,,,,,,,Drysdale River,66.5,Byblis,,3 grass,,,,,,,
296,,66,,,,,,,Drysdale River,66.6,Byblis,,3,,,,,,,
297,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,brachycorys,,,,,10,94.046,,
298,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,camaldulensis,,,,,10,160.105,,
299,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,celastroides,,,,,10,71.381,,
300,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,clelandii,,,,,10,157.242,,
301,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,concinna,,,,,10,103.57,,
302,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,corrugata,,,,,10,120.06,,
303,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,ebbanoensis,,,,,10,147.91,,
304,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,eudesmioides,,,,,20,78.566,,
305,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,ewartiana,,,,,10,124.817,,
306,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,formanii,,,,,20,14.128,,
307,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,gamophylla,,,,,6,125.719,,
308,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,gittinsii,,,,,10,203.944,,
309,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,horistes,,,,,20,69.723,,
310,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,leptopoda ssp. subluta,,,,,20,101.923,,
311,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,leucophloia ssp. leucophloia,,,,,10,175.238,,
312,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,limitaris,,,,,10,223.608,,
313,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,longicornis,,,,,10,95.923,,
314,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,longissima,,,,,10,123.828,,
315,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,loxophleba ssp. lissophloia,,,,,10,98.727,,
316,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,moderata,,,,,10,122.469,,
317,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,myriadena,,,,,20,82.768,,
318,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,obtusiflora,,,,,10,162.179,,
319,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,oldfieldii,,,,,10,128.813,,
320,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,pruinosa,,,,,10,308.613,,
321,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,ravida,,,,,10,88.13,,
322,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,rigidula,,,,,10,63.439,,
323,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,salmonophloia,,,,,10,147.928,,
324,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,salubris,,,,,10,73.648,,
325,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,transcontinentalis,,,,,10,82.546,,
326,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,vittata,,,,,10,130.186,,
327,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,xerothermica,,,,,10,237.448,,
328,,,,,,,,,Currency Creek Arboretum,,Eucalyptus,yilgarnensis,,,,,10,49.928,,
