Family,Species,Diaspore class,Life form,Habitat class,Seed diameter (mm),BFG 1 (%),BFG2 (%),BFG3 (%),BFG4 (%),BFG5 (%),BFG6 (%)
Acanthaceae,Graptophyllum reticulatum,un,stree,3,NA,0,0,5,0,0,0
Acanthaceae,Graptophyllum spinigerum,un,stree,3,4,0,0,5,3,0,0
Acanthaceae,Harnieria hygrophiloides,un,stree,6,2,0,0,0,17,29,30
Agavaceae,Cordyline congesta,ae,stree,4,NA,0,4,0,8,5,0
Agavaceae,Cordyline murchisoniae,ae,stree,4,NA,0,4,0,8,0,0
Agavaceae,Cordyline petiolaris,ae,stree,wide,NA,0,30,67,57,53,20
Agavaceae,Cordyline rubra,ae,stree,wide,NA,100,61,71,67,41,15
Akaniaceae,Akania bidwillii,eu,trees,2,8,0,52,19,3,0,0
Alangiaceae,Alangium villosum subsp. polyosmoides,ae,trees,2,7,0,48,33,10,0,0
Alangiaceae,Alangium villosum subsp. tomentosum,ae,trees,6,7,0,0,10,42,41,48
Amaranthaceae,Deeringia amaranthoides,ae,sclim,3,1,0,4,14,7,13,8
Amaranthaceae,Deeringia arborescens,ae,sclim,3,1,0,4,14,10,2,5
Anacardiaceae,Euroschinus falcata,ae,trees,wide,4,73,9,95,50,47,48
Anacardiaceae,Pleiogynium timorense,ae,trees,6,4,0,0,0,7,0,68
Anacardiaceae,Rhodosphaera rhodanthema,ae,trees,5,9,0,0,29,45,63,28
Annonaceae,Fitzalania heteropetala,ae,stree,6,10,0,0,0,2,0,5
Annonaceae,Meiogyne stenopetala  subsp. stenopetala,ae,stree,2,8,0,17,0,7,0,0
Annonaceae,Melodorum leichhardtii,ae,tclim,wide,6,27,39,67,80,80,88
Annonaceae,Polyalthia nitidissima,ae,stree,I,5,55,0,38,18,2,28
Anocynaceae,Alstonia constricta,wa,stree,5,5,0,0,0,3,57,53
Anocynaceae,Alyxia magnifolia,ae,stree,3,5,0,0,24,13,13,20
Anocynaceae,Alyxia ruscifolia,ae,stree,wide,5,100,13,57,67,95,85
Anocynaceae,Alyxia sharpei,ae,stree,6,4.5,0,0,0,0,0,5
Anocynaceae,Carissa ovata,ae,sclim,6,5,0,4,29,62,92,100
Anocynaceae,Melodinus acutijloris,ae,tclim,3,3,0,17,24,18,1,0
Anocynaceae,Melodinus australis,ae,tclim,1,3.5,82,78,52,43,4,8
Anocynaceae,Neisosperma poweri,ae,stree,3,10,0,0,10,0,0,0
Anocynaceae,Parsonsia folva,wa,tclim,2,1.5,0,17,14,2,0,0
Anocynaceae,Parsonsia  induplicata,wa,tclim,3,1,0,0,5,0,0,0
Anocynaceae,Parsonsia  lanceolata,wa,sclim,6,1,0,0,5,3,22,40
Anocynaceae,Parsonsia leichhardtii,wa,tclim,6,1,0,0,0,12,19,48
