trait_name,find,replace
dispersal_syndrome,adhesive,epizoochory
dispersal_syndrome,ae,endozoochory
dispersal_syndrome,eu,zoochory
dispersal_syndrome,un,barochory
dispersal_syndrome,wa,anemochory
dispersers,adhesive,animals
dispersers,ae,vertebrates
dispersers,eu,animals
dispersers,un,passive
dispersers,wa,wind
dispersal_appendage,adhesive,NA
dispersal_appendage,ae,fleshy_reward
dispersal_appendage,eu,NA
dispersal_appendage,un,none
dispersal_appendage,wa,wing_or_plume
habitat,1,rainforest_subtropical_warm
habitat,2,rainforest_subtropical_cool
habitat,3,rainforest_subtropical
habitat,4,rainforest_subtropical_dry rainforest_subtropical_lowland
habitat,5,rainforest_subtropical_dry
habitat,6,rainforest_subtropical_dry
habitat,wide,rainforest_subtropical
plant_growth_form,sclim,climber
plant_growth_form,stee,shrub tree
plant_growth_form,stree,shrub tree
plant_growth_form,tclim,climber_woody
plant_growth_form,trees,tree
