Species,Modern/Historic,Date Collected,latitude (deg),longitude (deg),site,Replicate,Seed Length (mm),Seed Width (mm),Seed Depth (mm),Length transformed,Width transformed,Depth transformed,Sum,Variance,Mass (g),Number of seeds weighed per replicate,Plant label number,Count_of_leaves_scanned,Leaf_or_leaflet,Leaf area (cm2),Leaf area (m2),Leaf mass (g),LMA (g/m2),Volume of Stem (mL),Mass of dried stem (g),Stem Density (g/mL),Germination %,Viability %,n,Dormant,Notes,Plant ID,HHMMSS,Photo (Asat; umol CO2 m-2 s-1),Conductance (gs; mmol H2O m-2 s-1),Ci,Area,Root (g),Totalshoot (g),Totalplant,Roottoshoot
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,4.82,2.53,1.61,1,0.524896266,0.334024896,8.96,0.078408697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,5.88,3.33,1.62,1,0.566326531,0.275510204,10.83,0.088614698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,4.44,2.89,1.47,1,0.650900901,0.331081081,8.8,0.074623046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,5.7,2.9,1.48,1,0.50877193,0.259649123,10.08,0.094609623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,6.22,2.97,1.4,1,0.477491961,0.225080386,10.59,0.104136296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,4.51,2.57,1.31,1,0.569844789,0.290465632,8.39,0.085169471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,5.2,3.42,1.65,1,0.657692308,0.317307692,10.27,0.077678337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,4.33,3.3,1.59,1,0.762124711,0.367205543,9.22,0.068108292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,6.12,3.13,1.59,1,0.511437908,0.259803922,10.84,0.094433646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,Historic,11/27/1985,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,4.79,2.79,1.66,1,0.582463466,0.346555324,9.24,0.072997706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
