family,SID taxa,spauth,infraspecauth,protcontentval,oilmaterialdesc,moisturestatus,protnotes,refshort,refdesc
CUCURBITACEAE,Momordica charantia,L.,,36.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
CUCURBITACEAE,Momordica charantia,L.,,32.8,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-CAESALPINIOIDEAE,Peltophorum pterocarpum,(DC.) Backer ex K.Heyne,,14.7,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
PORTULACACEAE,Portulaca oleracea,L.,,19.6,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
PORTULACACEAE,Portulaca oleracea,L.,,20.2,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
PORTULACACEAE,Portulaca oleracea,L.,,21.3,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Rhynchosia minima,(L.) DC.,,23.6,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LAMIACEAE,Salvia plebeia,R.Br.,,18,Entire seed/nut,Moisture content not stated,,"(Hagemann et al., 1967)","Hagemann, J.M., Earle, F.R., Wolff, I.A. and Barclay, A.S. 1967. Search for new industrial oils. XIV. Seed oils of Labiatae. Lipids, 2:371-380."
SANTALACEAE,Santalum acuminatum,(R.Br.) A.DC.,,15.9,Kernel,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-PAPILIONOIDEAE,Sesbania cannabina,(Retz.) Poir.,,29.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MALVACEAE,Sida spinosa,L.,,23.1,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
SOLANACEAE,Solanum nodiflorum,Jacq.,,14.4,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
SURIANACEAE,Stylobasium spathulatum,Desf.,,11.6,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-PAPILIONOIDEAE,Tephrosia purpurea,(L.) Pers.,,35.8,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
POACEAE,Themeda triandra,Forssk.,,15,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,12.5,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,11.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,11.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,11.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,12.5,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,13.1,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,13.8,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,13.8,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,15.6,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,21.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,23.8,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,25,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,26.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,11.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,11.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
POACEAE,Themeda triandra,Forssk.,,15,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
ZYGOPHYLLACEAE,Tribulus terrestris,L.,,38.5,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
ZYGOPHYLLACEAE,Tribulus terrestris,L.,,46.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CUCURBITACEAE,Trichosanthes cucumerina,L.,,33.8,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MALVACEAE,Urena lobata,L.,,28.8,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vicia sativa subsp. nigra,L.,Ehrh.,31.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Vicia sativa subsp. nigra,L.,Ehrh.,31.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-PAPILIONOIDEAE,Vicia sativa subsp. nigra,L.,Ehrh.,29.5,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-PAPILIONOIDEAE,Vicia sativa subsp. nigra,L.,Ehrh.,47.8,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna luteola,(Jacq.) Benth.,,25.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,22.8,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,25.6,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,28.4,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,25.5,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,25.7,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,23.4,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,26.1,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,23.9,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,23.6,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Vigna radiata,(L.) R.Wilczek,,29,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
