family,SID taxa,spauth,infraspecauth,protcontentval,oilmaterialdesc,moisturestatus,protnotes,refshort,refdesc
LEGUMINOSAE-MIMOSOIDEAE,Acacia dictyophleba,F.Muell.,,23.1,Entire seed/nut,Moisture content not stated,,"(Maconochie, 1985)","Maconochie, J.R. 1985. Plants of the Australian arid zone - an undeveloped potential. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field) pp. 289-302. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia elata,A.Cunn. ex Benth.,,25,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-MIMOSOIDEAE,Acacia kempeana,F.Muell.,,23.3,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia kempeana,F.Muell.,,22.9,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia longifolia,(Andrews) Willd.,,26.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-MIMOSOIDEAE,Acacia murrayana,F.Muell. ex Benth.,,18.1,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia murrayana,F.Muell. ex Benth.,,18.4,Entire seed/nut,Moisture content not stated,,"(Maconochie, 1985)","Maconochie, J.R. 1985. Plants of the Australian arid zone - an undeveloped potential. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field) pp. 289-302. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,26.9,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,28.1,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,26.8,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-MIMOSOIDEAE,Acacia suaveolens,(Sm.) Willd.,,22.5,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-MIMOSOIDEAE,Acacia tenuissima,F.Muell.,,25,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia tenuissima,F.Muell.,,24.8,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia victoriae,Benth.,,17,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia victoriae,Benth.,,16.1,Entire seed/nut,Moisture content not stated,,"(Maconochie, 1985)","Maconochie, J.R. 1985. Plants of the Australian arid zone - an undeveloped potential. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field) pp. 289-302. George Allen and Unwin, London."
LEGUMINOSAE-MIMOSOIDEAE,Adenanthera pavonina,L.,,21.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-MIMOSOIDEAE,Adenanthera pavonina,L.,,40,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Aeschynomene indica,L.,,33.1,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,30.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
ALISMATACEAE,Alisma plantago-aquatica,L.,,13.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
COMPOSITAE,Ammobium alatum,R.Br.,,28.1,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
RUTACEAE,Boronia megastigma,Nees ex Bartl.,,20,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
MALVACEAE,Brachychiton populneus,(Schott & Endl.) R.Br.,,18.1,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
COMPOSITAE,Brachyscome iberidifolia,Benth.,,26.2,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
MONTIACEAE,Calandrinia balonensis,Lindl.,,14.6,Entire seed/nut,Moisture content not stated,,"(Brand & Cherikoff, 1985)","Brand, J.C. and Cherikoff, V. 1985. The nutritional composition of Australian Aboriginal food plants of the desert regions. In: Plants for Arid Lands (Ed. by G.E.Wickens, J.R.Goodin and D.V.Field), pp 53-68. George Allen and Unwin, London."
CAPPARACEAE,Capparis spinosa,L.,,22.4,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CAPPARACEAE,Capparis spinosa,L.,,19,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
SAPINDACEAE,Cardiospermum halicacabum,L.,,16.8,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CUNONIACEAE,Ceratopetalum gummiferum,Sm.,,8.8,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
CLEOMACEAE,Cleome gynandra,L.,,18.5,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CLEOMACEAE,Cleome viscosa,L.,,14.8,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
MALVACEAE,Corchorus capsularis,L.,,21.8,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
MALVACEAE,Corchorus olitorius,L.,,21,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria alata,Buch.-Ham. ex Roxb.,,28.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,30.2,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,33.5,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,33.1,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,29.1,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,31.9,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,28.6,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,27.9,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria incana,L.,,29.5,Entire seed/nut,Moisture content not stated,,"(Earle & Jones, 1962)","Earle, F.R. and Jones, Q. 1962. Analyses of seed samples from 113 plant families. Economic Botany, 16:221-250."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria medicaginea,Lam.,,35.2,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria quinquefolia,L.,,24.2,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria retusa,L.,,27.5,Entire seed/nut,Moisture content not stated,,"(Jones & Earle, 1966)","Jones, Q. and Earle, F.R. 1966. Chemical analyses of seeds II: oil and protein content of 759 species. Economic Botany, 20:127-155."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria retusa,L.,,24.3,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria retusa,L.,,21.6,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria verrucosa,L.,,33.3,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
LEGUMINOSAE-PAPILIONOIDEAE,Crotalaria verrucosa,L.,,25.4,Entire seed/nut,Moisture content not stated,,"(Barclay & Earle, 1974)","Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236."
CUCURBITACEAE,Cucumis melo,L.,,36,Entire seed/nut,Moisture content not stated,,"(Schippers, 2000)","Schippers, R.R. 2000. African Indigenous Vegetables: an Overview of Cultivated Species. Natural Resources Institute/ACP-EU Technical Centre for Agricultural and Rural Cooperation, Chatham, UK."
