name_original,"growth form 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=graminoid, 10=vine","dispersal mode: 1=unassisted, 2=ant, 3=vertebrate, 4=adhesion, 5=wind",seed mass (mg),lineage,site_text
Stylidium multiscapum,4,1,0.01,DICOT,Alligator River Kakadu
Drosera petiolaris,4,1,0.0128,DICOT,Alligator River Kakadu
Mitrasacme connata,4,1,0.04,DICOT,Alligator River Kakadu
Mitrasacme exserta,4,1,0.04,DICOT,Alligator River Kakadu
Blumea saxatilis,4,5,0.047,DICOT,Alligator River Kakadu
Buchnera linearis,4,1,0.05,DICOT,Alligator River Kakadu
Oldenlandia mitrasacmoides,4,1,0.07,DICOT,Alligator River Kakadu
Portulaca bicolor,4,1,0.1,DICOT,Alligator River Kakadu
Poranthera microphylla,4,1,0.11,DICOT,Alligator River Kakadu
Phyllanthus minutiflorus,4,1,0.136,DICOT,Alligator River Kakadu
Euphorbia schultzii,4,1,0.3,DICOT,Alligator River Kakadu
Borreria breviflora,4,1,0.37,DICOT,Alligator River Kakadu
Borreria exserta,4,1,0.5,DICOT,Alligator River Kakadu
Borreria leptoloba,4,1,0.5,DICOT,Alligator River Kakadu
Euphorbia vachellii,4,1,0.587,DICOT,Alligator River Kakadu
Heliotropium bracteatum,4,1,0.6,DICOT,Alligator River Kakadu
Heliotropium ventricosum,4,1,0.6,DICOT,Alligator River Kakadu
Gonocarpus leptothecus,1,1,0.6,DICOT,Alligator River Kakadu
Goodenia armstrongiana,4,1,0.676,DICOT,Alligator River Kakadu
Corchorus aestuans,4,1,0.7,DICOT,Alligator River Kakadu
Cleome tetrandra,4,1,0.9,DICOT,Alligator River Kakadu
Ficus opposita,1,3,0.9,DICOT,Alligator River Kakadu
Goodenia holtzeana,4,1,0.993,DICOT,Alligator River Kakadu
Desmodium clavitrichum,4,5,1.1,DICOT,Alligator River Kakadu
Hybanthus enneaspermus,4,1,1.1,DICOT,Alligator River Kakadu
Polygala sp.1,4,2,1.18,DICOT,Alligator River Kakadu
Minuria macrorhiza,4,5,1.2,DICOT,Alligator River Kakadu
Desmodium brownii,4,5,1.2,DICOT,Alligator River Kakadu
Indigofera trifoliata,4,1,1.2,DICOT,Alligator River Kakadu
Stackhousia intermedia,4,1,1.2,DICOT,Alligator River Kakadu
Evolvulus alsinoides,4,1,1.4,DICOT,Alligator River Kakadu
Desmodium PineCreek,4,5,1.47,DICOT,Alligator River Kakadu
Polygala sp.3,4,2,1.54,DICOT,Alligator River Kakadu
Alysicarpus glumaceus,4,1,1.595,DICOT,Alligator River Kakadu
Eucalyptus tectifica,1,1,1.9,DICOT,Alligator River Kakadu
Knoxia stricta,4,1,1.93,DICOT,Alligator River Kakadu
Indigofera linifolia,4,1,2,DICOT,Alligator River Kakadu
Tephrosia simplicifolia,4,1,2,DICOT,Alligator River Kakadu
Goodenia janamba,4,2,2.1,DICOT,Alligator River Kakadu
Indigofera saxicola,4,1,2.2,DICOT,Alligator River Kakadu
Goodenia pilosa,4,1,2.2,DICOT,Alligator River Kakadu
Sida cordifolia,4,4,2.2,DICOT,Alligator River Kakadu
Crotalaria montana,4,1,2.3,DICOT,Alligator River Kakadu
Triumfetta rhomboidea,1,4,2.3,DICOT,Alligator River Kakadu
Crotalaria medicaginea,4,1,2.6,DICOT,Alligator River Kakadu
Crotalaria brevis,4,1,2.925,DICOT,Alligator River Kakadu
Trachymene didiscoides,4,5,3,DICOT,Alligator River Kakadu
Flueggea virosa,1,3,3,DICOT,Alligator River Kakadu
Phyllanthus flagellaris,4,1,3,DICOT,Alligator River Kakadu
Tephrosia arnhemica,4,1,3.025,DICOT,Alligator River Kakadu
Polygala sp.2,4,2,3.08,DICOT,Alligator River Kakadu
Eucalyptus clavigera,1,1,3.22,DICOT,Alligator River Kakadu
Chamaecrista mimosoides,4,1,3.26,DICOT,Alligator River Kakadu
Goodenia leiosperma,4,1,3.7,DICOT,Alligator River Kakadu
Bidens bipinnata,4,4,3.9,DICOT,Alligator River Kakadu
Euphorbia muelleri,4,1,3.96,DICOT,Alligator River Kakadu
Ptilotus distans,4,5,4,DICOT,Alligator River Kakadu
Alstonia actinophylla,1,5,4,DICOT,Alligator River Kakadu
Thecanthes punicea,4,2,4.24,DICOT,Alligator River Kakadu
Flemingia parviflora,4,1,4.688,DICOT,Alligator River Kakadu
Desmodium filiforme,4,5,4.7,DICOT,Alligator River Kakadu
Tephrosia remotiflora,4,1,4.9,DICOT,Alligator River Kakadu
Glycine tomentella,4,1,4.94,DICOT,Alligator River Kakadu
Jacquemontia browniana,4,1,5,DICOT,Alligator River Kakadu
Hyptis suaveolens,4,1,5,DICOT,Alligator River Kakadu
Uraria Litchfield,4,1,5.84,DICOT,Alligator River Kakadu
Indigofera parviflora,4,1,5.9,DICOT,Alligator River Kakadu
Hibbertia cistifolia,1,2,6.1,DICOT,Alligator River Kakadu
Uraria lagopodoides,4,1,6.2,DICOT,Alligator River Kakadu
Xanthostemon paradoxus,1,1,6.2,DICOT,Alligator River Kakadu
Bonamia brevifolia,4,1,6.4,DICOT,Alligator River Kakadu
Pleurocarpaea denticulata,4,1,6.68,DICOT,Alligator River Kakadu
Eucalyptus confertiflora,1,1,6.9,DICOT,Alligator River Kakadu
Polygala orbicularis,4,2,7.68,DICOT,Alligator River Kakadu
Helicteres sp.Litchfield,4,1,8.245,DICOT,Alligator River Kakadu
Sauropus Batchelor,4,1,8.25,DICOT,Alligator River Kakadu
Crotalaria novaehollandiae,4,1,8.56,DICOT,Alligator River Kakadu
Ipomoea coptica,4,1,8.6,DICOT,Alligator River Kakadu
Eucalyptus tetrodonta,1,1,8.7,DICOT,Alligator River Kakadu
Breynia cernua,1,3,8.75,DICOT,Alligator River Kakadu
Gymnema trinerve,4,5,9.07,DICOT,Alligator River Kakadu
Rhynchosia minima,4,1,9.2,DICOT,Alligator River Kakadu
Vigna vexillata,10,1,9.24,DICOT,Alligator River Kakadu
Vigna vex.var.ang,10,1,9.3,DICOT,Alligator River Kakadu
Passiflora foetida,10,3,9.3,DICOT,Alligator River Kakadu
Kairlasennia suffruticosa,4,3,9.4,DICOT,Alligator River Kakadu
Distichostemon hispidulus,1,1,10.55,DICOT,Alligator River Kakadu
Croton arnhemicus,1,2,10.7,DICOT,Alligator River Kakadu
Eriosema chinense,4,2,10.8,DICOT,Alligator River Kakadu
Glycine hirticaulis,4,1,10.8,DICOT,Alligator River Kakadu
Xenostegia tridentata,4,1,12,DICOT,Alligator River Kakadu
