species,TRAIT: leaf size UNITS: cm2,site
Acacia huegelii,0.2215,Yule Brook Botany Reserve_15
Acacia pulchella,0.0596,Yule Brook Botany Reserve_15
Adenanthos cygnorum,0.6068,Yule Brook Botany Reserve_15
Andersonia carinata,0.0239,Yule Brook Botany Reserve_15
Banksia attenuata,3.53,Yule Brook Botany Reserve_15
Banksia menziesii (seedl.),19.53,Yule Brook Botany Reserve_15
Banksia telmatiaea,0.1852,Yule Brook Botany Reserve_15
Bossiaea eriocarpa,0.195,Yule Brook Botany Reserve_15
Calytrix flavescens,0.0121,Yule Brook Botany Reserve_15
Conostephium pendulum,0.4332,Yule Brook Botany Reserve_15
Dampiera linearis,0.6437,Yule Brook Botany Reserve_15
Dasypogon bromeliifolius,6.99,Yule Brook Botany Reserve_15
Eremaea pauciflora,0.0347,Yule Brook Botany Reserve_15
Eriostemon spicatus,0.0527,Yule Brook Botany Reserve_15
Gompholobium tomentosum,0.3218,Yule Brook Botany Reserve_15
Hibbertia hypericoides,0.1096,Yule Brook Botany Reserve_15
Hibbertia racemosa,0.3031,Yule Brook Botany Reserve_15
Hovea trisperma,1.3108,Yule Brook Botany Reserve_15
Hypocalymma angustifolium,0.1613,Yule Brook Botany Reserve_15
Jacksonia floribunda,3.574,Yule Brook Botany Reserve_15
Leptospermum ellipticum,0.2517,Yule Brook Botany Reserve_15
Leucopogon oxycedrus,0.1572,Yule Brook Botany Reserve_15
Melaleuca bracteosa,0.0657,Yule Brook Botany Reserve_15
Melaleuca seriata,0.064,Yule Brook Botany Reserve_15
Nuytsia floribunda (seedl.),0.148,Yule Brook Botany Reserve_15
Petrophile linearis,0.9894,Yule Brook Botany Reserve_15
Unknown No. 1,0.0584,Yule Brook Botany Reserve_15
Verticordia densiflora,0.0548,Yule Brook Botany Reserve_15
Verticordia lindleyi,0.0508,Yule Brook Botany Reserve_15
Xanthosia huegelii,0.7263,Yule Brook Botany Reserve_15
