site name,latitude (deg),longitude (deg),altitude (m)
MOUNT BANKS,-33.57912,150.36555,818
MOUNT WILSON,-33.54299,150.34431,936
PATONGA,-33.53835,151.2827,170
WEST HEAD,-33.58846,151.28337,119
