Species,germination_treatment,seed_germination
Dianella caerulea,Heat,33.4
Dianella caerulea,Smoke,48.8
Dianella caerulea,S + H,38
Dianella caerulea,Control_1,3.13
Dianella caerulea,Heat_2,2.2
Dianella caerulea,Smoke_3,1.87
Dianella caerulea,S + H_4,7.45
Dianella longifolia,Control,87.8
Dianella longifolia,Heat,76.5
Dianella longifolia,Smoke,82.6
Dianella longifolia,S + H,80
Dianella longifolia,Control_1,2.5
Dianella longifolia,Heat_2,2.2
Dianella longifolia,Smoke_3,2.1
Dianella longifolia,S + H_4,7.53
Dianella revoluta,Control,21.6
Dianella revoluta,Heat,29.5
Dianella revoluta,Smoke,74
Dianella revoluta,S + H,32.9
Dianella revoluta,Control_1,2.27
Dianella revoluta,Heat_2,2.33
Dianella revoluta,Smoke_3,2.43
Dianella revoluta,S + H_4,7.67
Dianella tarda,Control,19.7
Dianella tarda,Heat,39
Dianella tarda,Smoke,58.9
Dianella tarda,S + H,89.7
Dianella tarda,Control_1,2.07
Dianella tarda,Heat_2,2.33
Dianella tarda,Smoke_3,2.1
Dianella tarda,S + H_4,7.37
Dichopogon strictus,Control,93.3
Dichopogon strictus,Heat,95.9
Dichopogon strictus,Smoke,96.1
Dichopogon strictus,S + H,95.9
Dichopogon strictus,Control_1,2.33
Dichopogon strictus,Heat_2,1.5
Dichopogon strictus,Smoke_3,2.57
Dichopogon strictus,S + H_4,7.83
Dillwynia sericea,Control,6.67
Dillwynia sericea,Heat,58.7
Dillwynia sericea,Smoke,5.33
Dillwynia sericea,S + H,5.33
Dillwynia sericea,Control_1,2.42
Dillwynia sericea,Heat_2,8
Dillwynia sericea,Smoke_3,2.42
Dillwynia sericea,S + H_4,7.55
Eryngium ovinum,Control,37.6
Eryngium ovinum,Heat,36.6
Eryngium ovinum,Smoke,45
Eryngium ovinum,S + H,40.4
Eryngium ovinum,Control_1,2.78
Eryngium ovinum,Heat_2,1.2
Eryngium ovinum,Smoke_3,2.63
Eryngium ovinum,S + H_4,7.73
Glycine tabacina,Control,23.6
Glycine tabacina,Heat,42.6
Glycine tabacina,Smoke,37.3
Glycine tabacina,S + H,56.3
Glycine tabacina,Control_1,2.27
Glycine tabacina,Heat_2,8.4
Glycine tabacina,Smoke_3,2.27
Glycine tabacina,S + H_4,7.35
Gonocarpus tetragynus,Control,2.67
Gonocarpus tetragynus,Heat,NA
Gonocarpus tetragynus,Smoke,10.7
Gonocarpus tetragynus,S + H,20
Gonocarpus tetragynus,Control_1,2.5
Gonocarpus tetragynus,Heat_2,NA
Gonocarpus tetragynus,Smoke_3,2.53
Gonocarpus tetragynus,S + H_4,7.53
Hardenbergia violacea,Control,5.33
Hardenbergia violacea,Heat,73.3
