Site,Plot,site_code,original_code,taxon_code,individual_number,sample_type,Field_name,species_name,Species,Height_(mm),Diameter_(mm),Diameter_at_base_(mm),Flowering,Seeds_or_Buds,Seed_v_sprout,Sample taken,Measured,Leaf_dry_mass,Leaf_dry_mass_2,Leaf_dry_mass_3,Stem-volume,Stem dry weight (g),Stem_specific_density,Biomass_weight,Biomass_weight_2,Biomass_weight_3,Biomass_weight_4,Biomass state (mouldy/fresh),time_since_fire,leaf_scan_n_images,leaf_scan_n_leaves,leaf_scan_compound,leaf_scan_area_tot_cm2,nitrogen_sample_label,nitrogen_sample_pure_mixed,nitrogen_sample_fresh_mouldy,leaf_N_per_dry_mass
Bargo,1,BAR-1,BAR-1-ALLS-1,ALLS,1,individual,ALLS,Acacia myrtifolia,,534,2.1,5.2,n,buds,seed,y,1,0.451,,,482.9825248,0.315,6.521975099004658e-4,17.65,,,,,14_months,1,5,FALSE,31.326,,,,
Bargo,1,BAR-1,BAR-1-ALLS-2,ALLS,2,individual,ALLS,Acacia myrtifolia,,379,2.4,2.9,n,,seed,y,2,0.589,,,327.9203138,0.186,5.672109722163849e-4,8.03,,,,,14_months,1,5,FALSE,43.189,,,,
Bargo,1,BAR-1,BAR-1-ALLS-3,ALLS,3,individual,ALLS,Acacia myrtifolia,,663,2.3,4.1,n,,seed,y,3,0.513,,,876.1108571,0.501,5.718454416354932e-4,29.29,,,,Fresh,14_months,1,5,FALSE,44.315999999999995,,,,
Bargo,1,BAR-1,,ALLS,,individual,ALLS,Acacia myrtifolia,,755,2,7,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,ALLS,,individual,ALLS,Acacia myrtifolia,,636,4,4.9,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,ALLS,,individual,ALLS,Acacia myrtifolia,,765,2.9,6,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,ALLS,,individual,ALLS,Acacia myrtifolia,,796,2.5,6,n,,seed,n,6,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-ALLS,ALLS,,pooled_nitrogen_sample,,Acacia myrtifolia,,,,,,,,,,,,,,,,,,,,,14_months,,,,,9,Pure,Fresh,1.58
Bargo,1,BAR-1,BAR-1-BS-1,BS,1,individual,BS,Banksia serrata,,179,,4,n,,seed,y,1,1.763,,,353.7063602,0.238,6.728745275188863e-4,2.17,,,,,14_months,1,5,FALSE,101.305,,,,
Bargo,1,BAR-1,BAR-1-BS-2,BS,2,individual,BS,Banksia serrata,,181,,2.4,n,,seed,y,2,1.056,,,190.6801638,0.134,7.027474558945182e-4,1.55,,,,,14_months,1,5,FALSE,68.825,,,,
Bargo,1,BAR-1,BAR-1-BS-3,BS,3,individual,BS,Banksia serrata,,178,,8.1,n,,seed,y,3,2.012,,,1244.690075,0.503,4.041166633388637e-4,45.1,,,,,14_months,1,5,FALSE,102.063,,,,
Bargo,1,BAR-1,,BS,,individual,BS,Banksia serrata,,193,,6.5,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,BS,,individual,BS,Banksia serrata,,349,2.5,5,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-BS,BS,,pooled_nitrogen_sample,,Banksia serrata,,,,,,,,,,,,,,,,,,,,,14_months,,,,,16,Pure,Fresh,0.58
Bargo,1,BAR-1,BAR-1-BSNL-1,BSNL,1,individual,BSNL,BSNL-unidentified,,555,1.5,4.3,n,,seed,y,1,0.019,,,512.363873,0.288,5.621005210880666e-4,46.1,,,,,14_months,1,5,FALSE,1.246,,,,
Bargo,1,BAR-1,BAR-1-BSNL-2,BSNL,2,individual,BSNL,BSNL-unidentified,,1680,1.9,8,n,,seed,y,2,0.031,,,1124.744441,0.669,5.948017839547606e-4,35.36,,,,,14_months,1,5,FALSE,2.49,,,,
Bargo,1,BAR-1,BAR-1-BSNL-3,BSNL,3,individual,BSNL,BSNL-unidentified,,1007,2,7.1,n,,seed,y,3,0.027,,,2706.049546,1.281,4.733837936905239e-4,20.15,,,,,14_months,1,5,FALSE,1.657,,,,
Bargo,1,BAR-1,,BSNL,,individual,BSNL,BSNL-unidentified,,974,1.7,8.2,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,BSNL,,individual,BSNL,BSNL-unidentified,,2116,2.9,17,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,BSNL,,individual,BSNL,BSNL-unidentified,,1424,2.1,7.9,n,,seed,n,6,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-BSNL,BSNL,,pooled_nitrogen_sample,,BSNL-unidentified,,,,,,,,,,,,,,,,,,,,,14_months,,,,,8,Mixed,Fresh,2.49
Bargo,1,BAR-1,BAR-1-DP-1,DP,1,individual,DP,Lomandra obliqua,,104,,2.2,n,,seed,y,1,0.015,,,116.0010573,0.061,5.258572759577769e-4,0.65,,,,,14_months,1,5,FALSE,0.755,,,,
Bargo,1,BAR-1,BAR-1-DP-2,DP,2,individual,DP,Lomandra obliqua,,175,,1,n,,seed,y,2,0.023,,,295.0847801,0.152,5.15106200829773e-4,2.36,,,,,14_months,1,5,FALSE,1.105,,,,
Bargo,1,BAR-1,BAR-1-DP-3,DP,3,individual,DP,Lomandra obliqua,,149,,1.9,n,,seed,y,3,0.02,,,163.3188531,0.092,5.63315246548226e-4,0.87,,,,,14_months,1,5,FALSE,0.924,,,,
Bargo,1,BAR-1,,DP,,individual,DP,Lomandra obliqua,,94,,1,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,DP,,individual,DP,Lomandra obliqua,,93,,2.4,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-DP,DP,,pooled_nitrogen_sample,,Lomandra obliqua,,,,,,,,,,,,,,,,,,,,,14_months,,,,,7,Mixed,Fresh,1.62
Bargo,1,BAR-1,BAR-1-FSTL-1,FSTL,1,individual,FSTL,FSTL-unidentified,,315,1.9,2.9,n,,seed,y,1,0.363,,,195.9427242,0.141,7.195980385374268e-4,1.7,,,,,14_months,1,5,FALSE,18.732,,,,
Bargo,1,BAR-1,BAR-1-FSTL-2,FSTL,2,individual,FSTL,FSTL-unidentified,,300,1.8,3,n,,seed,y,2,0.259,,,241.150969,0.137,5.681088513478045e-4,1.4,,,,,14_months,1,5,FALSE,16.189,,,,
Bargo,1,BAR-1,BAR-1-FSTL,FSTL,,pooled_nitrogen_sample,,FSTL-unidentified,,,,,,,,,,,,,,,,,,,,,14_months,,,,,10,Pure,Fresh,0.99
Bargo,1,BAR-1,,Fake Mountain Devil,,individual,Fake Mountain Devil,Banksia spinulosa,,726,3.2,6,n,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Fake Mountain Devil,,individual,Fake Mountain Devil,Banksia spinulosa,,836,2.9,19,n,,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Fake Mountain Devil,,individual,Fake Mountain Devil,Banksia spinulosa,,822,2,7.5,n,,sprout,n,3,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Fake Mountain Devil,,individual,Fake Mountain Devil,Banksia spinulosa,,970,3.1,10.1,n,,sprout,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Fake Mountain Devil,,individual,Fake Mountain Devil,Banksia spinulosa,,1055,2.4,8.8,n,,sprout,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Geebung,,individual,Geebung,Persoonia levis,,553,4.9,13.2,n,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,Geebung,,individual,Geebung,Persoonia levis,,740,5.5,9,n,,sprout,n,2,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-LBL-1,LBL,1,individual,LBL,Poranthera corymbosa,,282,2.8,3.3,n,,seed,y,1,0.026,,,386.2644367,0.189,4.893020999155318e-4,0.68,,,,,14_months,1,5,FALSE,3.088,,,,
Bargo,1,BAR-1,BAR-1-LBL-2,LBL,2,individual,LBL,Poranthera corymbosa,,296,3.4,3.7,n,,seed,y,2,0.032,,,,0.233,,0.86,,,,,14_months,1,5,FALSE,3.093,,,,
Bargo,1,BAR-1,BAR-1-LBL-3,LBL,3,individual,LBL,Poranthera corymbosa,,260,3.9,4.5,n,,seed,y,3,0.043,,,1014.239214,0.327,3.224091471580589e-4,1.55,,,,,14_months,1,5,FALSE,5.503,,,,
Bargo,1,BAR-1,,LBL,,individual,LBL,Poranthera corymbosa,,399,3.9,4.9,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,LBL,,individual,LBL,Poranthera corymbosa,,299,2.9,4.5,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-LBL,LBL,,pooled_nitrogen_sample,,Poranthera corymbosa,,,,,,,,,,,,,,,,,,,,,14_months,,,,,12,Mixed,Fresh,1.33
Bargo,1,BAR-1,,Leptospermum,,individual,Leptospermum,Leptospermum,,463,2,3.8,n,,sprout,n,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-MAML-1,MAML,1,individual,MAML,Acacia terminalis,,647,2.9,8.9,n,,seed,y,1,1.621,1.741,1.411,1289.947859,0.621,4.8141480732516955e-4,45.9,,,,Fresh,14_months,3,3,TRUE,315.98,,,,
Bargo,1,BAR-1,BAR-1-MAML-2,MAML,2,individual,MAML,Acacia terminalis,,1342,2.6,9.5,n,,seed,y,2,0.499,0.798,0.477,1189.195117,0.804,6.760875389635493e-4,53.02,,,,,14_months,3,3,TRUE,123.99600000000001,,,,
Bargo,1,BAR-1,BAR-1-MAML-3,MAML,3,individual,MAML,Acacia terminalis,,1089,3.4,7.4,n,,seed,y,3,0.761,0.94,0.82,,0.582,,33.22,,,,Fresh,14_months,3,3,TRUE,200.911,,,,
Bargo,1,BAR-1,,MAML,,individual,MAML,Acacia terminalis,,920,2.4,10.5,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,MAML,,individual,MAML,Acacia terminalis,,817,3,7.8,,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-MAML,MAML,,pooled_nitrogen_sample,,Acacia terminalis,,,,,,,,,,,,,,,,,,,,,14_months,,,,,11,Pure,Fresh,1.35
Bargo,1,BAR-1,BAR-1-OLOB-1,OLOB,1,individual,OLOB,Pimelea linifolia,,524,2.8,3.5,n,,seed,y,1,0.029,,,310.3754395,0.179,5.767208909582551e-4,1.95,,,,,14_months,1,5,FALSE,3.6,,,,
Bargo,1,BAR-1,BAR-1-OLOB-2,OLOB,2,individual,OLOB,Pimelea linifolia,,751,3.1,7.4,n,,seed,y,2,0.018,,,526.1750997,0.375,7.126905097063832e-4,22.02,,,,,14_months,1,5,FALSE,1.166,,,,
Bargo,1,BAR-1,BAR-1-OLOB-3,OLOB,3,individual,OLOB,Pimelea linifolia,,489,2,2.5,n,,seed,y,3,0.024,,,265.5117184,0.121,4.5572376514738415e-4,0.99,,,,,14_months,1,5,FALSE,3.504,,,,
Bargo,1,BAR-1,,OLOB,,individual,OLOB,Pimelea linifolia,,489,1.4,3,n,,seed,n,4,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,,OLOB,,individual,OLOB,Pimelea linifolia,,564,1.1,3,n,,seed,n,5,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-OLOB,OLOB,,pooled_nitrogen_sample,,Pimelea linifolia,,,,,,,,,,,,,,,,,,,,,14_months,,,,,13,Mixed,Fresh,1.88
Bargo,1,BAR-1,BAR-1-RSA-1,RSA,1,individual,RSA,Acacia binervata,,354,1.9,2.4,n,,seed,y,1,,,,,,,,,,,,14_months,,,,,,,,
Bargo,1,BAR-1,BAR-1-SWL-1,SWL,1,individual,SWL,SWL-unidentified,,205,,1.7,n,,seed,y,1,0.124,,,91.89180328,0.058,6.311770792360056e-4,0.39,,,,,14_months,1,5,FALSE,12.749,,,,
