spectrum.label,cell.type,P,Ca,species,sample,biological.rep,site.id,GPS coords,latitude (deg),longitude (deg)
eu 1,EP,0,24.9500998,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 2,EP,0,7.48502994,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 3,EP,3.228931224,17.46506986,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 4,EP,0,22.45508982,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 5,EP,0,22.45508982,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
eu 6,EP,6.457862448,22.45508982,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 1,HY,0,9.98003992,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 2,HY,0,0,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 3,HY,0,0,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 4,HY,6.457862448,17.46506986,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 5,HY,0,7.48502994,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 6,HY,0,0,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
hyp 7,HY,0,2.49500998,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 1,PM,12.9157249,14.97005988,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 2,PM,12.9157249,22.45508982,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 3,PM,6.457862448,14.97005988,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 4,PM,9.686793671,19.96007984,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 5,PM,16.14465612,14.97005988,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 6,PM,12.9157249,14.97005988,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
pm 7,PM,3.228931224,24.9500998,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 1,SC,3.228931224,22.45508982,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 2,SC,3.228931224,24.9500998,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
sc 3,SC,3.228931224,22.45508982,Banksia attenuata,BA1_01_HM,1,P.Line,S30¡ 09.474' E115¡ 06.958',-30.1579,115.1159667
