sample code,species,replicate,site.id,GPS co-ords,K_%,P_mg.kg,Ca_%,Mg_%,Na_%,S_%,Cu_mg.kg,Fe_mg.kg,Mn_mg.kg,Zn_mg.kg,Al_mg.kg,latitude (deg),longitude (deg)
BA.1,Banksia attenuata,1,P.Line,S30° 09.474' E115° 06.958',0.21,258,0.69,0.16,0.14,0.11,2.3,99,100,6,210,-30.1579,115.1159667
BA.2,Banksia attenuata,2,P.Line,S30° 09.474' E115° 06.958',0.18,324,0.67,0.17,0.1,0.12,1.4,100,130,5.4,220,-30.1579,115.1159667
BA.3,Banksia attenuata,3,P.Line,S30° 09.474' E115° 06.958',0.28,329,0.63,0.14,0.15,0.12,1.7,97,150,6.4,210,-30.1579,115.1159667
BM.1,Banksia menziesii,1,P.Line,S30° 09.474' E115° 06.958',0.2,318,0.83,0.29,0.12,0.17,2.6,100,230,5.1,260,-30.1579,115.1159667
BM.2,Banksia menziesii,2,P.Line,S30° 09.474' E115° 06.958',0.2,339,0.66,0.2,0.1,0.19,1.5,76,150,4.7,160,-30.1579,115.1159667
BM.3,Banksia menziesii,3,P.Line,S30° 09.474' E115° 06.958',0.2,257,0.52,0.17,0.13,0.17,3.8,88,110,4.9,200,-30.1579,115.1159667
BP.A.1,Banksia prionotes,1,N.Lesueur,S30° 08.212' E115° 06.356',0.36,354,0.35,0.13,0.3,0.13,3.4,68,120,3.5,130,-30.1368667,115.1059333
BP.A.2,Banksia prionotes,2,N.Lesueur,S30° 08.212' E115° 06.356',0.27,372,0.41,0.12,0.19,0.14,2.5,110,140,3,150,-30.1368667,115.1059333
BP.A.3,Banksia prionotes,3,N.Lesueur,S30° 08.212' E115° 06.356',0.32,489,0.6,0.25,0.11,0.16,2.1,84,250,3.1,550,-30.1368667,115.1059333
HF.1,Hakea flabellifolia,1,P.Line,S30° 09.474' E115° 06.958',0.24,220,0.39,0.13,0.13,0.12,1,25,5.7,2.7,25,-30.1579,115.1159667
HF.2,Hakea flabellifolia,2,P.Line,S30° 09.474' E115° 06.958',0.56,240,0.42,0.09,0.27,0.16,0.8,9,2.4,<1.0,77,-30.1579,115.1159667
HF.3,Hakea flabellifolia,3,P.Line,S30° 09.474' E115° 06.958',0.38,237,0.36,0.15,0.35,0.14,0.8,24,6.3,<1.0,<20,-30.1579,115.1159667
HI.1,Hakea incrassata,1,P.Line,S30° 09.474' E115° 06.958',0.52,335,0.22,0.08,0.2,0.06,1.1,16,4.5,1.8,<20,-30.1579,115.1159667
HI.2,Hakea incrassata,2,P.Line,S30° 09.474' E115° 06.958',0.55,316,0.12,0.05,0.23,0.06,0.9,14,4.4,1.9,<20,-30.1579,115.1159667
HI.3,Hakea incrassata,3,P.Line,S30° 09.474' E115° 06.958',0.28,271,0.67,0.12,0.24,0.19,0.6,100,8.4,3.4,36,-30.1579,115.1159667
HP.A.1,Hakea prostrata,1,P.Line,S30° 09.474' E115° 06.958',0.41,400,0.2,0.11,0.27,0.13,0.6,17,33,3.7,<20,-30.1579,115.1159667
HP.A.2,Hakea prostrata,2,P.Line,S30° 09.474' E115° 06.958',0.42,313,0.36,0.09,0.14,0.13,1,22,28,6.9,<20,-30.1579,115.1159667
HP.A.3,Hakea prostrata,3,P.Line,S30° 09.474' E115° 06.958',0.38,318,0.22,0.09,0.25,0.11,6.2,18,38,5.6,<20,-30.1579,115.1159667
PC.1,Persoonia comata,1,M.Lesueur,S30° 09.986' E115° 12.060',0.2,319,0.33,0.06,0.1,0.07,1.2,59,28,5,95,-30.1664333,115.201
PC.2,Persoonia comata,2,M.Lesueur,S30° 09.986' E115° 12.060',0.13,321,0.42,0.23,0.07,0.08,0.2,67,12,10,130,-30.1664333,115.201
PC.3,Persoonia comata,3,M.Lesueur,S30° 09.986' E115° 12.060',0.21,232,0.6,0.17,0.13,0.08,1,43,13,5.9,67,-30.1664333,115.201
PM.1,Petrophile macrostachya,1,P.Line,S30° 09.474' E115° 06.958',0.23,273,0.53,0.14,0.16,0.09,1.2,41,4.2,2.5,49,-30.1579,115.1159667
PM.2,Petrophile macrostachya,2,P.Line,S30° 09.474' E115° 06.958',0.39,387,0.73,0.11,0.02,0.08,1,32,6.6,1.4,760,-30.1579,115.1159667
PM.3,Petrophile macrostachya,3,P.Line,S30° 09.474' E115° 06.958',0.28,390,0.54,0.07,0.06,0.09,0.8,37,4.2,2.9,57,-30.1579,115.1159667
