dataset_id,find,reason,replace,taxonomic_resolution
Crowley_2007,Oldenlandia sp.,match_01. Rewording taxon with ending with `sp.` to indicate a genus-level alignment with `APC accepted` name (2023-06-18),Oldenlandia sp. [Crowley_2007],genus
Crowley_2007,Typhonium sp.,match_01. Rewording taxon with ending with `sp.` to indicate a genus-level alignment with `APC accepted` name (2023-06-18),Typhonium sp. [Crowley_2007],genus
Crowley_2007,Ficus sp. carpentariensis (W.B.Spencer 01/Jul/11),match_04. Rewording taxon where `/` indicates uncertain species identification to align with `APC accepted` genus (2023-06-18),Ficus sp. [Ficus sp. carpentariensis (W.B.Spencer 01/Jul/11); Crowley_2007],genus
Crowley_2007,Corymbia confertiflora*,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Corymbia confertiflora,Species
Crowley_2007,Eremophila gilesii var. gilesii,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Eremophila gilesii subsp. gilesii,Subspecies
Crowley_2007,Lomandra leucocephala var. robusta,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Lomandra leucocephala subsp. robusta,Subspecies
Crowley_2007,Psydrax attenuata var. myrmecophila,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Psydrax attenuata f. myrmecophila,Forma
Crowley_2007,Spermacoce breviflora*,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Spermacoce breviflora,Species
Crowley_2007,Tarenna dallachiana var. expandens,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Tarenna dallachiana subsp. expandens,Subspecies
Crowley_2007,Urochloa gilesii subsp. gilesii,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Urochloa gilesii var. gilesii,Varietas
Crowley_2007,Acacia aneura var. holey trunk (P.K.Latz 12458),match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia aneura var. Holey Trunk (P.K.Latz 12458),Varietas
Crowley_2007,Acacia coriacea subsp. sericophylla,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia coriacea subsp. sericophylla,Subspecies
Crowley_2007,Acacia holosericea var. glabrata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia holosericea var. glabrata,Varietas
Crowley_2007,Acacia pallidifolia,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia pallidifolia,Species
Crowley_2007,Acacia sutherlandii,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia sutherlandii,Species
Crowley_2007,Amaranthus pallidiflorus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Amaranthus pallidiflorus,Species
Crowley_2007,Amyema bifurcata var. bifurcata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Amyema bifurcata var. bifurcata,Varietas
Crowley_2007,Beyeria bickertonensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Beyeria bickertonensis,Species
Crowley_2007,Buglossoides arvense,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Buglossoides arvense,Species
Crowley_2007,Cassytha aurea var. candida,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Cassytha aurea var. candida,Varietas
Crowley_2007,Cephalomanes obscurum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Cephalomanes obscurum,Species
Crowley_2007,Cucumis melo subsp. melo,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Cucumis melo var. melo,Varietas
Crowley_2007,Cyperus javanicus subsp. armstrongii,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Cyperus javanicus subsp. armstrongii,Subspecies
Crowley_2007,Desmodium pycnotrichum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Desmodium pycnotrichum,Species
Crowley_2007,Desmodium velutinum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Desmodium velutinum,Species
Crowley_2007,Dicrastylis exsuccosa subsp. exsuccosa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Dicrastylis exsuccosa subsp. exsuccosa,Subspecies
Crowley_2007,Diospyros cordifolia,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Diospyros cordifolia,Species
Crowley_2007,Endospermum medullosum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Endospermum medullosum,Species
Crowley_2007,Eremophila platythamnos subsp. A80384 Mereeni,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Eremophila platythamnos subsp. A80384 Mereeni,Subspecies
Crowley_2007,Eucalyptus eucentrica,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Eucalyptus eucentrica,Species
Crowley_2007,Eucalyptus microtheca var. microtheca,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Eucalyptus microtheca var. microtheca,Varietas
Crowley_2007,Euphorbia drummondii subsp. drummondii,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Euphorbia drummondii var. drummondii,Varietas
Crowley_2007,Fimbristylis composita,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Fimbristylis composita,Species
Crowley_2007,Fimbristylis littoralis var. littoralis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Fimbristylis littoralis var. littoralis,Varietas
Crowley_2007,Glycosmis sapindoides,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Glycosmis sapindoides,Species
Crowley_2007,Gnaphalium diamantinensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Gnaphalium diamantinensis,Species
Crowley_2007,Helicteres dentata var. flagellaris,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Helicteres dentata var. flagellaris,Varietas
Crowley_2007,Ipomoea incisa,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Ipomoea incisa,Species
Crowley_2007,Jasminum aemulum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Jasminum aemulum,Species
Crowley_2007,Leea indica,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Leea indica,Species
Crowley_2007,Luisia teretifolia,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Luisia teretifolia,Species
Crowley_2007,Murraya paniculata var. ovatifoliolata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Murraya paniculata var. ovatifoliolata,Varietas
Crowley_2007,Nervilia plicata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Nervilia plicata,Species
Crowley_2007,Phaius terrestre,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Phaius terrestre,Species
Crowley_2007,Phyllanthus hebecarpus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Phyllanthus hebecarpus,Species
Crowley_2007,Polycarpaea longiflora var. longiflora,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Polycarpaea longiflora var. longiflora,Varietas
Crowley_2007,Polygala arvensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Polygala arvensis,Species
Crowley_2007,Polygala stenoclada var. stenosepala,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Polygala stenoclada var. stenosepala,Varietas
Crowley_2007,Sauropus glaucus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Sauropus glaucus,Species
Crowley_2007,Senecio cunninghamii var. serratus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Senecio cunninghamii var. serratus,Varietas
Crowley_2007,Senna timorensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Senna timorensis,Species
