sort,noOfSpp,Intro,Nat,End,Status,aSpecies,SFCode,SFamily,FCode,Family,Taxon,habit,lifespan,sex type,fruit,habit_conserved,lifespan_conserved,sex_type_conserved,fruit_conserved,category
1,3,2,1,0,1,1,1,Acanthaceae,1,Acanthaceae,Acanthus,2,2,1,3,,,,,all_traits_conserved
2,1,1,0,0,1,1,1,Acanthaceae,1,Acanthaceae,Andrographis paniculata Nees,1,1,1,3,,,,,introduced
3,2,0,2,2,1,1,1,Acanthaceae,1,Acanthaceae,Asystasia,1,2,1,3,,yes,yes,yes,genus_not_conserved
4,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Asystasia,2,2,1,3,,yes,yes,yes,genus_not_conserved
5,1,1,0,0,1,1,1,Acanthaceae,1,Acanthaceae,Barleria,1,2,1,3,,,,,introduced
6,2,2,0,0,1,1,1,Acanthaceae,1,Acanthaceae,Barleria,2,2,1,3,,,,,introduced
7,6,0,6,9999,1,1,1,Acanthaceae,1,Acanthaceae,Brunoniella,1,2,1,3,,,,,all_traits_conserved
8,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Calophanoides,2,2,1,3,,,,,all_traits_conserved
9,2,0,2,2,1,1,1,Acanthaceae,1,Acanthaceae,Dicladanthera,1,2,1,3,,,,,all_traits_conserved
10,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Dicliptera,1,1,1,3,,,yes,yes,genus_not_conserved
11,2,0,2,2,1,1,1,Acanthaceae,1,Acanthaceae,Dicliptera,1,2,1,3,,,yes,yes,genus_not_conserved
12,2,0,2,9999,1,1,1,Acanthaceae,1,Acanthaceae,Dicliptera,1,2,1,3,,,yes,yes,genus_not_conserved
13,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Dicliptera,2,2,1,3,,,yes,yes,genus_not_conserved
14,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Dipteracanthus,2,2,1,3,,yes,yes,yes,genus_not_conserved
15,1,0,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Dipteracanthus,1,2,1,3,,yes,yes,yes,genus_not_conserved
16,1,0,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Ebermaiera,1,2,1,3,,,,,all_traits_conserved
17,4,0,4,9999,1,1,1,Acanthaceae,1,Acanthaceae,Graptophyllum,2,2,1,3,,,,,all_traits_conserved
18,1,0,1,1,22,1,1,Acanthaceae,1,Acanthaceae,Graptophyllum reticulatum ,2,2,1,3,,,,,complete_species_name
19,2,0,2,9999,1,1,1,Acanthaceae,1,Acanthaceae,Hygrophila,1,2,1,3,,,,,all_traits_conserved
20,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Hypoestes,2,2,1,3,,yes,yes,yes,genus_not_conserved
21,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Hypoestes,1,2,1,3,,yes,yes,yes,genus_not_conserved
22,1,0,1,1,22,1,1,Acanthaceae,1,Acanthaceae,Isoglossa eranthemoides ,1,2,1,3,,,,,complete_species_name
23,1,0,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Nelsonia,1,2,1,3,,,,,all_traits_conserved
24,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Peristrophe,1,2,1,3,,,,,all_traits_conserved
25,1,0,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Pseuderanthemum,1,2,1,3,,yes,yes,yes,genus_not_conserved
26,1,0,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Pseuderanthemum,2,2,1,3,,yes,yes,yes,genus_not_conserved
27,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Rhaphidospora,2,2,1,3,,yes,yes,yes,genus_not_conserved
28,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Rhaphidospora,1,2,1,3,,yes,yes,yes,genus_not_conserved
29,2,0,2,9999,1,1,1,Acanthaceae,1,Acanthaceae,Rostellularia,1,2,1,3,,,,,all_traits_conserved
30,2,0,2,9999,1,1,1,Acanthaceae,1,Acanthaceae,Ruellia,1,2,1,3,,,,,all_traits_conserved
31,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Sarojusticia,2,2,1,3,,,,,all_traits_conserved
32,1,0,1,1,1,1,1,Acanthaceae,1,Acanthaceae,Staurogyne,1,2,1,3,,,,,all_traits_conserved
33,1,1,0,0,1,1,1,Acanthaceae,1,Acanthaceae,Stephanophysum,2,2,1,3,,,,,introduced
34,4,3,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Thunbergia,5,2,1,3,,,,,all_traits_conserved
35,1,0,1,9999,1,1,1,Acanthaceae,1,Acanthaceae,Xerothamnella,2,2,1,3,,,,,all_traits_conserved
36,1,0,1,1,22,1,1,Acanthaceae,1,Acanthaceae,Xerothamnella herbacea ,1,2,1,3,,,,,complete_species_name
37,1,0,1,0,1,1,2,Actinidiaceae,3,Actinidaceae,Saurauia andreana ,3,2,1,11,,,,,complete_species_name
38,3,3,0,0,1,1,3,Agavaceae,4,Agavaceae,Agave,2,2,1,3,,,,,introduced
39,2,2,0,0,1,1,3,Agavaceae,4,Agavaceae,Furcraea,2,2,1,3,,,,,introduced
40,1,1,0,0,1,1,3,Agavaceae,4,Agavaceae,Phormium,1,2,1,3,,,,,introduced
41,1,0,1,9999,1,1,3,Agavaceae,4,Agavaceae,Pleomele angustifolia (Medik.) N. E. Br,2,2,1,2,,,,,complete_species_name
42,1,1,0,0,1,1,3,Agavaceae,4,Agavaceae,Sanserviera,2,2,1,2,,,,,introduced
43,1,1,0,0,1,1,3,Agavaceae,4,Agavaceae,Yucca,2,2,1,3,,,,,introduced
44,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Aptenia spp,2,2,1,3,,,,,introduced
45,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Carpanthea,1,1,1,3,,,,,introduced
46,6,2,4,9999,1,1,4,Aizoaceae,5,Aizoaceae,Carpobrotus spp,1,2,1,11,,,,,all_traits_conserved
47,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Cleretum papulosum (L.f.) L. Bolus ,8,5,13,29,,,,,introduced
48,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Conicosia,1,2,1,3,,,,,introduced
49,1,0,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Disphyma,2,2,1,3,,,,,all_traits_conserved
50,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Drosanthemum,1,2,1,3,,,,,introduced
51,2,2,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Galenia ,1,2,1,3,,,,,introduced
52,1,0,1,9999,1,1,4,Aizoaceae,5,Aizoaceae,Gunniopsis spp,1,2,1,3,,,yes,yes,genus_not_conserved
53,9,0,9,9999,1,1,4,Aizoaceae,5,Aizoaceae,Gunniopsis spp,1,1,1,3,,,yes,yes,genus_not_conserved
54,4,0,4,9999,1,1,4,Aizoaceae,5,Aizoaceae,Gunniopsis spp,2,2,1,3,,,yes,yes,genus_not_conserved
55,3,3,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Lampranthus,2,2,1,3,,,,,introduced
56,3,3,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Mesembryanthemum,2,1,1,3,,,,,introduced
57,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Micropterum,1,1,1,3,,,,,introduced
58,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Psilocaulon,2,2,1,3,,,,,introduced
59,1,1,0,0,1,1,4,Aizoaceae,5,Aizoaceae,Ruschia,2,2,1,3,,,,,introduced
60,2,0,2,9999,1,1,4,Aizoaceae,5,Aizoaceae,Sarcozona,2,2,1,11,,,,,all_traits_conserved
