genus_old,genus_new,taxon_name,closest_names,reason,keep,dataset_id
Hymenochaeta,Actinoscirpus,Hymenochaeta sp,Actinoscirpus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Ptilanthelium,Schoenus,Ptilanthelium sp,Schoenus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Uncinia,Carex,Uncinia sp,Carex sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pachynema,Hibbertia,Pachynema sp,Hibbertia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Agapetes,Paphia,Agapetes sp,Paphia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Pernettya,Gaultheria,Pernettya sp,Gaultheria sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Rupicola,Epacris,Rupicola sp,Epacris sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Austrobuxus.,Longetia,Austrobuxus. sp,Longetia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Omalanthus,Homalanthus,Omalanthus sp,Homalanthus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Sebastiania,Microstachys,Sebastiania sp,Microstachys sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Dicerma,Aphyllodium,Dicerma sp,Aphyllodium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Lysiphyllum,Bauhinia,Lysiphyllum sp,Bauhinia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Paratephrosia,Tephrosia,Paratephrosia sp,Tephrosia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Racosperma,Acacia,Racosperma sp,Acacia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Centuarium,Centaurium,Centuarium sp,Centaurium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Chionogentias,Gentianella,Chionogentias sp,Gentianella sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Meziella,Myriophyllum,Meziella sp,Myriophyllum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Hydatella,Nymphaeales,Hydatella sp,Nymphaeales sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Maidenia,Vallisneria,Maidenia sp,Vallisneria sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Ceratanthus,Platostoma,Ceratanthus sp,Platostoma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Coleus,Plectranthus,Coleus sp,Plectranthus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Dysophylla,Pogostemon,Dysophylla sp,Pogostemon sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Eichlerago,Prostanthera,Eichlerago sp,Prostanthera sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
Wrixonia,Prostanthera,Wrixonia sp,Prostanthera sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-39)",1,Sjostrom_2006
