genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use
Acanthus,Acanthus,2,2,1,3
Asystasia,Asystasia,NA,2,1,3
Brunoniella,Brunoniella,1,2,1,3
Harnieria,Calophanoides,2,2,1,3
Dicladanthera,Dicladanthera,1,2,1,3
Dicliptera,Dicliptera,NA,NA,1,3
Dipteracanthus,Dipteracanthus,NA,2,1,3
Staurogyne,Ebermaiera,1,2,1,3
Graptophyllum,Graptophyllum,2,2,1,3
Hygrophila,Hygrophila,1,2,1,3
Hypoestes,Hypoestes,NA,2,1,3
Nelsonia,Nelsonia,1,2,1,3
Peristrophe,Peristrophe,1,2,1,3
Pseuderanthemum,Pseuderanthemum,NA,2,1,3
Rhaphidospora,Rhaphidospora,NA,2,1,3
Rostellularia,Rostellularia,1,2,1,3
Ruellia,Ruellia,1,2,1,3
Harnieria,Sarojusticia,2,2,1,3
Staurogyne,Staurogyne,1,2,1,3
Thunbergia,Thunbergia,5,2,1,3
Xerothamnella,Xerothamnella,2,2,1,3
Carpobrotus,Carpobrotus,1,2,1,11
Disphyma,Disphyma,2,2,1,3
Gunniopsis,Gunniopsis,NA,NA,1,3
Sarcozona,Sarcozona,2,2,1,11
Sesuvium,Sesuvium,1,2,1,3
Tetragonia,Tetragonia,1,NA,1,NA
Trianthema,Trianthema,1,1,1,3
Zaleya,Zaleya,1,1,1,3
Akania,Akania,3,2,1,3
Caldesia,Caldesia,1,2,1,1
Damasonium,Damasonium,1,1,1,12
Crispiloba,Crispiloba,2,2,1,2
Wittsteinia,Wittsteinia,2,2,1,2
Achyranthes,Achyranthes,1,2,1,26
Alternanthera,Alternanthera,1,NA,1,NA
Amaranthus,Amaranthus,1,NA,7,26
Atriplex,Atriplex,NA,NA,NA,17
Chenopodium,Chenopodium,NA,NA,NA,17
Cyathula,Cyathula,1,2,3,26
Deeringia,Deeringia,4,2,NA,2
Didymanthus,Didymanthus,2,2,1,16
Dissocarpus,Dissocarpus,2,2,1,16
Dysphania,Dysphania,1,NA,NA,17
Einadia,Einadia,NA,NA,1,17
Enchylaena,Enchylaena,2,2,1,2
Eremophea,Eremophea,2,2,1,16
Eriochiton,Eriochiton,2,2,1,17
Gomphrena,Gomphrena,1,NA,1,26
Tecticornia,Halosarcia,2,2,1,16
Hemichroa,Hemichroa,2,2,1,16
Maireana,Maireana,NA,2,NA,17
Malacocera,Malacocera,NA,NA,1,16
Neobassia,Neobassia,2,2,1,16
Nyssanthes,Nyssanthes,1,1,1,26
Osteocarpum,Osteocarpum,1,2,1,16
Tecticornia,Pachycornia,2,2,2,16
Rhagodia,Rhagodia,2,2,8,17
Roycea,Roycea,2,2,NA,2
Sarcocornia,Sarcocornia,2,2,1,16
Scleroblitum,Scleroblitum,1,1,3,17
Sclerolaena,Sclerochlamys,2,2,1,16
Sclerolaena,Sclerolaena,NA,NA,NA,16
Tecticornia,Sclerostegia,2,2,2,16
Sclerolaena,Stelligera,2,2,1,16
Suaeda,Suaeda,2,2,1,16
Tecticornia,Tecticornia,1,NA,1,16
Tecticornia,Tegicornia,1,2,8,16
Threlkeldia,Threlkeldia,2,2,1,16
Blepharocarya,Blepharocarya,3,2,8,6
Rhodosphaera,Rhodosphaera,3,2,8,6
Meiogyne,Ancana,3,2,1,2
Desmos,Desmos.,8,2,13,2
Haplostichanthus,Haplostichanthus.,8,2,1,2
Uvaria,Rauwenhoffia,4,2,1,2
Aciphylla,Aciphylla,NA,2,8,15
Actinotus,Actinotus,NA,NA,NA,15
Apium,Apium,1,NA,1,15
Centella,Centella,1,2,2,15
Chlaenosciadium,Chlaenosciadium,1,2,1,15
Daucus,Daucus,1,1,1,15
Dichosciadium,Dichosciadium,1,2,1,15
Diplaspis,Diplaspis,1,2,1,15
Eryngium,Eryngium,1,2,1,15
Gingidia,Gingidia,1,2,7,15
Homalosciadium,Homalosciadium,1,1,1,15
Lilaeopsis,Lilaeopsis,1,2,1,15
Neosciadium,Neosciadium,1,1,1,15
Oenanthe,Oenanthe,1,2,2,15
Oreomyrrhis,Oreomyrrhis,1,2,1,15
Oschatzia,Oschatzia,1,1,1,15
Pentapeltis,Pentapeltis,1,2,1,15
Platysace,Platysace,NA,2,1,15
Azorella,Schizeilema,1,2,1,15
Schoenolaena,Schoenolaena,1,2,1,15
Trachymene,Uldinia,1,1,1,15
Xanthosia,Xanthosia,NA,2,1,15
Alstonia,Alstonia,3,2,1,12
Alyxia,Alyxia,NA,2,1,6
Brachystelma,Brachystelma,1,2,1,12
Carissa,Carissa,2,2,1,2
Cerbera,Cerbera,2,2,1,6
Ceropegia,Ceropegia,1,2,1,12
Phyllanthera,Cryptolepis,4,2,1,12
Cryptostegia,Cryptostegia,4,2,1,12
Cynanchum,Cynanchum,NA,2,1,12
Dischidia,Dischidia,5,2,1,12
Finlaysonia,Finlaysonia,4,2,1,12
Gunnessia,Gunnessia,4,2,1,12
Gymnanthera,Gymnanthera,NA,2,1,12
Heterostemma,Heterostemma,4,2,1,12
Hoya,Hoya,4,2,1,12
Ichnocarpus,Ichnocarpus,4,2,1,12
Marsdenia,Marsdenia,NA,2,1,12
Melodinus,Melodinus,4,2,1,2
Neisosperma,Neisosperma,3,2,1,6
Ochrosia,Ochrosia,3,2,1,6
Parsonsia,Parsonsia,4,2,1,3
Rhyncharrhena,Rhyncharrhena,4,2,1,12
Sarcolobus,Sarcolobus,4,2,1,12
Cynanchum,Sarcostemma,NA,2,1,12
Secamone,Secamone,4,2,1,12
Tylophora,Tylophora,4,2,1,12
Wrightia,Wrightia,3,2,1,12
Ilex,Ilex,3,2,8,6
Alocasia,Alocasia,1,2,1,2
Amorphophallus,Amorphophallus,1,2,7,2
Lemna,Lemna,1,2,7,26
Pothos,Pothos,1,2,1,2
Remusatia,Remusatia,1,2,7,2
Rhaphidophora,Rhaphidophora,4,2,1,2
Scindapsus,Scindapsus,4,2,1,2
Spirodela,Spirodela,1,2,7,26
Typhonium,Typhonium,1,2,1,2
Wolffia,Wolffia,1,2,7,26
Astrotricha,Astrotricha,2,2,1,10
Cephalaralia,Cephalaralia,4,2,1,6
Mackinlaya,Mackinlaya,2,2,NA,6
Motherwellia,Motherwellia,4,2,1,6
Polyscias,Polyscias,3,2,NA,6
Pseudopanax,Pseudopanax,2,2,1,6
Schefflera,Schefflera,4,2,1,6
Archontophoenix,Archontophoenix,3,2,7,6
Arenga,Arenga,3,2,7,2
Linospadix,Bacularia,3,2,7,6
Calamus,Calamus,4,2,8,6
Carpentaria,Carpentaria,3,2,7,6
Caryota,Caryota,3,2,7,6
Corypha,Corypha,3,2,1,6
Hydriastele,Gronophyllum,3,2,7,6
Hydriastele,Gulubia,3,2,7,6
Howea,Howea,3,2,7,6
Hydriastele,Hydriastele,3,2,7,6
Laccospadix,Laccospadix,3,2,7,6
Lepidorrhachis,Lepidorrhachis,3,2,7,6
Licuala,Licuala,3,2,1,6
Linospadix,Linospadix,2,2,7,6
Livistona,Livistona,3,2,1,6
Normanbya,Normanbya,3,2,7,6
Nypa,Nypa,3,2,7,6
Oraniopsis,Oraniopsis,3,2,8,6
Ptychosperma,Ptychosperma,3,2,7,6
Wodyetia,Wodyetia,3,2,7,6
Aristolochia,Aristolochia,4,2,1,3
Aristolochia,Pararistolochia,4,2,1,3
Abrotanella,Abrotanella,1,2,4,1
Achnophora,Achnophora,1,2,1,1
Acomis,Acomis,NA,NA,1,1
Actinobole,Actinobole,1,1,1,1
Actites,Actites,1,2,1,1
Adenostemma,Adenostemma,1,1,1,1
Allopterigeron,Allopterigeron,1,1,3,1
Ammobium,Ammobium,1,2,1,1
Anemocarpa,Anemocarpa,1,2,1,1
Angianthus,Angianthus,NA,NA,1,1
Apalochlamys,Apalochlamys,1,1,1,1
Argentipallium,Argentipallium,1,2,1,1
Argyroglottis,Argyroglottis,2,2,1,1
Arrhenechthites,Arrhenechthites,1,2,3,1
Asteridea,Asteridea,1,1,3,1
Basedowia,Basedowia,1,1,3,1
Bedfordia,Bedfordia,3,2,1,1
Bellida,Bellida,1,1,1,1
Blainvillea,Blainvillea,2,2,3,1
Blennospora,Blennospora,1,1,1,1
Blumea,Blumea,NA,NA,3,1
Centropappus,Brachyglottis,3,2,1,1
Brachyscome,Brachyscome,NA,NA,3,1
Xerochrysum,Bracteantha,1,NA,3,1
Calocephalus,Calocephalus,1,NA,1,1
Calomeria,Calomeria,1,2,1,1
Calotis,Calotis,NA,NA,3,1
Camptacra,Camptacra,1,2,3,1
Cassinia,Cassinia,2,2,1,1
Celmisia,Celmisia,1,2,3,1
Centipeda,Centipeda,1,NA,1,1
Centratherum,Centratherum,1,1,1,1
Cephalipterum,Cephalipterum,1,1,1,1
Cephalosorus,Cephalosorus,1,1,1,1
Ceratogyne,Ceratogyne,1,1,1,1
Chondropyxis,Chondropyxis,1,1,3,1
Chrysocephalum,Chrysocephalum,NA,2,1,1
Pentalepis,Chrysogonum,1,NA,7,1
Chthonocephalus,Chthonocephalus,1,1,1,1
Cotula,Cotula,1,NA,3,1
Craspedia,Craspedia,1,2,1,1
Cratystylis,Cratystylis,2,2,8,1
Cymbonotus,Cymbonotus,1,NA,3,1
Dichrocephala,Dichrocephala,1,1,3,1
Dichromochlamys,Dichromochlamys,1,1,3,1
Dithyrostegia,Dithyrostegia,1,1,1,1
Eclipta,Eclipta,1,NA,3,1
Elachanthus,Elachanthus,1,1,3,1
Emilia,Emilia,1,1,1,1
Enydra,Enydra,1,2,3,1
Epaltes,Epaltes,NA,NA,3,1
Epitriche,Epitriche,1,1,1,1
Erigeron,Erigeron,1,NA,3,1
Eriochlamys,Eriochlamys,1,1,1,1
Erodiophyllum,Erodiophyllum,1,2,3,1
Minuria,Eurybiopsis,2,2,1,1
Ewartia,Ewartia,1,2,8,1
Flaveria,Flaveria,1,1,3,1
Glossocardia,Glossocardia,1,2,3,1
Gnephosis,Gnephosis,1,1,1,1
Gynura,Gynura,1,2,1,1
Haeckeria,Haeckeria,2,2,1,1
Helichrysum,Helichrysum,NA,NA,NA,1
Helipterum,Helipterum,1,1,1,1
Hyalochlamys,Hyalochlamys,1,1,1,1
Hyalosperma,Hyalosperma,1,1,NA,1
Isoetopsis,Isoetopsis,1,1,3,1
Ixiochlamys,Ixiochlamys,NA,NA,3,1
Ixiolaena,Ixiolaena,1,2,3,1
Ixodia,Ixodia,2,2,1,1
Kippistia,Kippistia,2,2,3,1
Lemooria,Lemooria,1,1,1,1
Leptinella,Leptinella,1,2,3,1
Leptorhynchos,Leptorhynchos,1,NA,3,1
Leucochrysum,Leucochrysum,1,NA,1,1
Lordhowea,Lordhowea,2,2,3,1
Melanthera,Melanthera,1,2,3,1
Microseris,Microseris,1,2,1,1
Millotia,Millotia,1,1,1,1
Minuria,Minuria,NA,NA,3,1
Chrysogonum,Moonia,1,1,7,1
Myriocephalus,Myriocephalus,1,1,1,1
Nablonium,Nablonium,1,2,1,1
Neotysonia,Neotysonia,1,1,1,1
Odixia,Odixia,2,2,1,1
Ozothamnus,Ozothamnus,2,2,1,1
Parantennaria,Parantennaria,1,2,3,1
Phacellothrix,Phacellothrix,1,1,1,1
Picris,Picris,1,NA,1,1
Pithocarpa,Pithocarpa,1,1,1,1
Angianthus,Pleuropappus,1,1,1,1
Pluchea,Pluchea,NA,2,3,1
Podolepis,Podolepis,1,NA,3,1
Podotheca,Podotheca,1,1,1,1
Pogonolepis,Pogonolepis,1,1,1,1
Pseudognaphalium,Pseudognaphalium,1,1,3,1
Pterocaulon,Pterocaulon,NA,2,3,1
Pterygopappus,Pterygopappus,1,2,3,1
Quinetia,Quinetia,1,1,1,1
Quinqueremulus,Quinqueremulus,1,1,1,1
Rhodanthe,Rhodanthe,1,NA,NA,1
Rutidosis,Rutidosis,1,NA,1,1
Schoenia,Schoenia,1,1,3,1
Millotia,Scyphocoronis,1,1,1,1
Senecio,Senecio,NA,NA,3,1
Sigesbeckia,Sigesbeckia,1,2,3,1
Siloxerus,Siloxerus,1,1,1,1
Solenogyne,Solenogyne,1,2,3,1
Sonchus,Sonchus,1,2,1,1
Sphaeranthus,Sphaeranthus,1,1,3,1
Rhaponticum,Stemmacantha,1,2,1,1
Streptoglossa,Streptoglossa,NA,NA,3,1
Stuartina,Stuartina,1,1,3,1
Taraxacum,Taraxacum,1,2,1,1
Thespidium,Thespidium,1,2,3,1
Thiseltonia,Thiseltonia,1,1,3,1
Millotia,Toxanthes,1,1,1,1
Trichocline,Trichocline,1,2,1,1
Triptilodiscus,Triptilodiscus,1,1,3,1
Vernonia,Vernonia,1,2,1,1
Vittadinia,Vittadinia,NA,NA,3,1
Waitzia,Waitzia,1,1,1,1
Wedelia,Wedelia,1,NA,3,1
Youngia,Youngia,1,1,1,1
Atherosperma,Atherosperma,3,2,7,1
Austrobaileya,Austrobaileya,4,2,1,2
Balanophora,Balanophora,1,2,8,6
Batis,Batis,2,2,7,6
Dolichandrone,Dolichandrone,NA,2,1,3
Neosepicaea,Neosepicaea,4,2,1,3
Pandorea,Pandorea,4,2,1,3
Tecomanthe,Tecomanthe,4,2,1,3
Tecoma,Tecomaria,2,2,1,3
Cochlospermum,Cochlospermum,3,2,1,3
Blandfordia,Blandfordia,1,2,1,3
Coldenia,Coldenia,1,1,1,7
Cordia,Cordia,3,2,1,6
Ehretia,Ehretia,3,2,1,6
Embadium,Embadium,1,1,1,7
Halgania,Halgania,2,2,1,6
Heliotropium,Heliotropium,NA,NA,NA,7
Hydrolea,Hydrolea,1,2,1,3
Myosotis,Myosotis,1,1,1,7
Omphalolappula,Omphalolappula,1,1,1,7
Plagiobothrys,Plagiobothrys,1,1,1,7
Heliotropium,Tournefortia,2,2,1,6
Trichodesma,Trichodesma,1,1,1,7
Apophyllum,Apophyllum,3,2,8,2
Arabidella,Arabidella,NA,NA,1,20
Barbarea,Barbarea,1,1,1,20
Blennodia,Blennodia,1,1,1,20
Cadaba,Cadaba,2,2,1,3
Capparis,Capparis,NA,2,1,2
Cardamine,Cardamine,1,NA,1,20
Carinavalva,Carinavalva,1,1,1,20
Cheesemania,Cheesemania,1,2,1,20
Cleome,Cleome,NA,NA,1,3
Cuphonotus,Cuphonotus,1,1,1,20
Drabastrum,Drabastrum,2,2,1,20
Geococcus,Geococcus,1,1,1,20
Harmsiodoxa,Harmsiodoxa,1,1,1,20
Irenepharsus,Irenepharsus,1,1,1,20
Lepidium,Lepidium,NA,NA,1,20
Menkea,Menkea,1,1,1,20
Microlepidium,Microlepidium,1,1,1,20
Pachymitus,Pachymitus,1,1,1,20
Phlegmatospermum,Phlegmatospermum,1,1,1,20
Rorippa,Rorippa,1,NA,1,20
Scambopus,Scambopus,1,1,1,20
Stenopetalum,Stenopetalum,NA,NA,1,20
Burmannia,Burmannia,1,2,1,3
Byblis,Byblis,1,2,1,3
Brasenia,Brasenia,1,2,1,10
Grammatotheca,Grammatotheca,1,1,1,3
Isotoma,Hypsela,1,2,1,3
Lobelia,Pratia,NA,2,NA,NA
Wahlenbergia,Wahlenbergia,1,NA,1,3
Sambucus,Sambucus,NA,2,1,6
Cardiopteris,Cardiopteris,4,2,1,10
Colobanthus,Colobanthus,1,2,1,3
Drymaria,Drymaria,1,1,1,3
Gypsophila,Gypsophila,1,1,1,3
Polycarpaea,Polycarpaea,NA,NA,1,3
Scleranthus,Scleranthus,1,NA,1,3
Spergularia,Spergularia,1,2,1,3
Stellaria,Stellaria,1,NA,1,3
Allocasuarina,Allocasuarina,NA,2,NA,21
Casuarina,Casuarina,3,2,8,21
Apatophyllum,Apatophyllum,2,2,1,3
Celastrus,Celastrus,2,2,8,3
Denhamia,Denhamia,NA,2,1,3
Euonymus,Euonymus,3,2,1,3
Hexaspora,Hexaspora,3,2,1,29
Hippocratea,Hippocratea,4,2,1,3
Macgregoria,Macgregoria,1,1,1,7
Maytenus,Maytenus,NA,2,1,3
Perrottetia,Perrottetia,2,2,1,2
Psammomoya,Psammomoya,2,2,1,3
Salacia,Salacia,4,2,1,6
Stackhousia,Stackhousia,1,NA,1,7
Tripterococcus,Tripterococcus,1,2,1,7
Aphelia,Aphelia,1,1,7,12
Centrolepis,Centrolepis,1,2,7,12
Gaimardia,Gaimardia,1,2,NA,NA
Cephalotus,Cephalotus,1,2,1,12
Ceratophyllum,Ceratophyllum,1,2,7,16
Hypericum,Hypericum,NA,NA,NA,NA
Burchardia,Burchardia,1,2,1,3
Kuntheria,Kuntheria,1,2,1,3
Petermannia,Petermannia,5,2,1,2
Schelhammera,Schelhammera,1,2,1,3
Tripladenia,Tripladenia,1,2,1,3
Wurmbea,Wurmbea,1,2,NA,3
Combretum,Combretum,4,2,1,10
Dansiea,Dansiea,3,2,1,6
Lumnitzera,Lumnitzera,3,2,1,6
Macropteranthes,Macropteranthes,2,2,1,10
Terminalia,Terminalia,NA,2,2,10
Aneilema,Aneilema,1,2,1,3
Commelina,Commelina,1,2,1,3
Floscopa,Floscopa,1,2,1,3
Murdannia,Murdannia,1,2,1,3
Pollia,Pollia,1,2,1,3
Connarus,Connarus,4,2,1,12
Aniseia,Aniseia,5,2,1,3
Argyreia,Argyreia,2,2,1,3
Bonamia,Bonamia,NA,NA,1,3
Calystegia,Calystegia,5,2,1,3
Convolvulus,Convolvulus,1,2,1,3
Cressa,Cressa,2,2,1,3
Cuscuta,Cuscuta,5,1,1,3
Dichondra,Dichondra,1,2,1,3
Erycibe,Erycibe,5,2,1,3
Evolvulus,Evolvulus,1,2,1,3
Ipomoea,Ipomoea,5,NA,1,3
Jacquemontia,Jacquemontia,1,2,1,3
Lepistemon,Lepistemon,5,2,1,3
Merremia,Merremia,5,2,1,3
Operculina,Operculina,5,2,1,3
Polymeria,Polymeria,5,2,1,3
Porana,Porana,5,2,1,3
Wilsonia,Wilsonia,2,2,1,3
Corsia,Corsia,1,1,1,3
Corynocarpus,Corynocarpus,3,2,1,6
Costus,Costus,1,2,1,3
Tapeinochilos,Tapeinochilos,1,2,1,3
Crassula,Crassula,1,1,1,12
Benincasa,Benincasa,5,1,7,2
Coccinia,Coccinia,5,2,8,2
Cucumis,Cucumis,5,1,7,2
Diplocyclos,Diplocyclos,5,2,7,2
Luffa,Luffa,5,1,7,2
Momordica,Momordica,5,NA,NA,3
Muellerargia,Muellerargia,5,2,7,2
Cucumis,Mukia,5,2,7,2
Neoalsomitra,Neoalsomitra,5,2,8,3
Sicyos,Sicyos,5,1,7,2
Trichosanthes,Trichosanthes,5,NA,NA,2
Zehneria,Zehneria,5,NA,NA,2
Acrophyllum,Acrophyllum,2,2,1,3
Anodopetalum,Anodopetalum,3,2,1,6
Aphanopetalum,Aphanopetalum,4,2,1,16
Bauera,Bauera,2,2,1,3
Betchea,Caldcluvia.,3,2,1,3
Callicoma,Callicoma,3,2,1,3
Ceratopetalum,Ceratopetalum,3,2,1,16
Eucryphia,Eucryphia,3,2,1,3
Geissois,Geissois,3,2,1,3
Amphibolis,Amphibolis,1,2,8,17
Cymodocea,Cymodocea,1,2,8,17
Halodule,Halodule,1,2,8,17
Syringodium,Syringodium,1,2,8,17
Thalassodendron,Thalassodendron,1,2,8,17
Arthrostylis,Arthrostylis,1,2,1,16
Baumea,Baumea,1,2,1,16
Bolboschoenus,Bolboschoenus,1,2,1,16
Bulbostylis,Bulbostylis,1,1,1,16
Carex,Carex,1,2,7,16
Carpha,Carpha,1,2,1,16
Caustis,Caustis,1,2,NA,16
Chorizandra,Chorizandra,1,2,7,16
Cladium,Cladium,1,2,1,16
Crosslandia,Crosslandia,1,1,7,16
Cyathochaeta,Cyathochaeta,1,2,2,16
Eleocharis,Eleocharis,1,1,1,16
Evandra,Evandra,1,2,1,16
Exocarya,Exocarya,1,2,2,16
Fimbristylis,Fimbristylis,1,NA,1,16
Fuirena,Fuirena,1,NA,1,16
Gahnia,Gahnia,1,2,2,16
Gymnoschoenus,Gymnoschoenus,1,2,2,16
Actinoscirpus,Hymenochaeta,1,2,1,16
Hypolytrum,Hypolytrum,1,2,1,16
Isolepis,Isolepis,1,NA,1,16
Lepidosperma,Lepidosperma,1,2,2,16
Lepironia,Lepironia,1,2,1,16
Lipocarpha,Lipocarpha,1,2,1,16
Machaerina,Machaerina,1,2,2,16
Mapania,Mapania,1,2,1,16
Mesomelaena,Mesomelaena,1,2,1,16
Oreobolus,Oreobolus,1,2,1,16
Schoenus,Ptilanthelium,1,2,1,16
Reedia,Reedia,1,2,1,4
Schoenoplectus,Schoenoplectus,1,NA,1,16
Schoenus,Schoenus,1,NA,2,16
Scirpodendron,Scirpodendron,1,2,1,6
Scirpus,Scirpus,1,2,1,16
Scleria,Scleria,1,NA,NA,16
Tetraria,Tetraria,1,2,2,16
Thoracostachyum,Thoracostachyum,1,2,1,16
Trachystylis,Trachystylis,1,2,1,16
Tricostularia,Tricostularia,1,2,2,16
Carex,Uncinia,1,2,7,16
Dichapetalum,Dichapetalum,3,2,8,6
Hibbertia,Hibbertia,NA,2,1,12
Hibbertia,Pachynema,2,2,1,12
Tetracera,Tetracera,4,2,1,3
Dioscorea,Dioscorea,1,2,8,3
Tacca,Tacca,1,2,1,2
Doryanthes,Doryanthes,2,2,1,3
Aldrovanda,Aldrovanda,1,2,1,3
Drosera,Drosera,1,NA,1,3
Elaeagnus,Elaeagnus,4,2,1,6
Aristotelia,Aristotelia,2,2,1,2
Elaeocarpus,Elaeocarpus,3,2,1,6
Platytheca,Platytheca,2,2,1,3
Sloanea,Sloanea,3,2,1,3
Tetratheca,Tetratheca,2,2,1,3
Tremandra,Tremandra,2,2,1,3
Bergia,Bergia,1,NA,1,3
Elatine,Elatine,1,1,1,3
Acrotriche,Acrotriche,2,2,1,6
Paphia,Agapetes,2,2,1,2
Andersonia,Andersonia,2,2,1,3
Archeria,Archeria,2,2,1,3
Astroloma,Astroloma,2,2,1,6
Brachyloma,Brachyloma,2,2,1,6
Coleanthera,Coleanthera,2,2,1,6
Conostephium,Conostephium,2,2,1,6
Cosmelia,Cosmelia,2,2,1,6
Cyathodes,Cyathodes,2,2,NA,6
Dracophyllum,Dracophyllum,2,2,1,3
Epacris,Epacris,2,2,1,3
Gaultheria,Gaultheria,2,2,1,3
Leucopogon,Leucopogon,2,2,1,6
Lissanthe,Lissanthe,2,2,1,6
Lysinema,Lysinema,2,2,1,3
Melichrus,Melichrus,2,2,1,6
Monotoca,Monotoca,2,2,1,6
Needhamiella,Needhamiella,2,2,1,6
Oligarrhena,Oligarrhena,2,2,1,6
Pentachondra,Pentachondra,2,2,3,6
Gaultheria,Pernettya,2,2,1,2
Prionotes,Prionotes,4,2,1,3
Rhododendron,Rhododendron,2,2,1,3
Richea,Richea,2,2,1,3
Epacris,Rupicola,2,2,1,3
Sphenotoma,Sphenotoma,2,2,1,3
Sprengelia,Sprengelia,2,2,1,3
