speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType ,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample  ,ternPrimaryGeneticBarcodeAdditionalSample  ,plantMaterialTypeAdditionalSample  ,latitudeAdditionalSample  ,longitudeOfAdditionalSample  ,dateSurveyedAdditionalSample  ,facilityYear
Abelmoschus_ficulneus,Abelmoschus,ficulneus,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abelmoschus_moschatus,Abelmoschus,moschatus,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_amplum,Abutilon,amplum,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_cryptopetalum,Abutilon,cryptopetalum,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Abutilon_fraseri,Abutilon,fraseri,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Abutilon_halophilum,Abutilon,halophilum,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_hannii,Abutilon,hannii,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_indicum,Abutilon,indicum,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_lepidum,Abutilon,lepidum,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_leucopetalum,Abutilon,leucopetalum,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_macrum,Abutilon,macrum,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Abutilon_otocarpum,Abutilon,otocarpum,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Abutilon_oxycarpum,Abutilon,oxycarpum,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_acinacea,Acacia,acinacea,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_acuaria,Acacia,acuaria,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_acuminata,Acacia,acuminata,Fabaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Acacia_adoxa,Acacia,adoxa,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Acacia_adsurgens,Acacia,adsurgens,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
