bag.id,sample.id,dune,plot.id,subplot,date,type,totalN_perc,totalP_mgkg,NP,pHwater,pHcacl2,pHbacl2,exchAl_mgkg,exchCa_mgkg,exchFe_mgkg,exchK_mgkg,exchMg_mgkg,exchMn_mgkg,exchNa_mgkg,exchAl_cmolkg,exchCa_cmolkg,exchFe_cmolkg,exchK_cmolkg,exchMg_cmolkg,exchMn_cmolkg,exchNa_cmolkg,TEB_cmolkg,ECEC_cmolkg
233,Q.O.17.2,Quindalup - old,Q.O.17,2,13/6/12,subplot,0.0656,159.0503,4.1214,8.63,7.83,8.21,17.9695,2798.8606,0,19.316,73.4068,0,13.4313,0.1998,13.9664,0,0.0494,0.6039,0,0.0584,14.6781,14.8779
234,Q.O.17.3,Quindalup - old,Q.O.17,3,13/6/12,subplot,0.0709,167.4485,4.2363,8.65,7.85,8.24,0,1744.6552,0,15.4391,104.111,0,20.7537,0,8.7059,0,0.0395,0.8565,0,0.0903,9.6922,9.6922
235,Q.O.17.4,Quindalup - old,Q.O.17,4,13/6/12,subplot,0.0583,181.1641,3.2167,8.73,7.88,8.38,0,1486.5004,0,23.7276,54.6772,0,14.8182,0,7.4177,0,0.0607,0.4498,0,0.0645,7.9926,7.9926
236,Q.O.17.5,Quindalup - old,Q.O.17,5,13/6/12,subplot,0.0668,162.574,4.1064,8.54,7.8,8.31,0,1750.0251,0,19.4979,63.8186,0,14.6469,0,8.7327,0,0.0499,0.525,0,0.0637,9.3713,9.3713
237,Q.O.17.6,Quindalup - old,Q.O.17,6,13/6/12,subplot,0.0758,171.3153,4.4254,8.58,7.8,8.35,0,1690.4713,0,14.4466,55.8716,0,10.6764,0,8.4355,0,0.0369,0.4597,0,0.0464,8.9785,8.9785
238,Q.O.17.7,Quindalup - old,Q.O.17,7,13/6/12,subplot,0.0828,174.523,4.7435,8.54,7.87,8.21,0,1970.426,0,17.929,97.6985,0,20.2265,0,9.8325,0,0.0459,0.8038,0,0.088,10.7701,10.7701
239,Q.O.20.1,Quindalup - old,Q.O.20,1,11/6/12,subplot,0.1494,467.1881,3.1969,8.28,7.72,8.01,0,3487.6829,0,32.9589,142.4949,0,42.501,0,17.4036,0,0.0843,1.1723,0,0.1849,18.8451,18.8451
240,Q.O.20.2,Quindalup - old,Q.O.20,2,11/6/12,subplot,0.1395,482.6378,2.8903,8.53,7.5,8.27,0,2547.3998,0,21.0495,95.8781,0,19.9941,0,12.7116,0,0.0538,0.7888,0,0.087,13.6412,13.6412
241,Q.O.20.3,Quindalup - old,Q.O.20,3,11/6/12,subplot,0.159,471.7548,3.3705,8.49,7.7,8.03,0,2950.8804,0,30.1094,116.6752,0,24.0422,0,14.725,0,0.077,0.9599,0,0.1046,15.8664,15.8664
242,Q.O.20.4,Quindalup - old,Q.O.20,4,11/6/12,subplot,0.1385,428.8853,3.2294,8.41,7.82,7.99,0,3660.1029,0,18.381,146.7108,0,121.1936,0,18.264,0,0.047,1.207,0,0.5272,20.0452,20.0452
