dicot,family,genus,species,species_name,endemic to Tasmania,native to New Zealand,native to South America,"habit (s=woody, p=perennial herb, a=annual herb)",dioecious (d=dioecious; h=hermaphrodite or monoecious),"habitat (d=dry forests  woodlands and heaths; c=coastal, sm=saltmarsh; e=estuarine; wf=wet forest; b= waterlogged peats; rf=temperate rainforest; a = aquatic)",alpine (0=absent from alpine; 1= both alpine and lowland; 2= predominantly alpine),fleshy fruit (1=present),seed length (cm),seed width (cm),propagule traits
d,Aizoaceae,Carpobrotus,rossii,Carpobrotus rossii,0,0,0,p,h,c,0,1,0.15,0.1,none
d,Aizoaceae,Disphysma,crassifolium,Disphysma crassifolium,0,1,0,p,h,sm,0,0,0.1,0.08,
d,Aizoaceae,Tetragonia,implexicoma,Tetragonia implexicoma,0,0,0,p,h,c,0,1,0.3,0.2,none
d,Aizoaceae,Tetragonia,tetragonioides,Tetragonia tetragonioides,0,1,1,p,h,c,0,0,1,1,
m,Alismataceae,Damasonium,minus,Damasonium minus,0,0,0,a,h,a,0,0,0.4,0.1,
m,Alstroemeriaceae,Drymophila,cyanocarpa,Drymophila cyanocarpa,0,0,0,p,h,wf,0,1,0.25,0.2,none
d,Amaranthaceae,Alternanthera,denticulata,Alternanthera denticulata,0,0,0,p,h,b,0,0,0.2,0.1,
d,Amaranthaceae,Hemichroa,pentandra,Hemichroa pentandra,0,0,0,p,h,sm,0,0,0.1,0.1,
d,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,0,0,0,p,h,d,0,0,1.2,0.1,
d,Apiaceae,Anisotome,procumbens,Anisotome procumbens,1,0,0,p,h,d,2,0,0.3,0.2,
d,Apiaceae,Actinotus,bellidioides,Actinotus bellidioides,0,0,0,p,h,b,0,0,0.2,0.15,
d,Apiaceae,Actinotus,moorei,Actinotus moorei,1,0,0,p,h,b,2,0,0.2,0.04,
d,Apiaceae,Actinotus,suffocata,Actinotus suffocata,0,1,0,p,h,b,2,0,0.1,0.1,
d,Apiaceae,Apium,prostratum,Apium prostratum,0,1,1,p,h,c,0,0,0.15,0.08,
d,Apiaceae,Centella,cordifolia,Centella cordifolia,0,0,0,p,h,b,0,0,0.4,0.4,
d,Apiaceae,Daucus,glochidiatus,Daucus glochidiatus,0,1,0,a,h,c/d,0,0,0.4,0.3,barbs
d,Apiaceae,Dichosciadium,ranunculaceum,Dichosciadium ranunculaceum,0,0,0,p,h,d,2,0,0.45,0.2,
d,Apiaceae,Diplaspis,cordifolia,Diplaspis cordifolia,1,0,0,p,h,b,1,0,0.3,0.1,
d,Apiaceae,Diplaspis,hydrocotyle,Diplaspis hydrocotyle,0,0,0,p,h,b,2,0,0.25,0.1,
d,Apiaceae,Eringium,ovinum,Eringium ovinum,0,0,1,p,h,c,0,0,0.37,0.25,
d,Apiaceae,Eringium,vesiculosum,Eringium vesiculosum,0,1,0,p,h,c,0,0,0.55,0.4,
d,Apiaceae,Hydrocotyle,callicarpa,Hydrocotyle callicarpa,0,0,0,a,h,d,0,0,0.7,0.5,
d,Apiaceae,Hydrocotyle,capillaris,Hydrocotyle capillaris,0,0,0,a,h,d,0,0,0.2,0.12,
d,Apiaceae,Hydrocotyle,foveolata,Hydrocotyle foveolata,0,0,0,p,h,d,0,0,0.2,0.07,
d,Apiaceae,Hydrocotyle,hirta,Hydrocotyle hirta,0,0,0,p,h,b,0,0,0.2,0.1,
d,Apiaceae,Hydrocotyle,laxiflora,Hydrocotyle laxiflora,0,0,0,p,h,d,0,0,0.3,0.1,
d,Apiaceae,Hydrocotyle,muscosa,Hydrocotyle muscosa,0,0,0,p,h,b,0,0,0.2,0.1,
d,Apiaceae,Hydrocotyle,pterocarpa,Hydrocotyle pterocarpa,0,1,0,p,h,b,0,0,0.5,0.2,
d,Apiaceae,Hydrocotyle,sibthorpoides,Hydrocotyle sibthorpoides,0,0,0,p,h,wf,1,0,0.2,0.1,
d,Apiaceae,Hydrocotyle,tripartita,Hydrocotyle tripartita,0,1,0,p,h,b,0,0,0.2,0.1,
d,Apiaceae,Oreomyrrhis,argentea,Oreomyrrhis argentea,0,0,0,p,h,d,2,0,0.4,0.3,
d,Apiaceae,Oreomyrrhis,ciliata,Oreomyrrhis ciliata,0,0,0,p,h,b,2,0,0.3,0.3,
d,Apiaceae,Oreomyrrhis,eriopoda,Oreomyrrhis eriopoda,0,0,0,p,h,d,1,0,0.4,0.3,
d,Apiaceae,Oreomyrrhis,gunnii,Oreomyrrhis gunnii,1,0,0,p,h,b,0,0,0.5,0.45,
d,Apiaceae,Oreomyrrhis,sessiliflora,Oreomyrrhis sessiliflora,1,0,0,p,h,b,2,0,0.5,0.4,
d,Apiaceae,Oschatzia,saxifraga,Oschatzia saxifraga,1,0,0,p,h,b,1,0,0.4,0.3,
d,Apiaceae,Trachymene,anisocarpa,Trachymene anisocarpa,0,0,0,a,h,b,0,0,2.5,0.3,wings_small
d,Apiaceae,Trachymene,humilis,Trachymene humilis,0,0,0,p,h,b,2,0,0.6,0.12,
d,Apiaceae,Xanthosia,dissecta,Xanthosia dissecta,0,0,0,s,h,b,0,0,0.3,0.1,
d,Apiaceae,Xanthosia,pilosa,Xanthosia pilosa,0,0,0,s,h,d,0,0,0.3,0.1,
d,Apiaceae,Xanthosia,pusilla,Xanthosia pusilla,0,0,0,p,h,c,0,0,0.3,0.12,
d,Apiaceae,Xanthosia,tridentata,Xanthosia tridentata,0,0,0,s,h,c,0,0,0.3,0.1,
d,Apocynaceae,Alyxia,buxifolia,Alyxia buxifolia,0,0,0,s,h,c,0,1,0.4,0.3,none
d,Apocynaceae,Parsonsia,brownii,Parsonsia brownii,0,0,0,s,h,wf,0,0,,,hairs
d,Araliaceae,Pseudopanax,gunnii,Pseudopanax gunnii,1,0,0,s,h,rf,0,1,,,none
m,Asparagaceae,Arthropodium,milleflorum,Arthropodium milleflorum,0,0,0,p,h,d,0,0,0.1884,0.1099,
m,Asparagaceae,Arthropodium,minus,Arthropodium minus,0,0,0,p,h,d,0,0,0.25,0.25,
m,Asparagaceae,Dichopogon,strictus,Dichopogon strictus,0,0,0,p,h,d,0,0,0.25,0.25,
m,Asparagaceae,Laxmannia,orientalis,Laxmannia orientalis,0,0,0,p,h,b/d,0,0,0.25,0.2,
m,Asparagaceae,Lomandra,longifolia,Lomandra longifolia,0,0,0,p,h,d,0,0,0.3611,0.157,
m,Asparagaceae,Lomandra,nana,Lomandra nana,0,0,0,p,h,d,0,0,,,
m,Asparagaceae,Sowerbaea,juncea,Sowerbaea juncea,0,0,0,p,h,b/d,0,0,0.225,0.2,
m,Asparagaceae,Thysanotus,patersonii,Thysanotus patersonii,0,0,0,p,h,d,0,0,0.1,0.09,
m,Asparagaceae,Xanthorrhoea,arenaria,Xanthorrhoea arenaria,1,0,0,p,h,d,0,0,,,
m,Asparagaceae,Xanthorrhoea,australis,Xanthorrhoea australis,0,0,0,s,h,d,0,0,0.6594,0.2355,
m,Asparagaceae,Xanthorrhoea,bracteata,Xanthorrhoea bracteata,1,0,0,p,h,b,0,0,,,
m,Asphodelaceae,Bulbine,bulbosa,Bulbine bulbosa,0,0,0,p,h,d,0,0,0.14,0.1,
m,Asphodelaceae,Bulbine,glauca,Bulbine glauca,0,0,0,p,h,d,0,0,0.22,0.15,
m,Asphodelaceae,Bulbine,semibarbata,Bulbine semibarbata,0,0,0,a,h,d,0,0,0.2,0.15,
m,Asphodelaceae,Caesia,alpina,Caesia alpina,0,0,0,p,h,b,1,0,0.2,0.2,
