genus,spp,binomial,longevity,growth form ,min height (m),max height (m),leaf length min (mm) ,leaf length max (mm) ,leaf width min (mm) ,leaf width max (mm) ,seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end
Calytrix,viscida,Calytrix viscida,p,s,,0.5,2.5,4,0.6,1,3.5,3.5,0.7,0.8,8,9
Calytrix,hislopii,Calytrix hislopii,p,s,0.1,1,4,7,0.7,1.2,,,,,8,9
Calytrix,sagei,Calytrix sagei,p,s,0.2,0.4,2.5,3.5,0.9,1.5,,,,,10,11
Calytrix,patrickiae,Calytrix patrickiae,p,s,0.1,0.4,3,4.5,0.6,1.2,2.3,2.4,0.35,0.5,9,10
Calytrix,watsonii,Calytrix watsonii,p,s,0.4,1.4,2,3,0.7,1.4,3.5,3.5,1.2,1.3,8,11
