taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
x Cyanthera glossodioides,herb,NA,NA,perennial,NA,NA,NA,NA
x Drakodenia enigma,NA,NA,NA,NA,NA,NA,NA,NA
x Drakodenia ms,NA,NA,NA,NA,NA,NA,NA,NA
x Drakodenia ornata,NA,NA,NA,NA,NA,NA,NA,NA
Abelmoschus,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Abelmoschus ficulneus,shrub herb,erect,NA,annual,NA,NA,NA,NA
Abelmoschus moschatus,shrub herb,NA,NA,perennial,NA,NA,NA,NA
Abelmoschus moschatus subsp. biakensis,shrub,NA,NA,NA,NA,NA,NA,NA
Abelmoschus moschatus subsp. tuberosus,shrub herb,procumbent scrambling,NA,perennial,NA,NA,NA,NA
Abildgaardia macrantha,NA,NA,NA,NA,NA,NA,NA,NA
Abildgaardia oxystachya,NA,NA,NA,NA,NA,NA,NA,NA
Abildgaardia pachyptera,NA,NA,NA,NA,NA,NA,NA,NA
Abildgaardia schoenoides,herb,tufted erect,NA,annual perennial,NA,NA,NA,NA
Abortiporus biennis,NA,NA,NA,NA,NA,NA,NA,NA
Abrus,climber_liana,NA,NA,NA,NA,NA,NA,NA
Abrus precatorius,climber,NA,NA,NA,NA,NA,NA,NA
Abrus precatorius subsp. precatorius,climber,NA,NA,NA,NA,NA,NA,NA
Abutilon,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Abutilon amplum,shrub,erect,NA,NA,NA,NA,NA,NA
Abutilon andrewsianum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon auritum,shrub herb,erect,NA,perennial,NA,NA,NA,NA
Abutilon australiense,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon crispum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon cryptopetalum,shrub,erect spindly,NA,NA,NA,NA,NA,NA
Abutilon cunninghamii,shrub herb,NA,NA,perennial,NA,NA,NA,NA
Abutilon dioicum,shrub,erect dense,NA,NA,NA,NA,NA,NA
Abutilon exonemum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon fraseri,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon fraseri subsp. fraseri,shrub,spreading,NA,NA,NA,NA,NA,NA
Abutilon geranioides,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon grandifolium,shrub,erect,NA,NA,NA,NA,NA,NA
Abutilon halophilum,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon hannii,shrub herb,erect,NA,annual perennial,NA,NA,NA,NA
Abutilon indicum,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon indicum var. australiense,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon lepidioicum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon lepidum,shrub,erect spindly,NA,NA,NA,NA,NA,NA
Abutilon leucopetalum,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon longilobum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon macrum,shrub herb,NA,NA,NA,NA,NA,NA,NA
Abutilon malvifolium,shrub herb,prostrate,NA,perennial,NA,NA,NA,NA
Abutilon mitchellii,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon otocarpum,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon oxycarpum,shrub herb,NA,NA,perennial,NA,NA,NA,NA
Abutilon oxycarpum subsp. Prostrate,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon oxycarpum subsp. prostratum,shrub herb,prostrate,NA,perennial,NA,NA,NA,NA
Abutilon oxycarpum var. incanum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon pritzelianum,shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon propinquum,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon sp. Cape Range (A.S. George 1312),shrub,erect,NA,NA,NA,NA,NA,NA
Abutilon sp. Dioicum (A.A. Mitchell PRP 1618),shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon sp. Hamelin (A.M. Ashby 2196),shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon sp. Onslow (F. Smith s.n. 10/9/61),shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon sp. Pilbara (W.R. Barker 2025),shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon sp. Pritzelianum (S. van Leeuwen 5095),NA,NA,NA,NA,NA,NA,NA,NA
Abutilon sp. Quobba (H. Demarz 3858),shrub,erect,NA,NA,NA,NA,NA,NA
Abutilon sp. Warburton (A.S. George 8164),shrub,NA,NA,NA,NA,NA,NA,NA
Abutilon theophrasti,herb,erect,NA,annual,NA,NA,NA,NA
Abutilon trudgenii,herb,NA,NA,NA,NA,NA,NA,NA
Abutilon uncinatum,herb,prostrate,NA,perennial,NA,NA,NA,NA
Acacia abrupta,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia acanthaster,shrub,prostrate compact sprawling,NA,NA,NA,NA,NA,NA
Acacia acanthoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. glaucescens,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acellerata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia aciphylla,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia acoma,shrub,erect spreading open spindly,NA,NA,NA,NA,NA,NA
Acacia acradenia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acuaria,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia aculeiformis,shrub,prostrate mat_forming scrambling,NA,NA,NA,NA,NA,NA
Acacia acuminata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata subsp. acuminata ms,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata subsp. burkittii,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata subsp. small seed,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acutata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acutifolia,NA,NA,NA,NA,NA,NA,NA,NA
Acacia adenogonia,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia adinophylla,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Acacia adjutrices,NA,NA,NA,NA,NA,NA,NA,NA
Acacia adnata,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia adoxa,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia adoxa var. adoxa,shrub,spreading procumbent,NA,NA,NA,NA,NA,NA
Acacia adoxa var. adoxa x  spondylophylla,NA,NA,NA,NA,NA,NA,NA,NA
Acacia adoxa var. subglabra,NA,NA,NA,NA,NA,NA,NA,NA
Acacia adoxa var. subglabra,shrub,spreading procumbent,NA,NA,NA,NA,NA,NA
Acacia adsurgens,shrub,erect bushy,NA,NA,NA,NA,NA,NA
Acacia adsurgens x  rhodophloia,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aemula,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia aemula subsp. aemula,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia aemula subsp. muricata,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia aestivalis,tree shrub,erect bushy,NA,NA,NA,NA,NA,NA
Acacia alata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia alata var. alata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia alata var. biglandulosa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia alata var. biglandulosa,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia alata var. platyptera,NA,NA,NA,NA,NA,NA,NA,NA
Acacia alata var. platyptera,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia alata var. tetrantha,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia alexandri,shrub,dense open,NA,NA,NA,NA,NA,NA
Acacia alocophylla,NA,NA,NA,NA,NA,NA,NA,NA
Acacia alocophylla subsp. alocophylla ms,NA,NA,NA,NA,NA,NA,NA,NA
Acacia alocophylla subsp. compressa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia amblygona,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia amblyophylla,tree shrub,bushy open,NA,NA,NA,NA,NA,NA
Acacia ammobia,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ampliata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ampliceps,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia ampliceps x  bivenosa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ampliceps x  sclerosperma subsp. sclerosperma,NA,NA,NA,NA,NA,NA,NA,NA
Acacia amputa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia amputata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia amyctica,shrub,erect bushy,NA,NA,NA,NA,NA,NA
Acacia anarthros,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Acacia anasilla,shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia anastema,tree,NA,NA,NA,NA,NA,NA,NA
Acacia anastomosa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anaticeps,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia anceps,shrub,spreading bushy,NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa,tree shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa x  citrinoviridis,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa x  trachycarpa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. ancistrophylla,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. lissophylla,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. perarcuata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia andrewsii,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia aneura,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia aneura var. aneura,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia aneura var. argentea,tree,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. conifera,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. crebra,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. fuliginea,tree,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. intermedia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. longicarpa,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. macrocarpa,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. major,tree,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. microcarpa,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aneura var. pilbarana,shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia aneura var. tenuis,tree,NA,NA,NA,NA,NA,NA,NA
Acacia anfractuosa,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia anomala,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia anserina,NA,NA,NA,NA,NA,NA,NA,NA
Acacia anthochaera,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aphanoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aphanoclada x  pyrifolia var. pyrifolia,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aphylla,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia applanata,shrub,erect sprawling,NA,NA,NA,NA,NA,NA
Acacia aprica,shrub,spreading open,NA,NA,NA,NA,NA,NA
Acacia aptaneura,NA,NA,NA,NA,NA,NA,NA,NA
Acacia arcuatilis,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia areolata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia argutifolia,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia argyraea,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia arida,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aristulata,shrub,erect scrambling,NA,NA,NA,NA,NA,NA
Acacia armata,NA,NA,NA,NA,NA,NA,NA,NA
Acacia arrecta,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia ascendens,shrub,erect,NA,NA,NA,NA,NA,NA
Acacia asepala,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ashbyae,shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia asperulacea,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia assimilis,tree shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia assimilis subsp. assimilis,tree shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia assimilis subsp. atroviridis,tree shrub,spreading dense,NA,NA,NA,NA,NA,NA
Acacia ataxiphylla,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia ataxiphylla subsp. ataxiphylla,shrub,prostrate sprawling,NA,NA,NA,NA,NA,NA
