objectID,Site ID,Site no.,Plant_sample_name,Genus,species,Plant [K],Plant [Ca],Plant [Mg],Plant [S],Fe(mg/kg),Plant [Zn],Plant [Cu],Plant [Mn],Plant [P],P %,N(%),C(%),locality description ,sampleDate,decimalLon,decimalLat,Mean_Annual_Temperature,Mean_Anual_Precipitation,elev9s,Soil P (mg/kg),Soil S (mg/kg),Soil Zn (mg/kg),Soil Cu (mg/kg),Soil Mn (mg/kg),Soil Fe (mg/kg),Soil Al (mg/kg),Collwell [P],ortho,lipid,phytate,RNA,leaf P%,N:P ratios,ASC_Order,storage to biochem
16,TERN,1,GNPT-03,Eucalyptus,microcarpa,5539,9158,1474,785,258,10,2,371,560,0.56,1.19,48.7,Mugga Ironbark - Western Grey Box - cypress pine tall woodland on footslope of low hill,8/5/2018,148.34748,-32.749786,15.661,669.671,572.058,348,241,21,13,782,21361,29272,9.379228014,161,188,0,154,0.56,2.125,Chromosols,0.470760234
17,TERN,1,GNPT-04 A-C,Eucalyptus,blakelyi ,4626,8483,1951,919,422,10,2,567,753,0.753,1.21,49.3,Mugga Ironbark - Western Grey Box - cypress pine tall woodland on footslope of low hill,8/5/2018,148.34748,-32.749786,15.661,669.671,572.058,348,241,21,13,782,21361,29272,9.379228014,275,234,50,111,0.753,1.60690571,Chromosols,0.942028986
25,TERN,1,GNPT-02 A-B,Acacia,decora,4721,2185,2048,638,433,9,1,39,490,0.49,1.77,46.7,Mugga Ironbark - Western Grey Box - cypress pine tall woodland on footslope of low hill,8/5/2018,148.34748,-32.749786,15.661,669.671,572.058,348,241,21,13,782,21361,29272,9.379228014,211,132,0,70,0.49,3.612244898,Chromosols,1.044554455
5,TERN,2,GNPT-01A-D,Eucalyptus,blakelyi ,8196,6030,1640,769,263,17,7,376,744,0.744,1.2,47.3,Neofabricia myrtifolia +/- Jacksonia thesioides open to closed heath on dunefields,9/5/2018,148.323975,-32.835232,16.6,604.909,406.352,68,26,5,3,78,8787,6160,0.641306513,199,178,126,100,0.744,1.612903226,Chromosols,1.169064748
15,RSS,3,RSS10-01,Eucalyptus,blakelyi ,11436,5468,1964,1050,616,22,7,536,812,0.812,1.7,52.3,Near gooband NP Trewilga,10/5/2018,148.238733,-32.799645,17.342,566.791,303.725,245,73,51,21,87,23329,11124,5.143827407,312,217,55,89,0.812,2.093596059,Chromosols,1.199346405
32,RSS,3,RSS10-02,Acacia,decora,4814,1959,2636,1057,626,12,4,55,693,0.693,1.75,48.1,Near gooband NP Trewilga,10/5/2018,148.238294,-32.799776,17.342,566.791,303.725,245,73,51,21,87,23329,11124,5.143827407,246,194,56,127,0.693,2.525252525,Chromosols,0.940809969
33,RSS,3,RSS10-03,Einadia,nutans,28201,5076,3890,1551,784,35,4,239,1083,1.083,2.38,44.1,Near gooband NP Trewilga,10/5/2018,148.239028,-32.799942,17.342,566.791,303.725,245,73,51,21,87,23329,11124,5.143827407,737,181,0,71,1.083,2.197599261,Chromosols,2.924603175
21,RSS,4,RSS10-04,Eucalyptus,sideroxylon ,10025,3388,2246,923,183,10,2,362,746,0.746,1.54,49.5,On road to Dubbo half way from Tomingley ,10/5/2018,148.367118,-32.437231,17.029,598.395,350.768,133,144,8,6,86,9582,12001,5.664335664,306,227,40,139,0.746,2.064343164,Sodosols,0.945355191
47,RSS,4,RSS10-05,Acacia,decora,4483,1260,2281,803,644,10,0,64,532,0.532,2.15,48.4,On road to Dubbo half way from Tomingley ,10/5/2018,148.367732,-32.436071,16.991,601.016,357.373,133,144,8,6,86,9582,12001,5.664335664,204,101,0,140,0.532,4.041353383,Sodosols,0.846473029
48,RSS,5,RSS10-06,Eucalyptus,camaldulensis,6991,6664,2994,933,180,35,4,1439,817,0.817,1.31,51.7,North of Dubbo by Coolbaggle creek,10/5/2018,148.582896,-31.981823,17.398,582.957,288.934,130,81,17,10,167,15284,12058,6.431700518,292,178,96,123,0.817,1.603427173,Sodosols,1.289036545
4,RSS,6,RSS11-04,Eucalyptus,blakelyi ,8582,9674,2341,1006,311,41,14,430,736,0.736,1.46,46.5,State forrest Gilgandra,11/5/2018,148.650338,-31.717113,17.667,563.847,275.966,77,69,12,4,121,3577,2913,4.983030545,246,230,57,74,0.736,1.983695652,Chromosols,0.996710526
14,RSS,6,RSS11-05,Eucalyptus,microcarpa,7480,4436,2524,878,424,11,5,492,704,0.704,1.26,44.1,State forrest Gilgandra,11/5/2018,148.650338,-31.717113,17.667,563.847,275.966,77,69,12,4,121,3577,2913,4.983030545,211,179,145,69,0.704,1.789772727,Chromosols,1.435483871
31,RSS,6,RSS11-06,Einadia,nutans,27599,7668,4369,2448,386,336,6,114,544,0.544,1.46,47.3,State forrest Gilgandra,11/5/2018,148.650053,-31.716765,17.667,563.847,275.966,77,69,12,4,121,3577,2913,4.983030545,216,102,0,61,0.544,2.683823529,Chromosols,1.325153374
46,RSS,7,RSS11-03,Einadia,nutans,28348,6538,4617,1297,433,265,3,245,624,0.624,2.19,47.4,on road near Tooraweenah ,11/5/2018,148.903256,-31.472063,17.101,627.978,407.502,396,139,35,22,599,51609,16725,23.64506481,370,144,0,98,0.624,3.509615385,Chromosols,1.52892562
44,RSS,8,RSS11-01,Acacia,decora,4515,4288,1995,892,351,12,1,80,656,0.656,2.02,46.3,Next to creek in valley in Warumbungles (maybe picture or screenshot),11/5/2018,149.023159,-31.303521,16.539,749.195,538.438,230,136,61,10,1192,19259,11076,6.372725455,264,163,0,172,0.656,3.079268293,Rudosols and Tenosols,0.788059701
3,RSS,9,RSS12-02,Eucalyptus,blakelyi ,6843,8625,2338,903,162,60,18,422,1656,1.656,1.43,45.4,"Warrumbungles national park, near camp blackman (phone point) (still on site) road side ",12/5/2018,148.977137,-31.279982,17.056,674.485,433.88,283,70,96,7,802,31333,14896,4.870051979,308,204,911,38,1.656,0.86352657,Rudosols and Tenosols,5.037190083
