Species Name,Location,Months Until First Fruiting,GosperJVS2012_PFT,Resprouter,Persistent canopy seedbank,Persistent soil seedbank,Compeditive stratum,Longevity
Phebalium lepidotum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Phebalium microphyllum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Phebalium tuberculosum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Pimelea angustifolia,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Pimelea brevifolia subsp. brevifolia,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Pimelea suaveolens,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Pimelea sulphurea,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Platysace deflexa,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Platysace juncea,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Platysace maxwellii,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Poranthera ericoides,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Regelia inops,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Rinzia affinis,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Rinzia communis,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Santalum acuminatum,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
