Species Name,Location,Months Until First Fruiting,GosperJVS2012_PFT,Resprouter,Persistent canopy seedbank,Persistent soil seedbank,Compeditive stratum,Longevity
Beaufortia micrantha var. micrantha,"Newdegate area, Western Australia",72,NSshrub,No,Yes,No,Mid,Long
Beaufortia micrantha var. puberula,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Beaufortia schaueri,"Newdegate area, Western Australia",,NSshrub,No,Yes,No,Mid,Long
Beyeria sulcata var. brevipes,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Beyeria sulcata var. truncata,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Boronia crassifolia,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Boronia crenulata subsp. obtusa,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Boronia inconspicua,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Boronia inornata subsp. leptophylla,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Boronia ramosa subsp. anethifolia,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Bossiaea spinosa,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Calectasia pignattiana,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Calectasia valida,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Callitris preissii,"Newdegate area, Western Australia",,NStree,No,Yes,No,Upper,Long
Callitris roei,"Newdegate area, Western Australia",96,NStree,No,Yes,No,Upper,Long
Calothamnus gracilis,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Calothamnus huegelii,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Calothamnus quadrifidus,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Calytrix breviseta subsp. stipulosa,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Calytrix leschenaultii,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Carpobrotus modestus,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Cassytha flava,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Cassytha glabella forma dispar,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Cassytha melantha,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Cassytha pomiformis,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Caustis dioica,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Chamaexeros fimbriata,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Chamaexeros serra,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Chamelaucium megalopetalum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Chamelaucium naviculum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Chlaenosciadium gardneri,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Chordifex sphacelatus,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Choretrum glomeratum var. glomeratum,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Chorizema aciculare subsp. aciculare,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Comesperma calymega,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Comesperma spinosum,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Conostylis argentea,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Conostylis petrophiloides,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Cryptandra leucopogon,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Cryptandra pungens,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Cyphanthera microphylla,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Dampiera juncea,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Dampiera wellsiana,"Newdegate area, Western Australia",,Ephem,,No,Yes,,Short
Darwinia vestita,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia abnormis,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Daviesia articulata,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Daviesia audax,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Daviesia benthamii subsp. acanthoclona,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia emarginata,"Newdegate area, Western Australia",,NNtree,No,No,Yes,Upper,Long
Daviesia incrassata subsp. incrassata,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia incrassata subsp. reversifolia,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia incrassata subsp. teres,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia lancifolia,"Newdegate area, Western Australia",,RNlow,Yes,No,Yes,Ground,Long
Daviesia nematophylla,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia preissii,"Newdegate area, Western Australia",,RNshrub,Yes,No,Yes,Mid,Long
Daviesia sarissa subsp. sarissa,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Daviesia uncinata,"Newdegate area, Western Australia",,NNshrub,No,No,Yes,Mid,Long
Desmocladus myriocladus,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Desmocladus parthenicus,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Dianella revoluta,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Dodonaea bursariifolia,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Dodonaea viscosa subsp. spatulata,"Newdegate area, Western Australia",,RNshrub,Yes,No,,Mid,Long
Drosera grievei,"Newdegate area, Western Australia",,NNlow,No,No,Yes,Ground,Long
Drosera macrantha subsp. macrantha,"Newdegate area, Western Australia",,RNlow,Yes,No,,Ground,Long
Eremaea pauciflora,"Newdegate area, Western Australia",,RSshrub,Yes,Yes,No,Mid,Long
Eucalyptus albida,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus captiosa,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus depauperata,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus dissimulata,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus flocktoniae subsp. flocktoniae,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus incrassata,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus olivina,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus perangusta,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus phaenophylla subsp. phaenophylla,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus phenax subsp. phenax,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus pileata,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus pleurocarpa,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus scyphocalyx,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus sporadica,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus suggrandis subsp. promiscua,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus suggrandis subsp. suggrandis,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
Eucalyptus tenera,"Newdegate area, Western Australia",,RStree,Yes,Yes,No,Upper,Long
