Spp No,VBA TAXON_ID,Species,Common Name,"PERSEED D, S, G, C, Z (F=inadequate data)","PERVEG V, U, W, N, X (F=inadequate data)","T, I, R, M, K (F=inadequate data)","JUVEN 1, 2, 5, 10, 20, 40 (F=inadequate data)","SPP LIFE 3, 10, 20, 50, 100 (F=inadequate data)","INDIV LIFE A, ASP, B, SP, MP, LP (F = inadequate data)","GEOPHYTE Y, N",MINTFI: Y,VIC ADV,"KFRS: 1, 2, 3, N",REFERENCES  ,
5381,505381,Abelia X grandiflora,Glossy Abelia,,,,,,,,,,,,
1,500001,Abrotanella nivigena,Snow-wort,F,F,F,F,F,LP,N,,Vulnerable,,62,
2,500002,Abutilon fraseri,Dwarf Lantern-flower,,,,,,,,,Endangered,,,
4758,504758,Abutilon fraseri subsp. diplotrichum,Dwarf Lantern-flower,,,,,,,,,Endangered,,,
4757,504757,Abutilon fraseri subsp. fraseri,Dwarf Lantern-flower,,,,,,,,,Endangered,,,
3,500003,Abutilon otocarpum,Desert Lantern,,,,,,,,,Vulnerable,,,
4199,514814,Abutilon oxycarpum var. malvaefolium,,,,,,,,,,,,,
4200,504200,Abutilon oxycarpum var. subsagittatum,Flannel Weed,,,,,,,,,Endangered,,,
7307,507307,Abutilon pictum,Flowering Maple,,,,,,,,,,,,
5,500005,Abutilon theophrasti,Chingma Lantern,,,,,,,,,,,,
6,500006,Acacia acanthoclada subsp. acanthoclada,Harrow Wattle,S,X,I,5,100,SP,N,,,2,,
4778,500007,Acacia acinacea,Gold-dust,,,,,,,,,,,,
8,500008,Acacia aculeatissima,Thin-leaf Wattle,S,X,I,5,100,MP,N,,,3,[5],TIRMK = T [5]
9,500009,Acacia alpina,Alpine Wattle,S,X,I,5,100,MP,N,,Rare,2,"4, 28, 38, 26","PERVEG = U/W, TIRMK = T [4]"
10,500010,Acacia amoena,Boomerang Wattle,,,,,,,,,Rare,,,
51,,Acacia ancistrophylla,,,,,,,,,,,,,
11,500011,Acacia argyrophylla,Silver Mulga,,,,,,,,,Presumed extinct,,,
12,500012,Acacia aspera,Rough Wattle,,,,,,,N,,,,,
13,500013,Acacia ausfeldii,Ausfeld's Wattle,,,,,,,,,Vulnerable,,,
14,500014,Acacia baileyana,Cootamundra Wattle,S,X,K,10,50,MP,N,,,N,42,
5414,505414,Acacia baileyana x dealbata subsp. dealbata,Cootamundra Wattle x Silver Wattle hybrid,,,,,,,,,,,,
3635,503635,Acacia binervia,Coast Myall,,,,,,,,,Endangered,,,
16,500016,Acacia boormanii,Snowy River Wattle,,,,,,,,,Rare,,,
17,500017,Acacia brachybotrya,Grey Mulga,S,X,I,10,3,MP,N,,,3,"1, 5",SPP LIFE = 5 [MK]
18,500018,Acacia brownii,Heath Wattle,,,,,,,,,,,,
19,500019,Acacia buxifolia,,S,N,I,5,100,MP,N,,,N,38,
3633,503633,Acacia caerulescens,Limestone Blue Wattle,S,X,I,5,50,MP,N,,Vulnerable,1,60,
5134,505134,Acacia cardiophylla,Wyalong Wattle,,,,,,,,,,,,
21,500021,Acacia cognata,Narrow-leaf Bower-wattle,,,,,,,,,,,,
22,500022,Acacia colletioides,Wait-a-while,,,,,,,,,Rare,,,
4524,504524,Acacia cupularis,Cup Wattle,,,,,,,,,Rare,,,
5135,505135,Acacia cyclops,Western Coastal Wattle,PERSEED,X,,5,,MP,,,,,74,
23,500023,Acacia dallachiana,Catkin Wattle,,,,,,,,,Rare,,,
5889,505889,Acacia daviesii,Timbertop Wattle,Z,V,T,2,100,LP,N,,Vulnerable,3,"14, 26, 28",PERVEG=U [26]
24,500024,Acacia dawsonii,Poverty Wattle,,,,,,,,,Vulnerable,,,
25,500025,Acacia dealbata,Silver Wattle,S,N,T,10,100,LP,N,,,"2, 54","[4], 43","JUVEN = 5 [4, 43], KFRS = 1 in Wet Forests"
5875,505875,Acacia dealbata subsp. dealbata,Silver Wattle,,,,,,,,,,,,
5144,505144,Acacia dealbata subsp. subalpina,Monaro Silver-wattle,,,,,,,,,Poorly known,,,
26,500026,Acacia deanei,Deane's Wattle,,,,,,,,,Rare,,,
4238,504238,Acacia deanei subsp. deanei,Deane's wattle,S,,T,5,100,MP,N,,Endangered,2,,
4201,504201,Acacia deanei subsp. paucijuga,Deane's Wattle,S,,T,5,100,MP,N,,Rare,1,,
27,500027,Acacia decora,Western Silver Wattle,,,,,,,,,Vulnerable,,,
28,500028,Acacia decurrens,Early Black-wattle,S,X,,,,,,,,,42,
29,500029,Acacia difformis,Drooping Wattle,S,,I,5,50,MP,N,,,3,,
4269,504269,Acacia dodonaeifolia,Sticky Hop Wattle,,,,,,,,,,,,
30,500030,Acacia doratoxylon,Currawang,S,X,I,10,100,LP,N,,Rare,2,21,
31,500031,Acacia elata,Cedar Wattle,S,F,T,10,50,MP,N,,,,58,
5917,505917,Acacia elongata,Swamp Wattle,,,,,,,,,,,,
32,500032,Acacia enterocarpa,Jumping-jack Wattle,S,X,I,5,20,MP,N,,Endangered,2,"49, 60",
20,500020,Acacia euthycarpa,Wallowa,S,X,I,10,50,MP,N,,,2,1 (5),TIRMK = T [5]
5675,505675,Acacia euthycarpa subsp. euthycarpa,Wallowa,,,,,,,,,,,,
5676,505676,Acacia euthycarpa subsp. oblanceolata,Wedderburn Wattle,,,,,,,,,Vulnerable,,,
5137,505137,Acacia exudans,Casterton Wattle,,,,,,,,,Vulnerable,,,
